dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,0,0,2020,Actual,YTD,2019-09-30,0,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,124,0,2020,Actual,YTD,2019-09-30,124,City Controller's Office,,61
Board of Ethics,General,9,0,2020,Actual,YTD,2019-09-30,9,Board of Ethics,,45
Board of Pensions,General,0,0,2020,Actual,YTD,2019-09-30,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,15,0,2020,Actual,YTD,2019-09-30,15,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,97,0,2020,Actual,YTD,2019-09-30,97,City Commissioner's Office,City Commissioners,73
City Council,General,191,0,2020,Actual,YTD,2019-09-30,191,City Council,,01
City Representative,General,7,0,2020,Actual,YTD,2019-09-30,7,Office of the City Representative,City Rep,41
City Treasurer,General,17,0,2020,Actual,YTD,2019-09-30,17,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2020,Actual,YTD,2019-09-30,2,Civil Service Commission,,55
Commerce,General,50,0,2020,Actual,YTD,2019-09-30,50,Office of the Director of Commerce,Commerce,42
Finance,General,118,0,2020,Actual,YTD,2019-09-30,118,Office of the Director of Finance,Finance,35
First Judicial District,General,1851,0,2020,Actual,YTD,2019-09-30,1851,First Judicial District,FJD,84
Fleet Management,General,285,0,2020,Actual,YTD,2019-09-30,285,Office of Fleet Management,Fleet,25
Free Library,General,683,0,2020,Actual,YTD,2019-09-30,683,The Free Library of Philadelphia,Free Library,52
Human Relations Commission,General,34,0,2020,Actual,YTD,2019-09-30,34,Commission on Human Relations,Human Relations,54
Human Services (1),General,437,0,2020,Actual,YTD,2019-09-30,437,Department of Human Services,DHS,22
"Labor, Mayor's Office of",General,25,0,2020,Actual,YTD,2019-09-30,25,Labor,,03
Law,General,126,0,2020,Actual,YTD,2019-09-30,126,Law Department,Law,44
Licenses & Inspections,General,394,0,2020,Actual,YTD,2019-09-30,394,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,General,1,0,2020,Actual,YTD,2019-09-30,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,General,2,0,2020,Actual,YTD,2019-09-30,2,L&I: Board of Review,,27
Managing Director's Office,General,311,0,2020,Actual,YTD,2019-09-30,311,Managing Director's Office,MDO,10
Mayor's Office,General,54,0,2020,Actual,YTD,2019-09-30,54,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2020,Actual,YTD,2019-09-30,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,General,12,0,2020,Actual,YTD,2019-09-30,12,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,General,8,0,2020,Actual,YTD,2019-09-30,8,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hlth/Intel. disAbility,General,22,0,2020,Actual,YTD,2019-09-30,22,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Chief Administrative Officer,General,66,0,2020,Actual,YTD,2019-09-30,66,Board of Revision of Taxes,BRT,63
