0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Actual thru December,July 31,Aug 31,Sept 30,Oct 31,Nov 30,(Amounts in Dec 31,$millions) Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,Under (Over),Revised Budget Revenues
REVENUES Property Taxes,9.7,6.4,6.5,5.2,5.2,"10,7",27.2,199.4,"101,7",22.4,7.7,10.0,412.0,,,"0,0",412.0
"Wage, Earnings, NP Tax",99.6,103.7,85.0,"85,9",107.1,87.4,"103,7",83.6,"91,5",93.6,108.2,89.8,"1,139.1",,,0.0,"1,139.1"
Realty Transfer Tax,14.8,16.7,12.6,"10,0",6.7,8.9,11.1,7.4,9.2,9.9,10.5,10.8,128.6,,,0.0,"128,6"
Sales Tax,11.0,13.1,10.6,"10,3",11.7,"9,5",10.0,9.1,8.8,"9,8","10,9",10.4,125.3,,,"0,0",125.3
Business Privilege Tax,"-1,3",3.7,15.4,7.6,-2.7,17.1,7.8,5.7,18.0,138.8,122.0,"33,6",365.6,,,0.0,365.6
Other Taxes,6.3,9.1,7.2,7.6,9.5,6.4,6.2,7.5,"5,3",10.0,7.4,"7,7",90.2,,,0.0,90.2
Locally Generated Non-tax,18.5,23.7,39.7,14.0,20.7,15.2,15.0,22.4,27.5,26.3,40.6,32.4,296.0,0.0,,"0,0",296.0
Other Governments-CY,46.0,65.2,50.0,64.2,22.0,19.0,0.0,57.8,37.5,"49,7",42.4,29.7,483.5,88.0,,"0,0",571.5
Other Governments-PY,0.0,0.0,23.9,"16,7","-3,0",1.3,21.0,28.7,18.6,63.0,26.8,41.1,238.1,"0,0",,"0,0",238.1
Other Governments,46.0,65.2,73.9,"80,9",19.0,20.3,"21,0",86.5,56.1,112.7,69.1,"70,8",721.6,"88,0",,"0,0",809.6
PICA Debt Service,-1.7,"0,0",-13.6,-5.5,-10.9,0.0,-10.2,-6.1,-5.2,-5.5,-6.6,-5.3,"-70,5",,,"0,0",-70.5
PICA City Account,31.3,"0,0",33.8,"49,8",32.5,"0,0",46.0,29.4,"32,8",27.3,33.1,26.4,342.3,9.8,,0.0,352.1
Other Governments-PICA,29.6,0.0,20.2,44.3,21.6,"0,0",35.8,23.3,"27,5",21.8,26.6,21.1,"271,8",9.8,,"0,0",281.6
Interfund Transfers,0.4,"0,4",43.7,"0,5","0,5",43.6,1.9,2.1,3.2,3.1,"1,9",12.8,"114,1",,,0.0,114.1
Total Current Revenue,234.6,242.0,314.8,266.3,"199,3",219.1,"239,8",446.9,348.8,"448,4","405,0",299.4,"3,664.3",97.8,,0.0,"3,762.1"
,,,,,,,,,,,,,,,,,
Collection of 6-30-08/Govt.,85.5,45.2,"0,0",6.2,0.0,0.0,0.0,"0,0",0.0,"0,0",0.0,0.0,"136,9",0.0,,,138.8
Other Fund Balance Adj.,-8.0,-8.0,0.0,,,,,,,,,0.0,-16.0,,,,
Non-revenue receipts Non-budget items,,,,,,,,,,,,,0.0 0.0,,,,
TOTAL CASH RECEIPTS,312.1,279.2,314.8,272.5,199.3,219.1,239.8,446.9,"348,8",448.4,405.0,299.4,"3,785.4",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergers,Revised Obliga- tions
Payroll,84.7,118.2,109.5,119.7,108.5,148.0,108.8,109.9,109.9,109.9,137.3,108.9,"1,373.4",48.9,0.0,"0,0","1,422.3"
Employee Benefits,46.4,"44,4","41,6",42.7,40.0,42.0,44.5,37.9,37.6,"35,6",36.8,34.9,484.4,19.7,0.0,"0,0",504.1
Pension,3.7,(2.3),(2.9),15.0,"388,9",(1.1),3.7,0.0,(1.0),62.0,(1.9),(3.0),461.1,0.0,,"0,0",461.1
Purchase of Services,26.6,36.5,96.5,75.7,49.0,94.5,121.0,"104,3",121.2,102.9,110.0,89.5,"1,027.7","46,0",114.8,0.0,"1,185.8"
"Materiais, Equipment",5.2,"2,7",9.4,5.7,4.9,7.4,7.4,"7,0",7.0,6.5,6.8,6.9,"76,9",5.2,"4,0",0.0,"86,1"
"Contributions, Indemnities","13,9",2.7,9.5,"4,6",2.5,"9,2",2.9,6.1,8.6,11.2,26.1,29.3,126.7,4.5,0.0,0.0,131.2
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,"0,0","0,0",0.0,0.0,"0,0",9.3,"9,3",,,0.0,9.3
Debt Service-Long Term,16.1,4.5,10.2,0.1,8.3,"5,5",10.7,7.3,9.1,4.7,11.5,11.0,99.0,0.0,"0,0",0.0,"99,0"
Interfund Charges,0.0,0.4,"0,0",0.0,0.0,"0,0",0.0,"0,0","0,0","0,0",0.0,"31,1","31,5",0.0,"0,0","0,0",31.5
"Advances, Subsidies",0.0,22.7,0.0,"0,0","0,0","0,0",0.0,"0,0","0,0",0.0,"0,0",0.0,"22,7",0.0,,0.0,22.7
Current Year Appropriation,196.6,229.8,"273,8",263.5,602.1,305.5,299.0,272.6,"292,5","333,0","326,5",317.8,"3,712.8",124.3,118.8,0.0,"3,953.1"
Prior Year Encumbrances,52.3,"36,0",25.2,10.3,7.1,15.0,14.9,"3,5",6.5,5.6,3.6,4.2,184.2,124.3,118.8,"0,0",178.3
Prior Year Vouchers Payable,59.4,26.2,6.6,0.0,0.0,"0,0","0,0",0.0,0.0,0.0,0.0,0.0,92.2,,,,92.2
