0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Estimated Revenues,
REVENUES Real Estate Tax,4.1,8.6,3.7,4.0,4.1,11.5,34.2,269.6,122.6,14.3,5.9,7.5,490.1,,488.7,
"Total Wage, Earnings, Net Profits",91.4,109.7,78.8,92.9,100.4,89.9,120.0,88.7,103.6,99.4,104.6,90.7,1170.1,,1167.0,
Realty Transfer Tax,19.7,12.5,7.5,7.9,9.3,9.6,7.6,"5,8",8.0,"7,5",8.9,12.5,116.8,,117.3,
Sales Tax,21.4,23.4,20.7,19.4,21.3,18.6,19.5,22.8,18.1,"19,7",22.7,20.5,248.1,,247.5,
Business Privilege Tax,2.4,13.0,11.4,8.4,(0.7),9.2,7.6,7.4,41.8,175.3,105.8,"3,9",385.5,,370.8,
Other Taxes,7.7,12.4,9.9,6.2,7.7,7.7,6.6,6.4,8.2,13.8,7.6,6.9,101.1,,97.7,
Locally Generated Non-tax,20.5,21.2,19.6,13.8,24.9,22.1,17.9,24.1,29.5,15.6,21.4,29.6,260.2,,266.1,
Total Other Governments,0.2,101.0,91.8,114.6,13.4,22.3,17.0,5.9,102.6,14.3,4.3,140.1,627.6,157.8,785.3,
Total PICA Other Governments,23.9,27.4,13.4,29.0,25.4,23.9,24.1,26.3,25.2,31.0,30.2,17.2,297.0,,291.2,
Interfund Transfers,"8,4",0.2,0.1,1.1,0.2,0.0,"0,0","0,0",0.2,"0,0",10.1,14.8,35.1,29.1,64.2,
Total Current Revenue,199.7,329.4,"256,9",297.3,206.0,214.8,254.5,457.0,459.8,390.9,321.5,343.7,"3731,6",186.9,3895.8,
Collection of prior year(s) revenue,112.2,57.0,0.0,0.0,"0,0","0,0","0,0",0.0,0.0,0.0,"0,0","0,0",169.2,,,
Other fund balance adjustments,"0,0",0.0,0.0,"0,0",0.0,"0,0","0,0",0.0,0.0,"0,0",0.0,0.0,0.0,,,
TOTAL CASH RECEIPTS,311.9,386.4,"256,9",297.3,206.0,214.8,254.5,457.0,"459,8",390.9,321.5,343.7,3900.8,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,83.2,110.2,113.9,104.2,103.5,142.2,108.4,98.8,109.3,100.1,"99,9",137.6,1311.3,52.5,"0,0",1363.8
Employee Benefits,"40,0",34.0,42.4,41.4,40.9,43.8,31.1,41.4,46.3,44.6,36.7,38.7,481.3,6.1,"0,0",487.4
Pension,3.7,(3.4),10.9,51.8,(3.2),1.2,(2.5),(1.8),349.5,"90,8",(2.2),(2.4),492.4,0.0,"0,0",492.5
Purchase of Services,52.9,68.2,63.1,66.6,93.3,97.0,86.2,86.8,72.2,124.2,87.9,79.9,978.3,37.0,115.4,1130.8
"Materials, Equipment",1.9,4.2,7.6,5.0,5.5,4.4,4.1,5.0,4.1,"7,3",4.7,7.6,61.4,4.4,14.9,80.7
"Contributions, Indemnities",15.1,5.1,3.4,"8,9",2.2,"9,9",2.1,1.9,8.3,5.8,40.6,6.1,109.4,0.0,0.0,109.4
Debt Service-Short Term,"0,0",0.0,"0,0","0,0",0.0,0.0,"0,0",0.0,0.0,"0,0",0.0,5.3,5.3,"0,0",0.0,5.3
Debt Service-Long Term,34.7,1.1,11.1,0.6,5.6,5.9,25.2,1.2,3.4,12.3,4.2,(0.1),105.2,"0,0","0,0",105.2
Interfund Charges,2.5,0.0,"0,0",0.0,"0,0","0,0","0,0",0.0,0.0,"0,0","0,0",0.5,3.0,"24,9","0,0",28.0
"Advances, Subsidies","0,0","0,0",0.0,0.0,0.0,0.0,0.0,0.0,"0,0","0,0","0,0",0.0,"0,0","0,0","0,0","0,0"
Current Year Appropriation,"234,0",219.4,252.4,"278,5",247.8,304.4,254.6,"233,3",593.1,385.1,271.8,273.2,3547.6,124.9,130.3,3802.9
Prior Year Encumbrances,51.9,31.1,8.8,5.1,1.9,2.1,1.5,5.4,1.8,3.1,1.3,"1,5",115.5,,,
Prior Year Vouchers Payable,55.2,45.9,(1.1),(0.9),(0.9),"0,0","0,0","0,0","0,0",0.0,0.0,"0,0",98.2,,,
,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,341.1,296.4,260.1,282.7,248.8,306.5,256.1,"238,7",594.9,388.2,273.1,"274,7",3761.2,,,
Excess (Def) of Receipts over Disbursements,(29.2),"90,0",(3.2),14.6,(42.8),(91.7),(1.6),218.3,(135.0),"2,7",48.4,"69,0",,,,
Opening Balance,(30.6),225.2,315.2,312.0,326.6,283.9,192.2,190.6,"408,9",273.8,276.5,39.9,,,,
TRANS,285.0,"0,0",0.0,"0,0","0,0","0,0",0.0,"0,0","0,0",0.0,(285.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,225.2,315.2,312.0,326.6,283.9,192.2,190.6,408.9,273.8,276.5,39.9,108.9,,,,
