0,1,2,3,4,5,6,7,8,9,10,11,12
"Projection as of December 31, 2021",July 31,Aug 31,Sept 30,Oct 31,Nov 30,Amounts in Dec 31,Millions Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,707.4,833.3,792.9,629.4,523.6,664.9,798.6,1027.9,755.1,1058.8,1019.8,888.3
Grants Revenue,833.6,945.8,882.2,881.9,897.5,787.9,936.3,509.7,469.7,594.7,1241.3,1199.2
Community Development,(3.7),(6.3),(3.5),(14.3),(23.9),(30.1),(18.7),(4.9),(3.8),1.4,2.0,(6.7)
Vehicle Rental Tax,8.4,9.1,2.9,3.5,4.1,4.7,5.1,5.8,6.5,7.2,7.9,8.6
Hospital Assessment Fund,23.0,22.3,32.1,25.3,23.9,36.0,25.2,16.2,22.5,17.2,43.7,19.2
Housing Trust Fund,83.0,80.9,80.2,78.0,81.3,81.2,81.9,79.8,77.7,75.6,73.5,71.4
Budget Stabilization Fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Funds,10.8,10.8,10.6,10.5,9.9,9.8,13.1,13.0,12.8,12.7,12.5,12.4
TOTAL OPERATING FUNDS,1662.4,1895.9,1797.4,1614.2,1516.5,1554.3,1841.6,1647.5,1340.6,1767.7,2400.8,2192.5
Capital Improvement,125.2,488.1,462.4,461.6,454.7,434.9,422.2,412.7,403.2,393.7,384.2,374.7
Industrial & Commercial Dev.,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.3,10.3,10.3
TOTAL CAPITAL FUNDS,135.5,498.4,472.6,471.9,465.0,445.2,432.4,422.9,413.4,403.9,394.5,385.0
,,,,,,,,,,,,
TOTAL FUND EQUITY,1797.8,2394.3,2270.0,2086.0,1981.4,1999.5,2274.1,2070.4,1754.0,2171.6,2795.2,2577.4
