0,1,2,3,4,5,6,7,8,9
,,,FISCAL YEAR 2019 YEAR TO DATE,,,,FISCAL YEAR 2019 FULL YEAR,,
DEPARTMENT,FY 2018 UNAUDITED ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) UNDER ADOPTED BUDGET,PROJECTION TARGET
Art Museum Subsidy,"2,550,500","1,275,000","1,275,000",0,"2,550,000","2,550,000","2,550,000",0,0
Atwater Kent Museum,"306,771","125,000","125,000",0,"250,000","250,000","250,000",0,0
Auditing (City Controller's Office),"8,762,254","4,208,743","4,208,743",0,"8,893,008","9,209,745","9,209,745","(316,737)",0
Board of Ethics,"974,344","433,775","433,775",0,"1,074,792","1,098,971","1,098,971","(24,179)",0
Board of Revision of Taxes,"952,531","462,181","462,181",0,"1,046,903","1,071,422","1,071,422","(24,519)",0
City Commissioners (Election Board),"10,124,526","5,459,959","5,459,959",0,"10,351,881","10,427,677","10,427,677","(75,796)",0
City Council,"16,959,076","8,111,606","8,111,606",0,"17,225,693","17,807,973","17,807,973","(582,280)",0
City Planning Commission,0,0,0,0,0,0,0,0,0
City Representative,"1,116,837","634,104","634,104",0,"1,158,249","1,223,288","1,223,288","(65,039)",0
City Treasurer,"1,177,474","1,017,741","1,017,741",0,"1,692,315","1,725,724","1,725,724","(33,409)",0
Civil Service Commission (1),"193,463","106,829","106,829",0,"16,645,428","201,591","201,591","16,443,837",0
Commerce,"5,581,442","4,100,566","4,100,566",0,"6,013,658","7,215,783","7,415,783","(1,402,125)","(200,000)"
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",0,"15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"2,854,448",0,0,0,"2,397,004","1,242,883","1,242,883","1,154,121",0
District Attorney,"35,520,200","17,993,396","17,993,396",0,"41,792,293","41,832,195","41,832,195","(39,902)",0
Finance,"44,263,571","24,579,204","24,579,204",0,"24,790,260","44,592,419","44,592,419","(19,802,159)",0
Finance-Budget Stabilization Reserve,0,0,0,0,0,"20,000,000","20,000,000","(20,000,000)",0
Finance-Disability-Reg #32 Payroll,"2,556,892","1,046,453","1,046,453",0,"2,650,000","2,650,000","2,650,000",0,0
Finance-Federal Grant Reserve,0,0,0,0,"53,573,000","53,573,000","53,573,000",0,0
Finance-Community College Subsidy,"30,409,207","31,909,207","31,909,207",0,"32,409,207","32,409,207","32,409,207",0,0
Finance - Employee Benefits,"1,314,021,386","383,236,835","383,236,835",0,"1,360,238,207","1,378,648,880","1,378,648,880","(18,410,673)",0
Unemployment Compensation,"3,492,886","1,713,176","1,713,176",0,"4,080,260","4,080,260","4,080,260",0,0
Employee Disability,"56,011,219","40,374,784","40,374,784",0,"61,799,849","61,799,849","61,799,849",0,0
Pension Obligation Bonds,"110,159,328","9,418,867","9,418,867",0,"110,077,649","110,077,649","110,077,649",0,0
Pension,"607,875,436","54,598,584","54,598,584",0,"561,418,620","561,418,620","561,418,620",0,0
Pension-Sales Tax,"24,202,319",0,0,0,"48,262,124","48,262,124","48,262,124",0,0
Pension-Plan 10,"201,237","239,148","239,148",0,0,0,0,0,0
FICA,"80,441,125","39,768,808","39,768,808",0,"78,631,100","78,631,100","78,631,100",0,0
Flex Cash Payments,"645,989",0,0,0,"800,000","800,000","800,000",0,0
Health/Medical,"418,230,169","230,208,450","230,208,450",0,"481,764,702","500,175,375","500,175,375","(18,410,673)",0
Group Life Insurance,"7,782,681","4,277,334","4,277,334",0,"8,407,794","8,407,794","8,407,794",0,0
Group Legal,"4,769,947","2,530,509","2,530,509",0,"4,849,842","4,849,842","4,849,842",0,0
Tool Allowance,"209,050","107,175","107,175",0,"146,267","146,267","146,267",0,0
Finance-Hero Scholarship Awards,"2,000",0,0,0,"25,000","25,000","25,000",0,0
Finance-Indemnities,0,"10,977,757","10,977,757",0,"48,780,000","48,780,000","48,780,000",0,0
Finance-Refunds,"10,202","18,279","18,279",0,"250,000","250,000","250,000",0,0
Finance-School District Contribution,"104,348,281","90,435,270","90,435,270",0,"180,870,541","180,870,541","180,870,541",0,0
Finance-Witness Fees,"86,141","46,047","46,047",0,"171,518","171,518","171,518",0,0
Fire,"268,563,285","141,928,934","141,928,934",0,"277,613,180","294,019,387","294,185,387","(16,572,207)","(166,000)"
First Judicial District,"114,171,926","55,884,802","55,884,802",0,"109,556,573","112,731,854","112,731,854","(3,175,281)",0
Fleet Management,"45,083,004","28,626,371","28,626,371",0,"49,062,057","49,226,289","49,226,289","(164,232)",0
Fleet Management - Vehicle Purchases,"19,340,817","12,066,732","12,066,732",0,"14,797,739","14,797,739","14,797,739",0,0
Free Library,"41,794,729","22,677,259","22,677,259",0,"41,286,517","42,265,871","42,265,871","(979,354)",0
Historical Commission,0,0,0,0,0,0,0,0,0
Human Relations Commission,"2,079,631","967,476","967,476",0,"2,202,336","2,297,418","2,297,418","(95,082)",0
Human Services,"108,622,882","73,231,890","73,231,890",0,"112,073,598","112,073,598","112,073,598",0,0
Labor,"1,445,501","777,575","777,575",0,"1,746,946","2,014,103","2,014,103","(267,157)",0
Law,"14,800,512","8,214,986","8,214,986",0,"15,835,164","16,066,096","16,066,096","(230,932)",0
