0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2012,
,,,,,,FULL YEAR,,
Department/ Category,FY 09 Year End,FY 10 Year End,FY 11 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
First Judicial District,,,,,,,,
Full-Time Positions,"1,898","1,756","1,869","1,909","1,948","1,957",(48),(9)
Class 100 Total Oblig./Approp.,"90,353,679","81,332,197","84,989,346","84,859,031","90,934,031","90,934,031","(6,075,000)",0
Class 100 Overtime Oblig./Approp.,"126,110","76,951","3,265","256,000","256,000","112,897","143,103","143,103"
Traffic Court,,,,,,,,
Full-Time Positions,121,120,117,119,119,114,5,5
Class 100 Total Oblig./Approp.,"4,846,053","4,578,476","4,527,725","4,257,022","4,857,022","4,857,022","(600,000)",0
Class 100 Overtime Oblig./Approp.,"4,194",0,0,"5,000","5,000",0,"5,000","5,000"
Municipal Court,,,,,,,,
Full-Time Positions,186,174,173,181,181,177,4,4
Class 100 Total Oblig./Approp.,"7,932,424","7,894,653","7,780,119","6,887,663","7,587,663","7,587,663","(700,000)",0
Class 100 Overtime Oblig./Approp.,"2,057",666,22,"1,000","1,000","2,475","(1,475)","(1,475)"
Common Pleas Court,,,,,,,,
Full-Time Positions,"1,353","1,245","1,350","1,391","1,430","1,434",(43),(4)
Class 100 Total Oblig./Approp.,"64,462,852","56,664,556","60,785,680","62,598,438","66,073,438","66,073,438","(3,475,000)",0
Class 100 Overtime Oblig./Approp.,"107,358","68,645","3,243","235,000","235,000","106,799","128,201","128,201"
Court Administrator,,,,,,,,
Full-Time Positions,238,217,229,218,218,232,(14),(14)
Class 100 Total Oblig./Approp.,"13,112,350","12,194,512","11,895,822","11,115,908","12,415,908","12,415,908","(1,300,000)",0
Class 100 Overtime Oblig./Approp.,"12,501","7,640",0,"15,000","15,000","3,623","11,377","11,377"
