0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2020 YEAR TO DATE,,,,FY 2020 FULL YEAR,,
Department /Category,FY 17 Year End,FY 18 Year End,FY 19 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,31,32,32,34,34,0,35,35,35,0,0
Class 100 Total Oblig./Approp.,"1,949,691","2,033,062","2,071,428","510,333","510,333",0,"2,323,714","2,338,714","2,338,714","(15,000)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,385,517,396,437,437,0,437,437,437,0,0
Class 100 Total Oblig./Approp. *,"26,260,507","30,712,077","22,738,842",0,0,0,"27,646,449","27,710,550","27,710,550","(64,101)",0
Class 100 Overtime Oblig./Approp. *,"5,627,058","3,968,761","2,644,765",0,0,0,"3,232,445","3,232,445","3,232,445",0,0
Labor,,,,,,,,,,,
Full-Time Positions,16,20,22,25,25,0,30,30,30,0,0
Class 100 Total Oblig./Approp.,"919,175","1,425,750","1,586,766","417,282","417,282",0,"2,065,091","2,121,104","2,121,104","(56,013)",0
Class 100 Overtime Oblig./Approp.,0,71,274,125,326,(201),0,500,500,(500),0
Law,,,,,,,,,,,
Full-Time Positions,119,121,128,126,126,0,133,133,133,0,0
Class 100 Total Oblig./Approp.,"8,085,037","7,978,352","8,802,032","2,057,140","2,057,140",0,"9,427,335","9,699,076","9,699,076","(271,741)",0
Class 100 Overtime Oblig./Approp.,0,"1,254",72,25,6,19,0,100,100,(100),0
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,348,396,372,394,394,0,466,481,481,(15),0
Class 100 Total Oblig./Approp.,"19,578,047","22,292,655","23,626,633","5,699,153","5,699,153",0,"25,967,209","26,547,317","26,547,317","(580,108)",0
Class 100 Overtime Oblig./Approp.,"1,563,457","1,306,891","1,432,352","291,346","375,025","(83,679)","1,165,385","1,165,385","1,165,385",0,0
L&I-Board of Building Standards,,,,,,,,,,,
Full-Time Positions,1,1,1,1,1,0,1,1,1,0,0
Class 100 Total Oblig./Approp.,"69,683","67,339","83,562","18,909","18,909",0,"80,366","80,366","80,366",0,0
Class 100 Overtime Oblig./Approp.,117,0,0,0,0,0,0,0,0,0,0
