0,1,2,3,4,5,6,7,8
,,,,,,FY 2021 FULL YEAR,,
Department/ Category,FY 18 Year End,FY 19 Year End,FY 20,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
District Attorney,,,,,,,,
Full-Time Positions,455,491,545,513,513,521,(8),(8)
Class 100 Total Oblig./Approp.,"32,249,281","34,265,564","38,029,618","30,262,904","36,562,904","36,562,904","(6,300,000)",0
Class 100 Overtime Oblig./Approp.,"52,297","155,103","135,138","201,960","106,244","140,000","61,960","(33,756)"
Finance,,,,,,,,
Full-Time Positions,115,116,119,131,131,119,12,12
Class 100 Total Oblig./Approp.,"6,963,917","7,756,138","9,222,201","10,312,396","8,917,135","8,917,135","1,395,261",0
Class 100 Overtime Oblig./Approp.,"45,510","74,302","74,119","60,500","113,211","129,000","(68,500)","(15,789)"
Finance Reg #32 Disability,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"2,556,892","2,413,758","1,092,451","2,650,000","2,650,000","2,650,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Fire,,,,,,,,
Full-Time Positions,"2,511","2,530","2,628","3,368","3,368","2,678",690,690
Class 100 Total Oblig./Approp.,"244,026,657","283,319,650","303,857,650","289,256,642","313,256,642","313,256,642","(24,000,000)",0
Class 100 Overtime Oblig./Approp.,"36,673,566","50,943,620","63,932,091","47,713,783","68,271,927","62,940,000","(15,226,217)","5,331,927"
First Judicial District,,,,,,,,
Full-Time Positions,"1,867","1,842","1,825","1,878","1,878","1,773",105,105
Class 100 Total Oblig./Approp.,"98,343,914","100,719,400","103,276,427","105,324,122","105,324,122","105,324,122",0,0
Class 100 Overtime Oblig./Approp.,"25,034","24,242","47,641","94,840","14,840","13,000","81,840","1,840"
Fleet Management,,,,,,,,
Full-Time Positions,281,286,282,312,312,268,44,44
Class 100 Total Oblig./Approp.,"17,532,835","18,501,080","18,563,332","19,073,455","19,073,455","19,073,455",0,0
Class 100 Overtime Oblig./Approp.,"2,249,940","2,406,919","1,679,115","1,442,904","1,242,904","1,415,000","27,904","(172,096)"
Free Library,,,,,,,,
Full-Time Positions,649,651,677,756,756,634,122,122
Class 100 Total Oblig./Approp.,"36,929,841","38,004,616","41,221,658","35,549,343","35,549,343","35,549,343",0,0
Class 100 Overtime Oblig./Approp.,"1,576,070","1,667,956","1,646,292","114,541","369,247","325,000","(210,459)","44,247"
Human Relations Commission,,,,,,,,
Full-Time Positions,32,32,34,37,37,32,5,5
Class 100 Total Oblig./Approp.,"2,033,062","2,071,428","2,286,672","2,360,285","2,360,285","2,360,285",0,0
Class 100 Overtime Oblig./Approp.,0,0,23,0,0,"4,600","(4,600)","(4,600)"
Human Services,,,,,,,,
Full-Time Positions,517,396,437,492,492,492,0,0
Class 100 Total Oblig./Approp.,"30,712,077","22,738,842","22,404,173","31,673,433","32,098,433","32,098,433","(425,000)",0
Class 100 Overtime Oblig./Approp. *,"3,968,761","2,644,765","2,993,692","3,101,290","2,301,290","2,301,290","800,000",0
Labor,,,,,,,,
Full-Time Positions,20,22,27,35,35,26,9,9
Class 100 Total Oblig./Approp.,"1,425,750","1,586,766","1,945,732","2,395,467","2,395,467","2,395,467",0,0
Class 100 Overtime Oblig./Approp.,71,274,986,"18,072",50,60,"18,012",(10)
