0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2022 YEAR TO DATE,,,,FY 2022 FULL YEAR,,
Department/Category,FY 19 Year End Actual,FY 20 Year End Actual,FY 21 Unaudited Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Fleet Services,,,,,,,,,,,
Full-Time Positions,286,282,268,263,263,0,315,315,315,0,0
Class 100 Total Oblig./Approp.,"18,501,080","18,563,332","17,982,245","8,444,951","8,444,951",0,"19,260,680","19,260,680","20,150,027","(889,347)","(889,347)"
Class 100 Overtime Oblig./Approp.,"2,406,919","1,679,115","1,413,920","814,914","740,679","74,235","1,629,828","1,629,828","1,629,828",0,0
Free Library,,,,,,,,,,,
Full-Time Positions,651,677,634,630,630,0,715,715,715,0,0
Class 100 Total Oblig./Approp.,"38,004,616","41,221,658","36,056,416","17,890,716","17,890,716",0,"38,171,857","39,104,952","41,456,287","(3,284,430)","(2,351,335)"
Class 100 Overtime Oblig./Approp.,"1,667,956","1,646,292","325,884","542,500","228,494","314,006","1,885,000","1,085,000","547,000","1,338,000","538,000"
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,32,34,32,30,30,0,33,33,33,0,0
Class 100 Total Oblig./Approp.,"2,071,428","2,286,672","2,267,083","1,117,512","1,117,512",0,"2,325,040","2,325,040","2,463,907","(138,867)","(138,867)"
Class 100 Overtime Oblig./Approp.,0,23,"4,569",0,"18,048","(18,048)",0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,396,437,492,492,492,0,492,492,492,0,0
Class 100 Total Oblig./Approp. *,"22,738,842","22,404,173","28,025,714","7,322,863","7,322,863",0,"32,182,866","32,182,866","34,254,330","(2,071,464)","(2,071,464)"
Class 100 Overtime Oblig./Approp.,"2,644,765","2,993,692","3,324,490","1,894,517","894,764","999,753","3,789,034","3,789,034","3,789,034",0,0
Labor,,,,,,,,,,,
Full-Time Positions,22,27,26,25,25,0,39,37,37,2,0
Class 100 Total Oblig./Approp.,"1,586,766","1,945,732","1,991,712","1,050,959","1,050,959",0,"2,939,422","2,840,422","2,884,257","55,165","(43,835)"
Class 100 Overtime Oblig./Approp.,274,986,59,"2,975","2,876",99,"35,950","5,950","5,950","30,000",0
Law,,,,,,,,,,,
Full-Time Positions,128,130,127,173,173,0,180,180,180,0,0
Class 100 Total Oblig./Approp.,"8,802,032","9,733,493","9,640,029","6,463,493","6,463,493",0,"13,329,167","13,529,379","13,740,897","(411,730)","(211,518)"
Class 100 Overtime Oblig./Approp.,72,6,"6,050",0,0,0,0,0,0,0,0
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,372,394,372,345,345,0,426,426,426,0,0
Class 100 Total Oblig./Approp.,"23,626,633","24,986,716","24,779,256","11,814,925","11,814,925",0,"24,577,968","24,427,968","25,792,609","(1,214,641)","(1,364,641)"
Class 100 Overtime Oblig./Approp.,"1,432,352","1,408,144","845,614","503,107","595,583","(92,476)","1,156,213","1,006,213","1,006,213","150,000",0
