0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2011,,,,,FISCAL YEAR,2012,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,290,12,302,311,15,326,287,15,302,24
Managing Director (MDO),153,17,170,145,15,160,120,24,144,16
Mayor,33,4,37,35,4,39,35,4,39,o
Mayor - Office of Arts and Culture,2,0,2,2,0,2,2,0,2,o
Mayor - Office of the Inspector General,16,0,16,18,o,18,18,o,18,0
Mayor's Office of Comm. Svcs.,0,73,73,0,81,81,0,66,66,15
Mayor's Office of Transportation,8,2,10,10,1,11,7,3,10,1
Mural Arts Program,12,o,12,12,o,12,11,o,11,1
Off. of Behavioral Hlth/Mental Retard. Svcs.,21,232,253,21,270,291,20,242,262,29
Office of Human Resources,73,o,73,80,0,80,76,0,76,4
Office of Innovation and Technology,258,67,325,284,84,368,266,66,332,36
Office of Property Assessment (2),132,o,132,227,o,227,141,0,141,86
Off.of Supportive Housing,116,44,160,118,49,167,154,8,162,5
Office of Housing and Community Develop.,0,72,72,0,74,74,o,62,62,12
Parks and Recreation,590,22,612,627,27,654,580,23,603,51
Police Total,"7,219",165,"7,384","7,371",216,"7,587","7,267",164,"7,431",156
Civilian,778,11,789,846,11,857,785,11,796,61
Uniform,"6,441",154,"6,595","6,525",205,"6,730","6,482",153,"6,635",95
Prisons,"2,166",0,"2,166","2,310",o,"2,310","2,155",o,"2,155",155
Procurement,45,2,47,49,2,51,45,2,47,4
Public Health,661,224,885,731,290,"1,021",686,210,896,125
Public Property,126,0,126,129,0,129,123,0,123,6
Records,61,0,61,63,0,63,56,0,56,7
Register of Wills,63,o,63,65,0,65,63,0,63,2
Revenue,248,239,487,299,270,569,279,239,518,51
Sheriff,221,0,221,245,o,245,227,o,227,18
Streets,510,0,510,557,o,557,525,0,525,32
Streets Sanitation,"1,179",o,"1,179","1,228",o,"1,228","1,162",o,"1,162",66
Water,o,"1,646","1,646",o,"1,907","1,907",o,"1,622","1,622",285
Youth Commission,1,o,1,1,o,1,o,o,0,1
Zoning Board of Adjustment,5,o,5,5,o,5,5,0,5,0
Zoning Code Commission,2,o,2,2,o,2,0,o,0,2
,,,,,,,,,,
TOTAL ALL FUNDS,"22,020","4,540","26,560","21,295","7,162","28,457","20,430","6,058","26,488","1,969"
