dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2550000.0,0.0,0.0,0.0,2550000.0,2017,,34,Art Museum,34
Atwater Kent Museum,244817.0,0.0,0.0,50000.0,0.0,0.0,0.0,294817.0,2017,Atwater Kent,18,Atwater Kent Museum,18
Auditing (City Controller),8009512.0,397450.0,25000.0,0.0,0.0,0.0,0.0,8431962.0,2017,,61,City Controller's Office,61
Board of Ethics,961403.0,96000.0,14000.0,0.0,0.0,0.0,0.0,1071403.0,2017,,45,Board of Ethics,45
Board of Revision of Taxes,819627.0,120200.0,15727.0,0.0,0.0,0.0,0.0,955554.0,2017,BRT,63,Board of Revision of Taxes,63
City Commissioners,5638818.0,3797350.0,603617.0,0.0,0.0,0.0,0.0,10039785.0,2017,City Commissioners,73,City Commissioner's Office,73
City Council,14309858.0,1904485.0,510650.0,100.0,0.0,100.0,100.0,16725293.0,2017,,01,City Council,01
City Planning Commission,2369484.0,129592.0,40652.0,0.0,0.0,0.0,0.0,2539728.0,2017,,51,City Planning Commission,51
City Representative,589381.0,481730.0,54000.0,0.0,0.0,0.0,0.0,1125111.0,2017,City Rep,41,Office of the City Representative,41
City Treasurer,1040058.0,118444.0,22224.0,0.0,0.0,0.0,0.0,1180726.0,2017,City Treasurer,40,Office of the City Treasurer,40
Civil Service Commission,148882.0,29500.0,1094.0,0.0,0.0,0.0,10000000.0,10179476.0,2017,,55,Civil Service Commission,55
Commerce,2107565.0,2175481.0,26654.0,500000.0,0.0,0.0,0.0,4809700.0,2017,Commerce,42,Office of the Director of Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2017,,42CC,Commerce: Convention Center Subsidy,42
Commerce-Economic Stimulus,0.0,3354448.0,0.0,0.0,0.0,0.0,0.0,3354448.0,2017,,42ES,Commerce: Economic Stimulus,42
District Attorney,33800485.0,2597257.0,546328.0,0.0,0.0,0.0,0.0,36944070.0,2017,DAO,69,District Attorney's Office,69
Finance,6911556.0,3029912.0,103109.0,2935000.0,0.0,0.0,0.0,12979577.0,2017,Finance,35,Office of the Director of Finance,35
