sector,num_accounts,net_income,gross_receipts,total,tax_year,parent_sector
Construction,3335.0,25080346.0,11817460.0,36897806.0,2018,
Health and Social Services,2257.0,17956210.0,5865202.0,23821412.0,2018,
Architect and Engineering,488.0,4006071.0,1409802.0,5415873.0,2018,Professional Services
Computer Services,310.0,3774065.0,1324022.0,5098087.0,2018,Professional Services
Management and Technical Consulting,772.0,8902294.0,2182122.0,11084416.0,2018,Professional Services
Advertising,154.0,1372054.0,481550.0,1853604.0,2018,Professional Services
Other Professional Services,710.0,2956962.0,1272726.0,4229688.0,2018,Professional Services
Educational Services,223.0,1083347.0,373320.0,1456667.0,2018,
Sports,18.0,1289559.0,858790.0,2148349.0,2018,
Legal Services,1171.0,58027432.0,4953809.0,62981241.0,2018,Professional Services
Hotels and Other Accommodations,104.0,4056259.0,1675974.0,5732233.0,2018,
"Restaurants, Bars, and Other Food Services",2577.0,10886499.0,4431630.0,15318129.0,2018,
Other Personal Services,1840.0,4902692.0,1602034.0,6504726.0,2018,
All Other Sectors,863.0,11561173.0,3742704.0,15303877.0,2018,
Unclassified,2056.0,6502763.0,2109853.0,8612616.0,2018,
Manufacturing,1324.0,8262576.0,5590373.0,13852949.0,2018,
"Accounting, Tax and Payroll Services",210.0,18369956.0,1925220.0,20295176.0,2018,Professional Services
Business Support Services,1236.0,6358018.0,3470444.0,9828462.0,2018,
Professional Services,3815.0,97408834.0,13549251.0,110958085.0,2018,
Publishing,94.0,1447911.0,462598.0,1910509.0,2018,Information
Real Estate,7416.0,57645185.0,8134688.0,65779873.0,2018,
"Chemicals, Pharmaceuticals & Petroleum",114.0,1800940.0,1062163.0,2863103.0,2018,Manufacturing
Other Manufacturing,960.0,4573740.0,3387845.0,7961585.0,2018,Manufacturing
Wholesale Trade,1723.0,15196056.0,14061213.0,29257269.0,2018,
Retail Trade,4314.0,22739470.0,18104759.0,40844229.0,2018,
Transportation and Storage,429.0,2749497.0,1647535.0,4397032.0,2018,
Information,442.0,11467111.0,3667722.0,15134833.0,2018,
Food and Beverage Products,250.0,1887896.0,1140365.0,3028261.0,2018,Manufacturing
Broadcasting (TV and Radio),15.0,689445.0,252656.0,942101.0,2018,Information
Telecommunications,89.0,7284782.0,1928392.0,9213174.0,2018,Information
Other Information,244.0,2044973.0,1024076.0,3069049.0,2018,Information
Banking and Related Activities,171.0,1837622.0,1811095.0,3648717.0,2018,
Financial Investment Services,199.0,5388984.0,7378752.0,12767736.0,2018,
Insurance,340.0,16268207.0,7644460.0,23912667.0,2018,
Educational Services,228.0,837793.0,366787.0,1204580.0,2017,
"Accounting, Tax and Payroll Services",230.0,16313935.0,1810074.0,18124009.0,2017,Professional Services
Architect and Engineering,495.0,3664943.0,1388507.0,5053450.0,2017,Professional Services
Computer Services,358.0,2652773.0,1679099.0,4331872.0,2017,Professional Services
Management and Technical Consulting,840.0,6869972.0,2186713.0,9056685.0,2017,Professional Services
Advertising,162.0,2328786.0,552571.0,2881357.0,2017,Professional Services
Other Professional Services,743.0,2872051.0,1249415.0,4121466.0,2017,Professional Services
Hotels and Other Accommodations,101.0,3077770.0,1413957.0,4491727.0,2017,
Health and Social Services,2350.0,16777138.0,6997562.0,23774700.0,2017,
Sports,16.0,1600960.0,704676.0,2305636.0,2017,
Professional Services,4070.0,92099094.0,13958658.0,106057752.0,2017,
"Restaurants, Bars, and Other Food Services",2671.0,8483248.0,4234071.0,12717319.0,2017,
Other Personal Services,1923.0,4355680.0,1641939.0,5997619.0,2017,
All Other Sectors,849.0,6556053.0,3689092.0,10245145.0,2017,
Unclassified,1976.0,5687414.0,1899993.0,7587407.0,2017,
Legal Services,1242.0,57396634.0,5092279.0,62488913.0,2017,Professional Services
Business Support Services,1292.0,5988196.0,3490756.0,9478952.0,2017,
Real Estate,7365.0,50040932.0,7586385.0,57627317.0,2017,
Information,474.0,14170471.0,3718840.0,17889311.0,2017,
Manufacturing,1439.0,10179235.0,6595812.0,16775047.0,2017,
Food and Beverage Products,272.0,1787246.0,1199489.0,2986735.0,2017,Manufacturing
