sector,apr_2014,apr_2013,apr_2012,apr_2011,growth_yoy_2014,growth_yoy_2013,growth_yoy_2012,growth_3yr,net_change,parent_sector
Construction,4203190,4277674,3516925,3089573,-1.7,21.6,13.8,10.8,-74484,
Manufacturing,10922333,9350328,9318770,8309876,16.8,0.3,12.1,9.5,1572005,
"Chemicals, Petroleum Refining",2251731,1386616,1332447,1703650,62.4,4.1,-21.8,9.7,865115,Manufacturing
Pharmaceuticals,2164874,1955666,1873035,1522400,10.7,4.4,23.0,12.5,209208,Manufacturing
Transportation Equipment,1010836,779169,787752,768700,29.7,-1.1,2.5,9.6,231667,Manufacturing
Food & Beverage Products,1375403,1112763,1377153,1019982,23.6,-19.2,35.0,10.5,262641,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",854956,749179,805091,609021,14.1,-6.9,32.2,12.0,105777,Manufacturing
Metal Manufacturing,878476,875137,910107,801641,0.4,-3.8,13.5,3.1,3339,Manufacturing
Miscellaneous Manufacturing,2386056,2491798,2233186,1884483,-4.2,11.6,18.5,8.2,-105741,Manufacturing
Public Utilities,1440418,1112867,1067390,896243,29.4,4.3,19.1,17.1,327551,
Transportation and Warehousing,5062186,4474863,4145264,3603861,13.1,8.0,15.0,12.0,587324,
Telecommunication,6638955,5453329,4065851,2958456,21.7,34.1,37.4,30.9,1185626,
"Publishing, Broadcasting, and Other Information",2624892,2149804,2455520,1659777,22.1,-12.5,47.9,16.5,475087,
Wholesale Trade,4662754,3860849,3716598,2676468,20.8,3.9,38.9,20.3,801905,
Retail Trade,7618975,7707976,7247457,5733464,-1.2,6.4,26.4,9.9,-89001,
Banking & Credit Unions,4138810,4019295,3745853,3113704,3.0,7.3,20.3,10.0,119515,
Securities / Financial Investments,4965356,5724935,4859068,3167717,-13.3,17.8,53.4,16.2,-759579,
Insurance,6039480,4987740,4982284,4568091,21.1,0.1,9.1,9.8,1051740,
"Real Estate, Rental and Leasing",3084361,2815615,2595559,1829619,9.5,8.5,41.9,19.0,268746,
Health and Social Services,29838052,26352609,26136327,22871037,13.2,0.8,14.3,9.3,3485443,
Hospitals,15851929,13511864,13145600,12377124,17.3,2.8,6.2,8.6,2340065,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3962184,3735352,3765942,2716286,6.1,-0.8,38.6,13.4,226832,Health and Social Services
Outpatient Care Centers and Other Health Services,4484618,3823597,3665008,3018299,17.3,4.3,21.4,14.1,661021,Health and Social Services
Nursing & Personal Care Facilities,2930523,2754870,2870479,2472076,6.4,-4.0,16.1,5.8,175654,Health and Social Services
Social Services,2608798,2526928,2689299,2287253,3.2,-6.0,17.6,4.5,81870,Health and Social Services
Education,12969330,12403032,13714309,10600182,4.6,-9.6,29.4,7.0,566298,
College and Universities,9749000,9206793,10567181,8298053,5.9,-12.9,27.3,5.5,542207,Education
"Elementary, Secondary Schools",2178760,2103962,1997898,1568250,3.6,5.3,27.4,11.6,74798,Education
Other Educational Services,1041570,1092278,1149230,733879,-4.6,-5.0,56.6,12.4,-50708,Education
Professional Services,16356941,15143684,14543348,10797082,8.0,4.1,34.7,14.9,1213258,
Legal Services,5389724,4899711,4990048,4096121,10.0,-1.8,21.8,9.6,490014,Professional Services
Management Consulting,3473077,3089744,3023787,1978642,12.4,2.2,52.8,20.6,383332,Professional Services
Engineering & Architectural Services,1695957,1707223,1626318,1375973,-0.7,5.0,18.2,7.2,-11267,Professional Services
Computer,1585542,1530852,1513189,850809,3.6,1.2,77.9,23.1,54691,Professional Services
"Accounting, Auditing, Bookkeeping",1549899,1464383,1312822,1112151,5.8,11.5,18.0,11.7,85517,Professional Services
Advertising and Other Professional Services,2662742,2451771,2077184,1383386,8.6,18.0,50.2,24.4,210970,Professional Services
Hotels,965883,864915,876406,706772,11.7,-1.3,24.0,11.0,100968,
Restaurants,3744058,3759979,3684453,2699274,-0.4,2.0,36.5,11.5,-15921,
Sport Teams,1928163,1968363,2044734,1067449,-2.0,-3.7,91.6,21.8,-40200,
"Arts, Entertainment, and Other Recreation",976291,873769,1014857,603543,11.7,-13.9,68.1,17.4,102522,
Other Sectors,10453129,10697187,10076034,8110226,-2.3,6.2,24.2,8.8,-244058,
Membership Organizations,3203063,2985414,2986716,2372136,7.3,0.0,25.9,10.5,217649,Other Sectors
Employment/Outsourcing Agencies,2143634,2271973,1946402,1997447,-5.6,16.7,-2.6,2.4,-128338,Other Sectors
Security and Investigation Services,626450,661049,750622,632879,-5.2,-11.9,18.6,-0.3,-34599,Other Sectors
Services to Buildings,1016461,1011981,1116094,842464,0.4,-9.3,32.5,6.5,4480,Other Sectors
Miscellaneous Sectors,3463521,3766771,3276200,2265301,-8.1,15.0,44.6,15.2,-303250,Other Sectors
Government,26366742,22835269,20951527,17211973,15.5,9.0,21.7,15.3,3531473,
State Government (PA),917626,1073808,1057265,956195,-14.5,1.6,10.6,-1.4,-156182,Government
"City, School District, Local Quasi Govt.",12691022,9086017,8769877,9238856,39.7,3.6,-5.1,11.2,3605005,Government
Federal Government,12589888,12488023,10934608,6848655,0.8,14.2,59.7,22.5,101865,Government
Other Governments,168206,187422,189777,168267,-10.3,-1.2,12.8,0.0,-19215,Government
Unclassified Accounts,526346,360987,303833,120996,45.8,18.8,151.1,63.2,165359,
