sector,aug_2015,aug_2014,aug_2013,aug_2012,growth_yoy_2015,growth_yoy_2014,growth_yoy_2013,growth_3yr,net_change,parent_sector
Construction,5270146,4369914,3857857,3609282,20.6,13.3,6.9,13.4,900232,
Manufacturing,8674651,7863339,7012777,7924992,10.3,12.1,-11.5,3.1,811312,
"Chemicals, Petroleum Refining",1586441,1379927,1181356,1507043,15.0,16.8,-21.6,1.7,206514,Manufacturing
Pharmaceuticals,1489941,1567520,1172455,1540453,-4.9,33.7,-23.9,-1.1,-77579,Manufacturing
Transportation Equipment,801071,819033,790029,848501,-2.2,3.7,-6.9,-1.9,-17962,Manufacturing
Food & Beverage Products,1142550,1056762,970694,1170593,8.1,8.9,-17.1,-0.8,85788,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",746163,687797,614520,663202,8.5,11.9,-7.3,4.0,58366,Manufacturing
Metal Manufacturing,702291,599837,572760,598725,17.1,4.7,-4.3,5.5,102454,Manufacturing
Miscellaneous Manufacturing,2206192,1752463,1710965,1596476,25.9,2.4,7.2,11.4,453730,Manufacturing
Public Utilities,962305,963471,853052,820742,-0.1,12.9,3.9,5.4,-1166,
Transportation and Warehousing,4425356,3945499,3649329,4147613,12.2,8.1,-12.0,2.2,479857,
Telecommunication,2633559,2390209,2201313,3222439,10.2,8.6,-31.7,-6.5,243350,
"Publishing, Broadcasting, and Other Information",1682623,1613833,1668494,1802355,4.3,-3.3,-7.4,-2.3,68790,
Wholesale Trade,3241572,2854219,2673457,2719218,13.6,6.8,-1.7,6.0,387353,
Retail Trade,6554192,5915139,5601640,5741347,10.8,5.6,-2.4,4.5,639053,
Banking & Credit Unions,2822218,2355402,2472758,2775819,19.8,-4.7,-10.9,0.6,466815,
Securities / Financial Investments,3178590,2947501,2665551,2999789,7.8,10.6,-11.1,1.9,231089,
Insurance,4045590,3766117,3957934,4157468,7.4,-4.8,-4.8,-0.9,279473,
"Real Estate, Rental and Leasing",1911739,1659206,1691211,1642964,15.2,-1.9,2.9,5.2,252533,
Health and Social Services,28061228,27365439,26088391,26564495,2.5,4.9,-1.8,1.8,695788,
Hospitals,14888249,14736308,14149796,14903317,1.0,4.1,-5.1,0.0,151941,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3652087,2945114,2761443,3377840,24.0,6.7,-18.2,2.6,706973,Health and Social Services
Outpatient Care Centers and Other Health Services,4134322,4634842,4584207,3475089,-10.8,1.1,31.9,6.0,-500520,Health and Social Services
Nursing & Personal Care Facilities,2838242,2756762,2637470,2581616,3.0,4.5,2.2,3.2,81480,Health and Social Services
Social Services,2548328,2292413,1955475,2226633,11.2,17.2,-12.2,4.6,255915,Health and Social Services
Education,14060333,13365209,11837335,11951922,5.2,12.9,-1.0,5.6,695125,
College and Universities,11192662,10799887,9511230,9603003,3.6,13.5,-1.0,5.2,392776,Education
"Elementary, Secondary Schools",1927698,1809774,1582373,1556035,6.5,14.4,1.7,7.4,117925,Education
Other Educational Services,939973,755549,743731,792884,24.4,1.6,-6.2,5.8,184424,Education
Professional Services,14061012,12635544,11948795,12173705,11.3,5.7,-1.8,4.9,1425469,
Legal Services,4686001,4324650,4258788,4792313,8.4,1.5,-11.1,-0.7,361350,Professional Services
Management Consulting,2843808,2421083,2387324,2382162,17.5,1.4,0.2,6.1,422725,Professional Services
Engineering & Architectural Services,1594397,1390707,1319158,1430387,14.6,5.4,-7.8,3.7,203691,Professional Services
Computer,1228332,1159486,1097792,938819,5.9,5.6,16.9,9.4,68846,Professional Services
"Accounting, Auditing, Bookkeeping",1730126,1697577,1318257,1190071,1.9,28.8,10.8,13.3,32549,Professional Services
Advertising and Other Professional Services,1978348,1642041,1567476,1439952,20.5,4.8,8.9,11.2,336307,Professional Services
Hotels,833092,930442,783903,902604,-10.5,18.7,-13.2,-2.6,-97350,
Restaurants,3333011,3149979,3070242,2995067,5.8,2.6,2.5,3.6,183032,
Sport Teams,920640,1139847,1307101,1201166,-19.2,-12.8,8.8,-8.5,-219206,
"Arts, Entertainment, and Other Recreation",997034,894770,866291,803730,11.4,3.3,7.8,7.4,102264,
Other Sectors,10094610,9073359,8301718,8030256,11.3,9.3,3.4,7.9,1021251,
Membership Organizations,2879433,2662167,2522697,2340451,8.2,5.5,7.8,7.2,217266,Other Sectors
Employment/Outsourcing Agencies,2366714,2127679,1776392,1791667,11.2,19.8,-0.9,9.7,239035,Other Sectors
Security and Investigation Services,777394,690116,518829,578495,12.6,33.0,-10.3,10.4,87278,Other Sectors
Services to Buildings,1003388,873565,857321,920383,14.9,1.9,-6.9,2.9,129823,Other Sectors
Miscellaneous Sectors,3067681,2719831,2626479,2399259,12.8,3.6,9.5,8.5,347849,Other Sectors
Government,14340902,14486549,13337139,16048356,-1.0,8.6,-16.9,-3.7,-145647,
State Government (PA),1112715,935019,926547,927616,19.0,0.9,-0.1,6.3,177696,Government
"City, School District, Local Quasi Govt.",8885155,8631520,8529184,10602608,2.9,1.2,-19.6,-5.7,253635,Government
Federal Government,4184008,4778452,3706655,4324793,-12.4,28.9,-14.3,-1.1,-594445,Government
Other Governments,159025,141558,174754,193340,12.3,-19.0,-9.6,-6.3,17467,Government
Unclassified Accounts,341547,221872,176155,181578,53.9,26.0,-3.0,23.4,119675,
