sector,feb_2016,feb_2015,feb_2014,feb_2013,growth_yoy_2016,growth_yoy_2015,growth_yoy_2014,growth_3yr,net_change,parent_sector
Construction,6209459,5051702,3791516,3766831,22.9,33.2,0.7,18.1,1157757,
Manufacturing,9478539,9254082,8432708,7492278,2.4,9.7,12.6,8.2,224456,
"Chemicals, Petroleum Refining",1521188,2290127,1817350,1574408,-33.6,26.0,15.4,-1.1,-768940,Manufacturing
Pharmaceuticals,2076871,1443147,1504147,1238587,43.9,-4.1,21.4,18.8,633725,Manufacturing
Transportation Equipment,895402,760153,759125,759836,17.8,0.1,-0.1,5.6,135250,Manufacturing
Food & Beverage Products,1362004,1154187,1101822,954822,18.0,4.8,15.4,12.6,207816,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",787009,787725,770403,688882,-0.1,2.2,11.8,4.5,-716,Manufacturing
Metal Manufacturing,699259,682856,645494,581274,2.4,5.8,11.0,6.4,16404,Manufacturing
Miscellaneous Manufacturing,2136806,2135888,1834369,1694468,0.0,16.4,8.3,8.0,918,Manufacturing
Public Utilities,1324722,1294304,1298663,1720088,2.4,-0.3,-24.5,-8.3,30419,
Transportation and Warehousing,4998781,5287662,4420731,3691541,-5.5,19.6,19.8,10.6,-288882,
Telecommunication,2700180,2757607,2568582,2406168,-2.1,7.4,6.7,3.9,-57427,
"Publishing, Broadcasting, and Other Information",2290762,1957481,1795500,1640984,17.0,9.0,9.4,11.8,333282,
Wholesale Trade,3953550,3366230,2900663,2488550,17.4,16.1,16.6,16.7,587320,
Retail Trade,8216563,7065072,6284531,5755873,16.3,12.4,9.2,12.6,1151491,
Banking & Credit Unions,3187814,3394768,3142220,2886256,-6.1,8.0,8.9,3.4,-206954,
Securities / Financial Investments,5410587,5057203,4763565,4316711,7.0,6.2,10.4,7.8,353383,
Insurance,5166383,4311934,4312880,4276533,19.8,0.0,0.8,6.5,854449,
"Real Estate, Rental and Leasing",2663178,2100741,1858221,1637553,26.8,13.1,13.5,17.6,562437,
Health and Social Services,31358284,28861939,25921695,24595437,8.6,11.3,5.4,8.4,2496345,
Hospitals,14552056,13694607,14093678,13883389,6.3,-2.8,1.5,1.6,857449,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4542833,3883098,3045358,2773262,17.0,27.5,9.8,17.9,659735,Health and Social Services
Outpatient Care Centers and Other Health Services,5568432,5594413,3659441,3332422,-0.5,52.9,9.8,18.7,-25980,Health and Social Services
Nursing & Personal Care Facilities,3394429,2996382,2827779,2694023,13.3,6.0,5.0,8.0,398047,Health and Social Services
Social Services,3300533,2693439,2295439,1912341,22.5,17.3,20.0,20.0,607094,Health and Social Services
Education,14170519,13847395,12998346,11889114,2.3,6.5,9.3,6.0,323124,
College and Universities,10881403,10498761,10038012,9283215,3.6,4.6,8.1,5.4,382642,Education
"Elementary, Secondary Schools",2168481,2292093,2032871,1765126,-5.4,12.8,15.2,7.1,-123612,Education
Other Educational Services,1120636,1056542,927462,840774,6.1,13.9,10.3,10.1,64094,Education
Professional Services,18657010,16553672,13304359,12280420,12.7,24.4,8.3,15.0,2103337,
Legal Services,6240301,5909452,4865722,4760976,5.6,21.5,2.2,9.4,330849,Professional Services
Management Consulting,3828961,3608237,2607548,2320407,6.1,38.4,12.4,18.2,220724,Professional Services
Engineering & Architectural Services,1972128,1659484,1420918,1265434,18.8,16.8,12.3,15.9,312644,Professional Services
Computer,1609850,1338893,1199617,1050646,20.2,11.6,14.2,15.3,270956,Professional Services
"Accounting, Auditing, Bookkeeping",1954459,1690733,1470135,1329732,15.6,15.0,10.6,13.7,263727,Professional Services
Advertising and Other Professional Services,3051310,2346873,1740418,1553225,30.0,34.8,12.1,25.2,704437,Professional Services
Hotels,1103625,855203,835752,805783,29.0,2.3,3.7,11.1,248422,
Restaurants,4834123,4035022,3572924,3213513,19.8,12.9,11.2,14.6,799100,
Sport Teams,2114794,882794,895501,737436,139.6,-1.4,21.4,42.1,1232001,
"Arts, Entertainment, and Other Recreation",1339459,1189480,965515,815814,12.6,23.2,18.3,18.0,149979,
Other Sectors,12986323,11431785,9174228,8374619,13.6,24.6,9.5,15.7,1554538,
Membership Organizations,3537661,3005675,2540286,2381002,17.7,18.3,6.7,14.1,531985,Other Sectors
Employment/Outsourcing Agencies,2805798,2576489,1962620,1818202,8.9,31.3,7.9,15.6,229309,Other Sectors
Security and Investigation Services,655935,810972,822760,694926,-19.1,-1.4,18.4,-1.9,-155037,Other Sectors
Services to Buildings,1085395,1092888,1011727,828295,-0.7,8.0,22.1,9.4,-7493,Other Sectors
Miscellaneous Sectors,4901534,3945761,2836835,2652194,24.2,39.1,7.0,22.7,955773,Other Sectors
Government,14774245,15940474,13245876,13152159,-7.3,20.3,0.7,4.0,-1166229,
State Government (PA),964556,1118224,1068477,962004,-13.7,4.7,11.1,0.1,-153668,Government
"City, School District, Local Quasi Govt.",9081382,8937093,8828754,8795460,1.6,1.2,0.4,1.1,144289,Government
Federal Government,4504263,5723186,3177945,3240153,-21.3,80.1,-1.9,11.6,-1218923,Government
Other Governments,224045,161971,170701,154543,38.3,-5.1,10.5,13.2,62074,Government
Unclassified Accounts,695888,363144,218120,160731,91.6,66.5,35.7,63.0,332744,
