sector,oct_2016,oct_2015,oct_2014,oct_2013,growth_yoy_2016,growth_yoy_2015,growth_yoy_2014,growth_3yr,net_change,parent_sector
Construction,6170041,5172668,5533330,4726778,19.3,-6.5,17.1,9.3,997374,
Manufacturing,10289481,7690578,9657085,9356744,33.8,-20.4,3.2,3.2,2598904,
"Chemicals, Petroleum Refining",1557512,1387063,1498120,1514466,12.3,-7.4,-1.1,0.9,170448,Manufacturing
Pharmaceuticals,2037821,1252767,2163020,1986736,62.7,-42.1,8.9,0.8,785054,Manufacturing
Transportation Equipment,950147,821555,941868,967189,15.7,-12.8,-2.6,-0.6,128592,Manufacturing
Food & Beverage Products,1842903,1179089,1429639,1437777,56.3,-17.5,-0.6,8.6,663815,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",911249,824647,822304,830798,10.5,0.3,-1.0,3.1,86602,Manufacturing
Metal Manufacturing,729431,627349,664932,663086,16.3,-5.7,0.3,3.2,102082,Manufacturing
Miscellaneous Manufacturing,2260418,1598108,2137203,1956692,41.4,-25.2,9.2,4.9,662310,Manufacturing
Public Utilities,1064845,877455,1142899,1122021,21.4,-23.2,1.9,-1.7,187390,
Transportation and Warehousing,5256522,4215719,5272441,5122274,24.7,-20.0,2.9,0.9,1040803,
Telecommunication,2815199,2397992,2414244,2269445,17.4,-0.7,6.4,7.4,417206,
"Publishing, Broadcasting, and Other Information",2258535,1771824,2237230,2315530,27.5,-20.8,-3.4,-0.8,486711,
Wholesale Trade,4293353,2830698,3793681,3498433,51.7,-25.4,8.4,7.1,1462655,
Retail Trade,8326954,6298288,7553702,7010447,32.2,-16.6,7.7,5.9,2028667,
Banking & Credit Unions,3040235,2364039,2678920,2765458,28.6,-11.8,-3.1,3.2,676196,
Securities / Financial Investments,3245046,2807304,3033294,2753384,15.6,-7.5,10.2,5.6,437741,
Insurance,4646187,4646540,4780193,4722876,0.0,-2.8,1.2,-0.5,-353,
"Real Estate, Rental and Leasing",2697277,1925429,2322693,1981736,40.1,-17.1,17.2,10.8,771848,
Health and Social Services,33304574,28780268,30083709,29165568,15.7,-4.3,3.1,4.5,4524306,
Hospitals,16185939,16182490,15801539,15436522,0.0,2.4,2.4,1.6,3448,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4475406,3222514,4092137,4307449,38.9,-21.3,-5.0,1.3,1252892,Health and Social Services
Outpatient Care Centers and Other Health Services,5557591,4138456,4383807,3936413,34.3,-5.6,11.4,12.2,1419135,Health and Social Services
Nursing & Personal Care Facilities,3587765,2854198,3018240,2992459,25.7,-5.4,0.9,6.2,733568,Health and Social Services
Social Services,3497873,2382611,2787986,2492724,46.8,-14.5,11.8,12.0,1115262,Health and Social Services
Education,15830319,14241369,14412398,13453488,11.2,-1.2,7.1,5.6,1588950,
College and Universities,12250228,11453872,11141470,10234579,7.0,2.8,8.9,6.2,796356,Education
"Elementary, Secondary Schools",2399769,1838521,2236658,2148941,30.5,-17.8,4.1,3.7,561247,Education
Other Educational Services,1180323,948976,1034270,1069967,24.4,-8.2,-3.3,3.3,231347,Education
Professional Services,19963007,14037556,17110163,16058235,42.2,-18.0,6.6,7.5,5925451,
Legal Services,5669349,4520611,5656366,5567248,25.4,-20.1,1.6,0.6,1148738,Professional Services
Management Consulting,4069584,2712130,3538560,3049110,50.1,-23.4,16.1,10.1,1357454,Professional Services
Engineering & Architectural Services,2251283,1546620,1742009,1710005,45.6,-11.2,1.9,9.6,704663,Professional Services
Computer,1876113,1234060,1567219,1473733,52.0,-21.3,6.3,8.4,642053,Professional Services
"Accounting, Auditing, Bookkeeping",2699401,2075696,1954111,1765775,30.0,6.2,10.7,15.2,623705,Professional Services
Advertising and Other Professional Services,3397277,1948438,2651897,2492363,74.4,-26.5,6.4,10.9,1448839,Professional Services
Hotels,935604,842872,1040619,1006364,11.0,-19.0,3.4,-2.4,92732,
Restaurants,4950715,3714832,4649363,4258067,33.3,-20.1,9.2,5.2,1235883,
Sport Teams,2065201,1808286,1987074,1962337,14.2,-9.0,1.3,1.7,256914,
"Arts, Entertainment, and Other Recreation",1565144,968793,1266823,1216660,61.6,-23.5,4.1,8.8,596352,
Other Sectors,13891272,9526446,11564511,10679785,45.8,-17.6,8.3,9.2,4364826,
Membership Organizations,4004611,2753090,3189769,2991215,45.5,-13.7,6.6,10.2,1251521,Other Sectors
Employment/Outsourcing Agencies,2729851,2251801,2479511,2217770,21.2,-9.2,11.8,7.2,478050,Other Sectors
Security and Investigation Services,882421,672162,729382,911797,31.3,-7.8,-20.0,-1.1,210259,Other Sectors
Services to Buildings,1215447,875030,1142856,1045580,38.9,-23.4,9.3,5.1,340418,Other Sectors
Miscellaneous Sectors,5058942,2974363,4022993,3513422,70.1,-26.1,14.5,12.9,2084579,Other Sectors
Government,13720989,23157254,24368264,22842429,-40.7,-5.0,6.7,-15.6,-9436265,
State Government (PA),1170922,924070,928367,933441,26.7,-0.5,-0.5,7.8,246851,Government
"City, School District, Local Quasi Govt.",9092154,9280231,10679623,10551324,-2.0,-13.1,1.2,-4.8,-188077,Government
Federal Government,3211082,12777645,12518518,11158593,-74.9,2.1,12.2,-34.0,-9566563,Government
Other Governments,246832,175308,241755,199071,40.8,-27.5,21.4,7.4,71524,Government
Unclassified Accounts,467019,144892,317098,307566,222.3,-54.3,3.1,14.9,322127,
