sector,may_2017,may_2016,may_2015,may_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,6179522,5961113,4538775,4227340,3.7,31.3,7.4,13.5,218409,
Manufacturing,9260714,9470233,8110309,7870173,-2.2,16.8,3.1,5.6,-209519,
"Chemicals, Petroleum Refining",1226053,1139946,1600266,1289800,7.6,-28.8,24.1,-1.7,86106,Manufacturing
Pharmaceuticals,1914819,1836347,1334915,1733253,4.3,37.6,-23.0,3.4,78472,Manufacturing
Transportation Equipment,937777,897391,848620,823464,4.5,5.7,3.1,4.4,40386,Manufacturing
Food & Beverage Products,1320083,1343757,1308242,1058523,-1.8,2.7,23.6,7.6,-23674,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",848844,847195,660561,718382,0.2,28.3,-8.0,5.7,1649,Manufacturing
Metal Manufacturing,793376,1147597,585561,661698,-30.9,96.0,-11.5,6.2,-354221,Manufacturing
Miscellaneous Manufacturing,2219761,2257998,1772143,1585053,-1.7,27.4,11.8,11.9,-38237,Manufacturing
Public Utilities,1057833,1031299,980975,887809,2.6,5.1,10.5,6.0,26534,
Transportation and Warehousing,5635372,4953232,4355367,3981137,13.8,13.7,9.4,12.3,682140,
Telecommunication,3751534,3075275,2901387,2595703,22.0,6.0,11.8,13.1,676259,
"Publishing, Broadcasting, and Other Information",2170734,2327822,1828389,1608256,-6.7,27.3,13.7,10.5,-157088,
Wholesale Trade,4431042,4316411,2845222,2644462,2.7,51.7,7.6,18.8,114631,
Retail Trade,8307817,8204858,6438831,6137484,1.3,27.4,4.9,10.6,102959,
Banking & Credit Unions,3110211,2991609,2485082,2395883,4.0,20.4,3.7,9.1,118602,
Securities / Financial Investments,2202857,3077112,3230227,4318630,-28.4,-4.7,-25.2,-20.1,-874255,
Insurance,4590528,4706795,3906867,3864662,-2.5,20.5,1.1,5.9,-116267,
"Real Estate, Rental and Leasing",2528043,2421333,1701309,1671694,4.4,42.3,1.8,14.8,106709,
Health and Social Services,33139140,30984799,25824128,25920435,7.0,20.0,-0.4,8.5,2154340,
Hospitals,15811253,15054510,14005377,13836900,5.0,7.5,1.2,4.5,756743,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4348860,4312217,2997077,2903779,0.8,43.9,3.2,14.4,36643,Health and Social Services
Outpatient Care Centers and Other Health Services,6169646,5252427,3702452,4369412,17.5,41.9,-15.3,12.2,917219,Health and Social Services
Nursing & Personal Care Facilities,3108605,3004769,2763079,2605368,3.5,8.7,6.1,6.1,103835,Health and Social Services
Social Services,3700776,3360875,2356143,2204976,10.1,42.6,6.9,18.8,339900,Health and Social Services
Education,14634959,14424332,12923464,12753973,1.5,11.6,1.3,4.7,210627,
College and Universities,10912945,10853895,10342309,9909015,0.5,4.9,4.4,3.3,59051,Education
"Elementary, Secondary Schools",2606225,2402214,1682977,1969232,8.5,42.7,-14.5,9.8,204010,Education
Other Educational Services,1115789,1168223,898179,875725,-4.5,30.1,2.6,8.4,-52434,Education
Professional Services,19107419,18202927,13574260,12462799,5.0,34.1,8.9,15.3,904492,
Legal Services,5375296,5171762,4457841,4449590,3.9,16.0,0.2,6.5,203534,Professional Services
Management Consulting,3716680,3834559,2692719,2253246,-3.1,42.4,19.5,18.2,-117879,Professional Services
Engineering & Architectural Services,2288238,2038688,1518260,1339157,12.2,34.3,13.4,19.6,249550,Professional Services
Computer,1819033,1843633,1286222,1080220,-1.3,43.3,19.1,19.0,-24601,Professional Services
"Accounting, Auditing, Bookkeeping",2202765,2084647,1754898,1628635,5.7,18.8,7.8,10.6,118119,Professional Services
Advertising and Other Professional Services,3705406,3229637,1864321,1711951,14.7,73.2,8.9,29.4,475769,Professional Services
Hotels,1002007,973285,825926,851849,3.0,17.8,-3.0,5.6,28722,
Restaurants,5031453,4772485,3486788,3675537,5.4,36.9,-5.1,11.0,258968,
Sport Teams,1449494,941745,1412310,1009603,53.9,-33.3,39.9,12.8,507749,
"Arts, Entertainment, and Other Recreation",1271626,1340675,994651,899506,-5.2,34.8,10.6,12.2,-69049,
Other Sectors,13575715,12837939,9284766,8866946,5.7,38.3,4.7,15.3,737775,
Membership Organizations,3578901,3624738,2654147,2505285,-1.3,36.6,5.9,12.6,-45837,Other Sectors
Employment/Outsourcing Agencies,2926564,2565108,2204505,1975514,14.1,16.4,11.6,14.0,361456,Other Sectors
Security and Investigation Services,778522,682989,597834,575779,14.0,14.2,3.8,10.6,95533,Other Sectors
Services to Buildings,979004,1087406,861472,889123,-10.0,26.2,-3.1,3.3,-108402,Other Sectors
Miscellaneous Sectors,5312724,4877698,2966808,2921245,8.9,64.4,1.6,22.1,435026,Other Sectors
Government,16505242,16415277,14125894,12475694,0.5,16.2,13.2,9.8,89965,
State Government (PA),996934,1179022,978539,928348,-15.4,20.5,5.4,2.4,-182088,Government
"City, School District, Local Quasi Govt.",11353662,10915057,9486273,8542809,4.0,15.1,11.0,9.9,438605,Government
Federal Government,3950492,4117835,3346533,2843908,-4.1,23.0,17.7,11.6,-167344,Government
Other Governments,204154,203362,314549,160629,0.4,-35.3,95.8,8.3,792,Government
Unclassified Accounts,433414,307990,194107,227022,40.7,58.7,-14.5,24.1,125424,
