sector,jul_2020,jul_2019,jul_2018,jul_2017,growth_yoy_2020,growth_yoy_2019,growth_yoy_2018,growth_3yr,net_change,parent_sector
Construction,5082978,7552779,6984671,6743422,-32.7,8.1,3.6,-9.0,-2469801,
Manufacturing,7874845,11149592,9746472,9741515,-29.4,14.4,0.1,-6.8,-3274747,
"Chemicals, Petroleum Refining",1363044,2224618,1259488,1424506,-38.7,76.6,-11.6,-1.5,-861574,Manufacturing
Pharmaceuticals,1440905,2099676,1888111,1965806,-31.4,11.2,-4.0,-9.8,-658771,Manufacturing
Transportation Equipment,892234,966603,730833,820205,-7.7,32.3,-10.9,2.8,-74368,Manufacturing
Food & Beverage Products,1417542,1658168,1501055,1383569,-14.5,10.5,8.5,0.8,-240625,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",573101,1003025,1032571,923938,-42.9,-2.9,11.8,-14.7,-429924,Manufacturing
Metal Manufacturing,595800,785592,843018,787629,-24.2,-6.8,7.0,-8.9,-189791,Manufacturing
Miscellaneous Manufacturing,1592219,2411911,2491397,2435862,-34.0,-3.2,2.3,-13.2,-819692,Manufacturing
Public Utilities,1444900,1264880,1063464,1154922,14.2,18.9,-7.9,7.8,180020,
Transportation and Warehousing,5683179,7073165,5983307,5399537,-19.7,18.2,10.8,1.7,-1389987,
Telecommunication,2509414,4619584,3386750,3178650,-45.7,36.4,6.5,-7.6,-2110171,
"Publishing, Broadcasting, and Other Information",1911267,2777078,2613558,2167638,-31.2,6.3,20.6,-4.1,-865811,
Wholesale Trade,2765219,4384663,4349343,4495912,-36.9,0.8,-3.3,-15.0,-1619444,
Retail Trade,7441523,9603763,8977078,8812453,-22.5,7.0,1.9,-5.5,-2162239,
Banking & Credit Unions,2442054,3113935,3057230,3080526,-21.6,1.9,-0.8,-7.4,-671881,
Securities / Financial Investments,3278321,4321971,3876401,3648143,-24.1,11.5,6.3,-3.5,-1043651,
Insurance,3682691,5585410,4815158,4594548,-34.1,16.0,4.8,-7.1,-1902719,
"Real Estate, Rental and Leasing",2053738,2997886,2842596,2824817,-31.5,5.5,0.6,-10.1,-944148,
Health and Social Services,36422580,45103474,38472353,34871021,-19.2,17.2,10.3,1.5,-8680894,
Hospitals,19204394,21942308,18260892,16589942,-12.5,20.2,10.1,5.0,-2737914,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3278672,4898922,4510073,4498483,-33.1,8.6,0.3,-10.0,-1620251,Health and Social Services
Outpatient Care Centers and Other Health Services,5302492,7362301,6991465,5872469,-28.0,5.3,19.1,-3.3,-2059810,Health and Social Services
Nursing & Personal Care Facilities,3605948,4168957,3655326,3642193,-13.5,14.1,0.4,-0.3,-563010,Health and Social Services
Social Services,5031075,6730984,5054597,4267934,-25.3,33.2,18.4,5.6,-1699909,Health and Social Services
Education,12748846,17159299,16181842,15762854,-25.7,6.0,2.7,-6.8,-4410453,
College and Universities,9334260,12876043,12002270,11883976,-27.5,7.3,1.0,-7.7,-3541783,Education
"Elementary, Secondary Schools",2472234,2917821,2832242,2679712,-15.3,3.0,5.7,-2.7,-445588,Education
Other Educational Services,942352,1365434,1347330,1199167,-31.0,1.3,12.4,-7.7,-423082,Education
Professional Services,14693445,24025906,20913101,20054683,-38.8,14.9,4.3,-9.8,-9332461,
Legal Services,4031073,6853534,5945158,5978963,-41.2,15.3,-0.6,-12.3,-2822461,Professional Services
Management Consulting,2753973,4938460,4091356,3864000,-44.2,20.7,5.9,-10.7,-2184487,Professional Services
Engineering & Architectural Services,1882230,2575523,2388105,2266457,-26.9,7.8,5.4,-6.0,-693293,Professional Services
Computer,1627827,2305959,2071147,1976887,-29.4,11.3,4.8,-6.3,-678132,Professional Services
"Accounting, Auditing, Bookkeeping",1635446,2201000,2043868,2059503,-25.7,7.7,-0.8,-7.4,-565554,Professional Services
Advertising and Other Professional Services,2762895,5151429,4373468,3908873,-46.4,17.8,11.9,-10.9,-2388534,Professional Services
Hotels,324782,1297916,1032527,1009823,-75.0,25.7,2.2,-31.5,-973134,
Restaurants,2508724,6191259,5589545,5572759,-59.5,10.8,0.3,-23.4,-3682535,
Sport Teams,1333738,2398210,1632483,1397333,-44.4,46.9,16.8,-1.5,-1064472,
"Arts, Entertainment, and Other Recreation",729168,1672420,1474788,1380886,-56.4,13.4,6.8,-19.2,-943252,
Other Sectors,9711318,16118701,15340041,15652359,-39.8,5.1,-2.0,-14.7,-6407383,
Membership Organizations,2925564,4284763,4239307,4179170,-31.7,1.1,1.4,-11.2,-1359199,Other Sectors
Employment/Outsourcing Agencies,2194218,3403064,3217493,3710922,-35.5,5.8,-13.3,-16.1,-1208845,Other Sectors
Security and Investigation Services,761777,853287,828442,859574,-10.7,3.0,-3.6,-3.9,-91510,Other Sectors
Services to Buildings,803434,1311593,1212350,1392285,-38.7,8.2,-12.9,-16.7,-508159,Other Sectors
Miscellaneous Sectors,3026324,6265994,5842449,5510408,-51.7,7.2,6.0,-18.1,-3239669,Other Sectors
Government,28228068,26741186,26059196,26136837,5.6,2.6,-0.3,2.6,1486882,
State Government (PA),1032741,1456852,1185890,1171633,-29.1,22.8,1.2,-4.1,-424111,Government
"City, School District, Local Quasi Govt.",12663786,13430376,10894759,10683964,-5.7,23.3,2.0,5.8,-766590,Government
Federal Government,14339902,11562592,13706675,14036369,24.0,-15.6,-2.3,0.7,2777310,Government
Other Governments,191638,291366,271873,244871,-34.2,7.2,11.0,-7.8,-99727,Government
Unclassified Accounts,380306,248370,192046,227419,53.1,29.3,-15.6,18.7,131935,
