sector,jul_to_sep_2021,jul_to_sep_2020,jul_to_sep_2019,jul_to_sep_2018,growth_yoy_2021,growth_yoy_2020,growth_yoy_2019,growth_3yr,net_change,parent_sector
Construction,52353742,49603229,54334883,51753756,5.5,-8.7,5.0,0.4,2750513,
Manufacturing,82044270,98060823,91585540,88623258,-16.3,7.1,3.3,-2.5,-16016553,
"Chemicals, Petroleum Refining",10740735,13067824,17509705,17102378,-17.8,-25.4,2.4,-14.4,-2327089,Manufacturing
Pharmaceuticals,18815716,33456006,21201656,18981201,-43.8,57.8,11.7,-0.3,-14640290,Manufacturing
Transportation Equipment,7512733,7405555,7445099,7254670,1.4,-0.5,2.6,1.2,107179,Manufacturing
Food & Beverage Products,13597283,13154835,12409062,12591096,3.4,6.0,-1.4,2.6,442448,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",7309875,7096078,7367317,7135730,3.0,-3.7,3.2,0.8,213797,Manufacturing
Metal Manufacturing,5367467,5945877,6869970,7509297,-9.7,-13.5,-8.5,-10.6,-578410,Manufacturing
Miscellaneous Manufacturing,18700460,17934648,18782730,18048887,4.3,-4.5,4.1,1.2,765812,Manufacturing
Public Utilities,10462840,12081611,12104170,11546294,-13.4,-0.2,4.8,-3.2,-1618770,
Transportation and Warehousing,49827294,50437956,53651405,51397681,-1.2,-6.0,4.4,-1.0,-610662,
Telecommunication,24139534,43641593,46261241,40565596,-44.7,-5.7,14.0,-15.9,-19502059,
"Publishing, Broadcasting, and Other Information",19585874,21779693,21414655,19526752,-10.1,1.7,9.7,0.1,-2193819,
Wholesale Trade,32163101,31075957,32726174,33419699,3.5,-5.0,-2.1,-1.3,1087144,
Retail Trade,81112391,74412335,75864378,71163991,9.0,-1.9,6.6,4.5,6700056,
Banking & Credit Unions,27847444,31604041,30432454,30757669,-11.9,3.8,-1.1,-3.3,-3756597,
Securities / Financial Investments,37987578,44691279,43525939,44927050,-15.0,2.7,-3.1,-5.4,-6703701,
Insurance,35590597,50592284,54644373,52854821,-29.7,-7.4,3.4,-12.4,-15001687,
"Real Estate, Rental and Leasing",21194370,24821217,23696436,23028743,-14.6,4.7,2.9,-2.7,-3626847,
Health and Social Services,336155820,341019667,331211071,309596626,-1.4,3.0,7.0,2.8,-4863848,
Hospitals,162962675,170661373,166291413,156816360,-4.5,2.6,6.0,1.3,-7698697,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",37073491,33339516,37040163,36442343,11.2,-10.0,1.6,0.6,3733975,Health and Social Services
Outpatient Care Centers and Other Health Services,53858266,54207736,53594430,49802671,-0.6,1.1,7.6,2.6,-349470,Health and Social Services
Nursing & Personal Care Facilities,31054947,32741645,30913752,29419250,-5.2,5.9,5.1,1.8,-1686698,Health and Social Services
Social Services,51206440,50069398,43371314,37116002,2.3,15.4,16.9,11.3,1137042,Health and Social Services
Education,120780588,131553740,143404236,139162358,-8.2,-8.3,3.0,-4.6,-10773152,
College and Universities,89360253,98613474,111104301,108343741,-9.4,-11.2,2.5,-6.2,-9253221,Education
"Elementary, Secondary Schools",22040751,22973230,22172720,21173052,-4.1,3.6,4.7,1.3,-932479,Education
Other Educational Services,9379583,9967036,10127215,9645564,-5.9,-1.6,5.0,-0.9,-587452,Education
Professional Services,164093989,184028026,185608823,174652790,-10.8,-0.9,6.3,-2.1,-19934037,
Legal Services,43200204,57308952,62429555,60859441,-24.6,-8.2,2.6,-10.8,-14108748,Professional Services
Management Consulting,32275134,35151140,34533024,32165149,-8.2,1.8,7.4,0.1,-2876006,Professional Services
Engineering & Architectural Services,18639621,20916004,20025389,19206945,-10.9,4.4,4.3,-1.0,-2276383,Professional Services
Computer,16574269,17309309,16432049,15280382,-4.2,5.3,7.5,2.7,-735040,Professional Services
"Accounting, Auditing, Bookkeeping",16525334,18684142,19242017,17914375,-11.6,-2.9,7.4,-2.7,-2158808,Professional Services
Advertising and Other Professional Services,36879427,34658478,32946789,29226498,6.4,5.2,12.7,8.1,2220949,Professional Services
Hotels,5277380,5390276,9192193,8620689,-2.1,-41.4,6.6,-15.1,-112896,
Restaurants,29640385,31333349,43146602,41164739,-5.4,-27.4,4.8,-10.4,-1692964,
Sport Teams,16441892,16444879,19031651,16671091,0.0,-13.6,14.2,-0.5,-2987,
"Arts, Entertainment, and Other Recreation",8723026,10082085,12262228,11247935,-13.5,-17.8,9.0,-8.1,-1359059,
Other Sectors,104355765,107391869,114742029,107779980,-2.8,-6.4,6.5,-1.1,-3036104,
Membership Organizations,26756050,30789508,30549705,29549004,-13.1,0.8,3.4,-3.3,-4033458,Other Sectors
Employment/Outsourcing Agencies,23281305,23641194,25872295,24547174,-1.5,-8.6,5.4,-1.7,-359889,Other Sectors
Security and Investigation Services,7731535,7539255,7421822,7187607,2.6,1.6,3.3,2.5,192280,Other Sectors
Services to Buildings,8865871,8331890,8643301,8311304,6.4,-3.6,4.0,2.2,533981,Other Sectors
Miscellaneous Sectors,37721004,37090022,42254906,38184890,1.7,-12.2,10.7,-0.4,630982,Other Sectors
Government,184778761,194003363,184281843,177954440,-4.8,5.3,3.6,1.3,-9224603,
State Government (PA),9923621,10180273,10556491,10062497,-2.5,-3.6,4.9,-0.5,-256652,Government
"City, School District, Local Quasi Govt.",97973222,101004019,101245938,94693671,-3.0,-0.2,6.9,1.1,-3030797,Government
Federal Government,75089840,80785541,70511737,71353413,-7.1,14.6,-1.2,1.7,-5695701,Government
Other Governments,1792078,2033530,1967677,1844859,-11.9,3.3,6.7,-1.0,-241452,Government
Unclassified Accounts,5330121,1021820,1065395,925069,421.6,-4.1,15.2,79.3,4308301,
