name,fiscal_year,total,month_name,month,fiscal_month,year,date,kind
real_estate,2023,10611249.0,aug,8,2,2022,2022-08-01,Tax
birt,2023,9796588.0,aug,8,2,2022,2022-08-01,Tax
wage_city,2023,156835531.0,aug,8,2,2022,2022-08-01,Tax
other_taxes,2023,-460902.0,aug,8,2,2022,2022-08-01,Tax
soda,2023,4839171.0,aug,8,2,2022,2022-08-01,Tax
outdoor_ads,2023,274055.0,aug,8,2,2022,2022-08-01,Tax
real_estate_transfer,2023,53144883.0,aug,8,2,2022,2022-08-01,Tax
valet,2023,206681.0,aug,8,2,2022,2022-08-01,Tax
parking,2023,7623382.0,aug,8,2,2022,2022-08-01,Tax
tobacco,2023,34469.0,aug,8,2,2022,2022-08-01,Tax
amusement,2023,7039197.0,aug,8,2,2022,2022-08-01,Tax
sales,2023,34969215.0,aug,8,2,2022,2022-08-01,Tax
all_taxes,2023,287753718.0,aug,8,2,2022,2022-08-01,Tax
wage_earnings_net_profits_city,2023,159675730.0,aug,8,2,2022,2022-08-01,Tax
wage_earnings_net_profits,2023,217958333.0,aug,8,2,2022,2022-08-01,Tax
net_profits,2023,3971252.0,aug,8,2,2022,2022-08-01,Tax
net_profits_pica,2023,1907751.0,aug,8,2,2022,2022-08-01,Tax
net_profits_city,2023,2063501.0,aug,8,2,2022,2022-08-01,Tax
earnings,2023,1207106.0,aug,8,2,2022,2022-08-01,Tax
earnings_pica,2023,430409.0,aug,8,2,2022,2022-08-01,Tax
earnings_city,2023,776697.0,aug,8,2,2022,2022-08-01,Tax
wage,2023,212779976.0,aug,8,2,2022,2022-08-01,Tax
wage_pica,2023,55944444.0,aug,8,2,2022,2022-08-01,Tax
wage_earnings_net_profits_pica,2023,58282604.0,aug,8,2,2022,2022-08-01,Tax
earnings,2023,1111901.0,jul,7,1,2022,2022-07-01,Tax
net_profits,2023,2314215.0,jul,7,1,2022,2022-07-01,Tax
net_profits_pica,2023,1123925.0,jul,7,1,2022,2022-07-01,Tax
net_profits_city,2023,1190290.0,jul,7,1,2022,2022-07-01,Tax
wage_pica,2023,43508234.0,jul,7,1,2022,2022-07-01,Tax
earnings_pica,2023,403127.0,jul,7,1,2022,2022-07-01,Tax
earnings_city,2023,708774.0,jul,7,1,2022,2022-07-01,Tax
wage,2023,167108607.0,jul,7,1,2022,2022-07-01,Tax
wage_earnings_net_profits_pica,2023,45035286.0,jul,7,1,2022,2022-07-01,Tax
wage_earnings_net_profits,2023,170534723.0,jul,7,1,2022,2022-07-01,Tax
parking,2023,8186599.0,jul,7,1,2022,2022-07-01,Tax
wage_earnings_net_profits_city,2023,125499437.0,jul,7,1,2022,2022-07-01,Tax
birt,2023,12156195.0,jul,7,1,2022,2022-07-01,Tax
sales,2023,35857694.0,jul,7,1,2022,2022-07-01,Tax
amusement,2023,2788390.0,jul,7,1,2022,2022-07-01,Tax
tobacco,2023,13109.0,jul,7,1,2022,2022-07-01,Tax
valet,2023,155937.0,jul,7,1,2022,2022-07-01,Tax
real_estate_transfer,2023,51540381.0,jul,7,1,2022,2022-07-01,Tax
outdoor_ads,2023,243563.0,jul,7,1,2022,2022-07-01,Tax
soda,2023,6250596.0,jul,7,1,2022,2022-07-01,Tax
