name,oct_fy15,oct_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3636479.0,3793952.0,14053366.0,12536462.0,1516904.0,35411634.0,28.41
traffic_fines,582214.0,682301.0,2130146.0,2440147.0,-310001.0,5869854.0,26.63
payments_in_lieu_of_taxes,403977.0,321028.0,708423.0,610832.0,97591.0,1691577.0,29.52
cable_television,4225041.0,,9744241.0,5217209.0,4527032.0,12390759.0,44.02
emergency_medical_services,3112320.0,2985090.0,12072888.0,11776324.0,296564.0,25327112.0,32.28
court_related_costs,3804253.0,3778108.0,15731500.0,15927355.0,-195855.0,31118500.0,33.58
interest_earnings,-78034.0,46826.0,340885.0,493977.0,-153092.0,1528115.0,18.24
asset_sales,800.0,1594.0,491148.0,118773.0,372375.0,758852.0,39.29
all_other_local_nontaxes,9069470.0,8285421.0,36863631.0,42412642.0,-5549011.0,764479369.0,4.6
total_local_nontax_revenue,24756520.0,19894320.0,92136228.0,91533721.0,602507.0,878575772.0,9.49
