name,nov_fy15,nov_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,2574213.0,2985391.0,16627578.0,15521852.0,1105726.0,32837422.0,33.61
traffic_fines,249704.0,527127.0,2379850.0,2967274.0,-587424.0,5620150.0,29.75
payments_in_lieu_of_taxes,,,708423.0,610832.0,97591.0,1691577.0,29.52
cable_television,1169844.0,5155145.0,10914085.0,10372354.0,541731.0,11220915.0,49.31
emergency_medical_services,3275040.0,2961342.0,15347928.0,14737666.0,610262.0,22052072.0,41.04
court_related_costs,3873212.0,4044917.0,19604711.0,19972274.0,-367563.0,27245289.0,41.85
interest_earnings,44814.0,20863.0,385699.0,514838.0,-129139.0,1483301.0,20.64
asset_sales,1826.0,225802.0,492974.0,344576.0,148398.0,757026.0,39.44
all_other_local_nontaxes,8386062.0,7100568.0,45249698.0,49513212.0,-4263514.0,756093302.0,5.65
total_local_nontax_revenue,19574715.0,23021155.0,111710946.0,114554878.0,-2843932.0,859001054.0,11.51
