name,jan_fy15,jan_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,37743249.0,34596479.0,63707395.0,64243496.0,-536101.0,439462605.0,12.66,current
real_estate,2977574.0,4633207.0,26167207.0,23615661.0,2551546.0,18066793.0,59.16,prior
real_estate,40720823.0,39229686.0,89874602.0,87859157.0,2015445.0,457529398.0,16.42,total
wage_city,119315751.0,130655887.0,750045573.0,728444043.0,21601530.0,530368427.0,58.58,current
wage_city,3148000.0,3794738.0,8195106.0,6966536.0,1228570.0,-4945106.0,252.16,prior
wage_city,122463751.0,134450625.0,758240679.0,735410579.0,22830100.0,525423321.0,59.07,total
wage_pica,37543108.0,38538372.0,220180807.0,213459695.0,6721112.0,162372193.0,57.56,current
wage_pica,62565.0,80263.0,52701.0,771673.0,-718972.0,1447299.0,3.51,prior
wage_pica,37605673.0,38618635.0,220233508.0,214231368.0,6002140.0,163819492.0,57.34,total
wage,160069424.0,173069260.0,978474187.0,949641947.0,28832240.0,689242813.0,58.67,total
earnings_city,430044.0,460575.0,1658715.0,1860289.0,-201574.0,8341285.0,16.59,current
earnings_city,203310.0,228120.0,1648360.0,1564862.0,83498.0,-648360.0,164.84,prior
earnings_city,633354.0,688695.0,3307075.0,3425151.0,-118076.0,7692925.0,30.06,total
earnings_pica,202839.0,242571.0,1050913.0,1075655.0,-24742.0,449087.0,70.06,current
earnings_pica,96452.0,60970.0,563269.0,588149.0,-24880.0,2936731.0,16.09,prior
earnings_pica,299291.0,303541.0,1614182.0,1663804.0,-49622.0,3385818.0,32.28,total
earnings,932645.0,992236.0,4921257.0,5088955.0,-167698.0,11078743.0,30.76,total
net_profits_city,695965.0,-548445.0,195605.0,1434554.0,-1238949.0,17795395.0,1.09,current
net_profits_city,121657.0,249298.0,4326149.0,1318114.0,3008035.0,-1826149.0,173.05,prior
net_profits_city,817622.0,-299147.0,4521754.0,2752668.0,1769086.0,15969246.0,22.07,total
net_profits_pica,443618.0,551267.0,2551377.0,1132513.0,1418864.0,11641623.0,17.98,current
net_profits_pica,105291.0,113305.0,-2892176.0,233515.0,-3125691.0,3392176.0,-578.44,prior
net_profits_pica,548909.0,664572.0,-340799.0,1366028.0,-1706827.0,15033799.0,-2.32,total
net_profits,1366531.0,365425.0,4180955.0,4118696.0,62259.0,31003045.0,11.88,total
wage_earnings_net_profits,162368600.0,174426921.0,987576399.0,958849598.0,28726801.0,731324601.0,57.45,total
wage_earnings_net_profits_pica,38453873.0,39586748.0,221506891.0,217261200.0,4245691.0,182239109.0,54.86,total
wage_earnings_net_profits_city,123914727.0,134840173.0,766069508.0,741588398.0,24481110.0,549085492.0,58.25,total
birt,21629241.0,6712939.0,43244595.0,38329264.0,4915331.0,,,current
birt,2282742.0,3077306.0,15959132.0,21792197.0,-5833065.0,,,prior
birt,23911983.0,9790245.0,59203727.0,60121461.0,-917734.0,393989273.0,13.06,total
sales,11270952.0,20520903.0,99236038.0,152032660.0,-52796622.0,55406962.0,64.17,total
amusement,888330.0,932730.0,10794918.0,10821962.0,-27044.0,10079082.0,51.71,total
tobacco,57027.0,327306.0,117118.0,337947.0,-220829.0,519882.0,18.39,total
parking,6208158.0,5846404.0,44054485.0,42635416.0,1419069.0,31286515.0,58.47,total
valet,120219.0,109283.0,943191.0,828348.0,114843.0,581809.0,61.85,total
real_estate_transfer,14670030.0,12766225.0,117672929.0,89632280.0,28040649.0,58927071.0,66.63,total
outdoor_ads,212679.0,199059.0,1552144.0,1581816.0,-29672.0,1197856.0,56.44,total
other_taxes,7600.0,47500.0,456459.0,612131.0,-155672.0,-373459.0,549.95,total
all_taxes,221982528.0,224609514.0,1189975119.0,1188051576.0,1923543.0,1558229881.0,43.3,total
