name,apr_fy15,apr_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,18922259.0,22103164.0,474719930.0,481340502.0,-6620572.0,23820070.0,95.22,current
real_estate,5012122.0,4947819.0,38802543.0,37545021.0,1257522.0,5431457.0,87.72,prior
real_estate,23934381.0,27050983.0,513522473.0,518885523.0,-5363050.0,29251527.0,94.61,total
wage_city,128592815.0,127862150.0,1103419214.0,1058895074.0,44524140.0,201164786.0,84.58,current
wage_city,-1789390.0,3019849.0,8619796.0,9372628.0,-752832.0,-3119796.0,156.72,prior
wage_city,126803425.0,130881999.0,1112039010.0,1068267702.0,43771308.0,198044990.0,84.88,total
wage_pica,37964208.0,35094573.0,325816925.0,305317858.0,20499067.0,56759075.0,85.16,current
wage_pica,125580.0,-122227.0,180521.0,4218063.0,-4037542.0,2319479.0,7.22,prior
wage_pica,38089788.0,34972346.0,325997446.0,309535921.0,16461525.0,59078554.0,84.66,total
wage,164893213.0,165854345.0,1438036456.0,1377803623.0,60232833.0,257123544.0,84.83,total
earnings_city,5754341.0,2266192.0,8794023.0,5343704.0,3450319.0,1205977.0,87.94,current
earnings_city,-155362.0,-237914.0,1776289.0,1461666.0,314623.0,-776289.0,177.63,prior
earnings_city,5598979.0,2028278.0,10570312.0,6805370.0,3764942.0,429688.0,96.09,total
earnings_pica,2336741.0,506871.0,4047974.0,2068689.0,1979285.0,-2547974.0,269.86,current
earnings_pica,451168.0,477091.0,1160766.0,1291454.0,-130688.0,2339234.0,33.16,prior
earnings_pica,2787909.0,983962.0,5208740.0,3360143.0,1848597.0,-208740.0,104.17,total
earnings,8386888.0,3012240.0,15779052.0,10165513.0,5613539.0,220948.0,98.62,total
net_profits_city,8018379.0,4296977.0,9429784.0,6704675.0,2725109.0,5377216.0,63.68,current
net_profits_city,2709420.0,2743619.0,7810396.0,4742469.0,3067927.0,-4810396.0,260.35,prior
net_profits_city,10727799.0,7040596.0,17240180.0,11447144.0,5793036.0,566820.0,96.82,total
net_profits_pica,9571424.0,5118137.0,13660887.0,7200680.0,6460207.0,-1479887.0,112.15,current
net_profits_pica,34857.0,49499.0,-2861695.0,-82022.0,-2779673.0,3361695.0,-572.34,prior
net_profits_pica,9606281.0,5167636.0,10799192.0,7118658.0,3680534.0,1881808.0,85.16,total
net_profits,20334080.0,12208232.0,28039372.0,18565802.0,9473570.0,2448628.0,91.97,total
wage_earnings_net_profits,193614181.0,181074817.0,1481854880.0,1406534938.0,75319942.0,259793120.0,85.08,total
wage_earnings_net_profits_pica,50483978.0,41123944.0,342005378.0,320014722.0,21990656.0,60751622.0,84.92,total
wage_earnings_net_profits_city,143130203.0,139950873.0,1139849502.0,1086520216.0,53329286.0,199041498.0,85.13,total
birt,252837184.0,225445791.0,357429609.0,312285261.0,45144348.0,,,current
birt,12650300.0,11305853.0,35543098.0,39990023.0,-4446925.0,,,prior
birt,265487484.0,236751644.0,392972707.0,352275284.0,40697423.0,58359293.0,87.07,total
sales,8318128.0,19190405.0,129739104.0,217537707.0,-87798603.0,14091896.0,90.2,total
amusement,3712933.0,4955149.0,17057415.0,18231892.0,-1174477.0,3016585.0,84.97,total
tobacco,13568.0,13558.0,779646.0,639284.0,140362.0,-142646.0,122.39,total
parking,7036480.0,6213099.0,63013287.0,60561515.0,2451772.0,12327713.0,83.64,total
valet,127858.0,88815.0,1318615.0,1126048.0,192567.0,206385.0,86.47,total
real_estate_transfer,23711327.0,14823120.0,163484420.0,131754712.0,31729708.0,38197580.0,81.06,total
outdoor_ads,213187.0,246046.0,2152728.0,2161259.0,-8531.0,597272.0,78.28,total
other_taxes,-1717.0,11100.0,464066.0,643691.0,-179625.0,-381066.0,559.12,total
all_taxes,475683832.0,449294792.0,2424353963.0,2390337131.0,34016832.0,354566037.0,87.24,total
