name,may_fy15,may_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,6900558.0,7178648.0,481620488.0,488519150.0,-6898662.0,16919512.0,96.61,current
real_estate,3486136.0,6506830.0,42288679.0,44051851.0,-1763172.0,1945321.0,95.6,prior
real_estate,10386694.0,13685478.0,523909167.0,532571001.0,-8661834.0,18864833.0,96.52,total
wage_city,97352216.0,92475498.0,1200771430.0,1151370573.0,49400857.0,103812570.0,92.04,current
wage_city,-344097.0,-1311963.0,8275699.0,8060665.0,215034.0,-2775699.0,150.47,prior
wage_city,97008119.0,91163535.0,1209047129.0,1159431238.0,49615891.0,101036871.0,92.29,total
wage_pica,29293975.0,29134108.0,355110899.0,334451966.0,20658933.0,27465101.0,92.82,current
wage_pica,-388540.0,494749.0,-208019.0,4712812.0,-4920831.0,2708019.0,-8.32,prior
wage_pica,28905435.0,29628857.0,354902880.0,339164778.0,15738102.0,30173120.0,92.16,total
wage,125913554.0,120792392.0,1563950009.0,1498596016.0,65353993.0,131209991.0,92.26,total
earnings_city,2870524.0,3856644.0,11664547.0,9200348.0,2464199.0,-1664547.0,116.65,current
earnings_city,-1589082.0,-558569.0,187208.0,903097.0,-715889.0,812792.0,18.72,prior
earnings_city,1281442.0,3298075.0,11851755.0,10103445.0,1748310.0,-851755.0,107.74,total
earnings_pica,-2204829.0,801949.0,1843144.0,2870638.0,-1027494.0,-343144.0,122.88,current
earnings_pica,2114863.0,918068.0,3275629.0,2209522.0,1066107.0,224371.0,93.59,prior
earnings_pica,-89966.0,1720017.0,5118773.0,5080160.0,38613.0,-118773.0,102.38,total
earnings,1191476.0,5018092.0,16970528.0,15183605.0,1786923.0,-970528.0,106.07,total
net_profits_city,3262833.0,4919659.0,12692616.0,11624334.0,1068282.0,2114384.0,85.72,current
net_profits_city,-984469.0,-864253.0,6825927.0,3878215.0,2947712.0,-3825927.0,227.53,prior
net_profits_city,2278364.0,4055406.0,19518543.0,15502549.0,4015994.0,-1711543.0,109.61,total
net_profits_pica,3034223.0,1895162.0,16695110.0,9095842.0,7599268.0,-4514110.0,137.06,current
net_profits_pica,1157444.0,1058359.0,-1704251.0,976336.0,-2680587.0,2204251.0,-340.85,prior
net_profits_pica,4191667.0,2953521.0,14990859.0,10072178.0,4918681.0,-2309859.0,118.22,total
net_profits,6470031.0,7008927.0,34509402.0,25574727.0,8934675.0,-4021402.0,113.19,total
wage_earnings_net_profits,133575061.0,132819411.0,1615429939.0,1539354348.0,76075591.0,126218061.0,92.75,total
wage_earnings_net_profits_pica,33007136.0,34302395.0,375012512.0,354317116.0,20695396.0,27744488.0,93.11,total
wage_earnings_net_profits_city,100567925.0,98517016.0,1240417427.0,1185037232.0,55380195.0,98473573.0,92.65,total
birt,62040763.0,95853103.0,419470372.0,408138363.0,11332009.0,,,current
birt,3409824.0,6196438.0,38952922.0,46186461.0,-7233539.0,,,prior
birt,65450587.0,102049541.0,458423294.0,454324824.0,4098470.0,-7091294.0,101.57,total
sales,10148282.0,24060431.0,139887386.0,241598138.0,-101710752.0,3943614.0,97.26,total
amusement,960835.0,1150505.0,18018250.0,19382397.0,-1364147.0,2055750.0,89.76,total
tobacco,4041.0,6691.0,783687.0,645975.0,137712.0,-146687.0,123.03,total
parking,6700102.0,6656024.0,69713390.0,67217540.0,2495850.0,5627610.0,92.53,total
valet,123566.0,173857.0,1442181.0,1299905.0,142276.0,82819.0,94.57,total
real_estate_transfer,17558632.0,15593658.0,181043053.0,147348370.0,33694683.0,20638947.0,89.77,total
outdoor_ads,205067.0,196024.0,2357796.0,2357283.0,513.0,392204.0,85.74,total
other_taxes,,,464066.0,643691.0,-179625.0,-381066.0,559.12,total
all_taxes,212105731.0,262089225.0,2636459697.0,2652426356.0,-15966659.0,142460303.0,94.87,total
