name,jun_fy15,jun_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,5778152.0,-2205048.0,487398640.0,486314103.0,1084537.0,11141360.0,97.77,current
real_estate,8534892.0,-4456903.0,50823571.0,39594948.0,11228623.0,-6589571.0,114.9,prior
real_estate,14313044.0,-6661951.0,538222211.0,525909051.0,12313160.0,4551789.0,99.16,total
wage_city,105819241.0,97704888.0,1306590671.0,1249075461.0,57515210.0,-2006671.0,100.15,current
wage_city,-3178521.0,-3442955.0,5097178.0,4617710.0,479468.0,402822.0,92.68,prior
wage_city,102640720.0,94261933.0,1311687849.0,1253693171.0,57994678.0,-1603849.0,100.12,total
wage_pica,30774201.0,29872123.0,385885100.0,364324089.0,21561011.0,-3309100.0,100.86,current
wage_pica,-129430.0,-1084910.0,-337449.0,3627902.0,-3965351.0,2837449.0,-13.5,prior
wage_pica,30644771.0,28787213.0,385547651.0,367951991.0,17595660.0,-471651.0,100.12,total
wage,133285491.0,123049146.0,1697235500.0,1621645162.0,75590338.0,-2075500.0,100.12,total
earnings_city,206572.0,-7193.0,11871119.0,9193155.0,2677964.0,-1871119.0,118.71,current
earnings_city,132959.0,196643.0,320167.0,1099741.0,-779574.0,679833.0,32.02,prior
earnings_city,339531.0,189450.0,12191286.0,10292896.0,1898390.0,-1191286.0,110.83,total
earnings_pica,-80256.0,-1281558.0,1762888.0,1589080.0,173808.0,-262888.0,117.53,current
earnings_pica,215634.0,1410954.0,3491263.0,3620476.0,-129213.0,8737.0,99.75,prior
earnings_pica,135378.0,129396.0,5254151.0,5209556.0,44595.0,-254151.0,105.08,total
earnings,474909.0,318846.0,17445437.0,15502452.0,1942985.0,-1445437.0,109.03,total
net_profits_city,1089074.0,3072793.0,13781690.0,14697127.0,-915437.0,1025310.0,93.08,current
net_profits_city,-629464.0,-795709.0,6196463.0,3082506.0,3113957.0,-3196463.0,206.55,prior
net_profits_city,459610.0,2277084.0,19978153.0,17779633.0,2198520.0,-2171153.0,112.19,total
net_profits_pica,1863560.0,385867.0,18558669.0,9481710.0,9076959.0,-6377669.0,152.36,current
net_profits_pica,834997.0,871909.0,-869253.0,1848246.0,-2717499.0,1369253.0,-173.85,prior
net_profits_pica,2698557.0,1257776.0,17689416.0,11329956.0,6359460.0,-5008416.0,139.5,total
net_profits,3158167.0,3534860.0,37667569.0,29109589.0,8557980.0,-7179569.0,123.55,total
wage_earnings_net_profits,136918567.0,126902852.0,1752348506.0,1666257203.0,86091303.0,-10700506.0,100.61,total
wage_earnings_net_profits_pica,33478706.0,30174385.0,408491218.0,384491503.0,23999715.0,-5734218.0,101.42,total
wage_earnings_net_profits_city,103439861.0,96728467.0,1343857288.0,1281765700.0,62091588.0,-4966288.0,100.37,total
birt,6712120.0,20215951.0,426182492.0,428354314.0,-2171822.0,,,current
birt,3433718.0,-5597180.0,42386640.0,40589281.0,1797359.0,,,prior
birt,10145838.0,14618771.0,468569132.0,468943595.0,-374463.0,-17237132.0,103.82,total
sales,12037630.0,22098724.0,151925015.0,263696862.0,-111771847.0,-8094015.0,105.63,total
amusement,729168.0,614191.0,18747418.0,19996588.0,-1249170.0,1326582.0,93.39,total
tobacco,3724.0,3533.0,787411.0,649508.0,137903.0,-150411.0,123.61,total
parking,6527503.0,6364676.0,76240893.0,73582216.0,2658677.0,-899893.0,101.19,total
valet,134708.0,135848.0,1576889.0,1435753.0,141136.0,-51889.0,103.4,total
real_estate_transfer,22099139.0,20476683.0,203142192.0,167825053.0,35317139.0,-1460192.0,100.72,total
outdoor_ads,184241.0,534724.0,2542037.0,2892007.0,-349970.0,207963.0,92.44,total
other_taxes,,-560997.0,464066.0,82694.0,381372.0,-381066.0,559.12,total
all_taxes,169614856.0,154352669.0,2806074552.0,2806779027.0,-704475.0,-27154552.0,100.98,total
