name,aug_fy16,aug_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3476005.0,3017024.0,7910662.0,6335189.0,1575473.0,45100338.0,14.92
traffic_fines,494078.0,460503.0,1098426.0,1081086.0,17340.0,5901574.0,15.69
payments_in_lieu_of_taxes,66733.0,175000.0,357947.0,299372.0,58575.0,2042053.0,14.91
cable_television,5760233.0,1099624.0,5760233.0,5519200.0,241033.0,15681767.0,26.86
emergency_medical_services,2770061.0,3235686.0,5912104.0,6044168.0,-132064.0,31487896.0,15.81
court_related_costs,4050445.0,4165413.0,8154469.0,8048348.0,106121.0,33045531.0,19.79
interest_earnings,2803364.0,236752.0,2875552.0,373968.0,2501584.0,-906552.0,146.04
asset_sales,554888.0,174.0,635720.0,415180.0,220540.0,4614280.0,12.11
all_other_local_nontaxes,9231758.0,6816953.0,19429954.0,19869772.0,-439818.0,86705046.0,18.31
total_local_nontax_revenue,29207565.0,19207129.0,52135067.0,47986283.0,4148784.0,223671933.0,18.9
