name,mar_fy16,mar_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,6865909.0,9370905.0,38870208.0,36276464.0,2593744.0,15140792.0,71.97
traffic_fines,658155.0,582996.0,4573886.0,4761237.0,-187351.0,2426114.0,65.34
payments_in_lieu_of_taxes,1410371.0,1423336.0,2513253.0,2322826.0,190427.0,-113253.0,104.72
cable_television,1645364.0,,12943404.0,16351074.0,-3407670.0,8498596.0,60.36
emergency_medical_services,3733963.0,2997894.0,30977328.0,26821906.0,4155422.0,5422672.0,85.1
court_related_costs,3926781.0,3575080.0,33532775.0,33601971.0,-69196.0,7667225.0,81.39
interest_earnings,51473.0,59133.0,5344313.0,1265803.0,4078510.0,-2344313.0,178.14
asset_sales,,619409.0,5095391.0,1679244.0,3416147.0,-1295391.0,134.09
all_other_local_nontaxes,8541115.0,11811323.0,85735355.0,81864361.0,3870994.0,28928645.0,74.77
total_local_nontax_revenue,26833131.0,30440076.0,219585913.0,204944886.0,14641027.0,64331087.0,77.34
