name,apr_fy16,apr_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,6127543.0,6636362.0,44997751.0,42912826.0,2084925.0,9013249.0,83.31
traffic_fines,448991.0,654785.0,5022877.0,5416022.0,-393145.0,1977123.0,71.76
payments_in_lieu_of_taxes,211065.0,158670.0,2724318.0,2481795.0,242523.0,-324318.0,113.51
cable_television,,,12943404.0,16351074.0,-3407670.0,8498596.0,60.36
emergency_medical_services,4375462.0,3088005.0,35352789.0,29909911.0,5442878.0,1047211.0,97.12
court_related_costs,4063718.0,3799694.0,37596493.0,37401665.0,194828.0,3603507.0,91.25
interest_earnings,95137.0,63283.0,5439449.0,1329087.0,4110362.0,-2439449.0,181.31
asset_sales,113.0,,5095504.0,1679244.0,3416260.0,-1295504.0,134.09
all_other_local_nontaxes,10350118.0,8005738.0,96085475.0,89867878.0,6217597.0,18578525.0,83.8
total_local_nontax_revenue,25672147.0,22406537.0,245258060.0,227349502.0,17908558.0,38658940.0,86.38
