name,jul_fy17,jul_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4500936.0,4750928.0,4500936.0,4750928.0,-249992.0,533397064.0,0.84,current
real_estate,3255063.0,5484124.0,3255063.0,5484124.0,-2229061.0,53767937.0,5.71,prior
real_estate,7755999.0,10235052.0,7755999.0,10235052.0,-2479053.0,587165001.0,1.3,total
wage_city,108548541.0,125146569.0,108548541.0,125146569.0,-16598028.0,1291520459.0,7.75,current
wage_city,431908.0,-556281.0,431908.0,-556281.0,988189.0,5601092.0,7.16,prior
wage_city,108980449.0,124590288.0,108980449.0,124590288.0,-15609839.0,1297121551.0,7.75,total
wage_pica,32827596.0,35820945.0,32827596.0,35820945.0,-2993349.0,389182404.0,7.78,current
wage_pica,130619.0,,130619.0,,130619.0,2869381.0,4.35,prior
wage_pica,32958215.0,35820945.0,32958215.0,35820945.0,-2862730.0,392051785.0,7.75,total
wage,141938664.0,160411233.0,141938664.0,160411233.0,-18472569.0,1689173336.0,7.75,total
earnings_city,345747.0,307713.0,345747.0,307713.0,38034.0,10654253.0,3.14,current
earnings_city,248352.0,321900.0,248352.0,321900.0,-73548.0,751648.0,24.84,prior
earnings_city,594099.0,629613.0,594099.0,629613.0,-35514.0,11405901.0,4.95,total
earnings_pica,173940.0,311174.0,173940.0,311174.0,-137234.0,1326060.0,11.6,current
earnings_pica,124942.0,,124942.0,,124942.0,3375058.0,3.57,prior
earnings_pica,298882.0,311174.0,298882.0,311174.0,-12292.0,4701118.0,5.98,total
earnings,892981.0,940787.0,892981.0,940787.0,-47806.0,16107019.0,5.25,total
net_profits_city,106383.0,103847.0,106383.0,103847.0,2536.0,21311617.0,0.5,current
net_profits_city,251335.0,153611.0,251335.0,153611.0,97724.0,2831665.0,8.15,prior
net_profits_city,357718.0,257458.0,357718.0,257458.0,100260.0,24143282.0,1.46,total
net_profits_pica,101032.0,467178.0,101032.0,467178.0,-366146.0,18922968.0,0.53,current
net_profits_pica,238692.0,,238692.0,,238692.0,761308.0,23.87,prior
net_profits_pica,339724.0,467178.0,339724.0,467178.0,-127454.0,19684276.0,1.7,total
net_profits,697442.0,724636.0,697442.0,724636.0,-27194.0,43827558.0,1.57,total
wage_earnings_net_profits,143529087.0,162076656.0,143529087.0,162076656.0,-18547569.0,1749107913.0,7.58,total
wage_earnings_net_profits_pica,33596821.0,36599297.0,33596821.0,36599297.0,-3002476.0,416437179.0,7.47,total
wage_earnings_net_profits_city,109932266.0,125477359.0,109932266.0,125477359.0,-15545093.0,1332670734.0,7.62,total
birt,378875.0,2187422.0,378875.0,2187422.0,-1808547.0,,,current
birt,1491593.0,3110057.0,1491593.0,3110057.0,-1618464.0,,,prior
birt,1870468.0,5297479.0,1870468.0,5297479.0,-3427011.0,439697532.0,0.42,total
sales,25075495.0,15027283.0,25075495.0,15027283.0,10048212.0,152402505.0,14.13,total
amusement,1741343.0,1483573.0,1741343.0,1483573.0,257770.0,18801657.0,8.48,total
tobacco,1229.0,5108.0,1229.0,5108.0,-3879.0,755771.0,0.16,total
parking,7868391.0,7825501.0,7868391.0,7825501.0,42890.0,85659609.0,8.41,total
valet,138306.0,111882.0,138306.0,111882.0,26424.0,1461694.0,8.64,total
real_estate_transfer,25630766.0,25048818.0,25630766.0,25048818.0,581948.0,223977234.0,10.27,total
outdoor_ads,119920.0,315175.0,119920.0,315175.0,-195255.0,2936080.0,3.92,total
other_taxes,605.0,15425.0,605.0,15425.0,-14820.0,49395.0,1.21,total
all_taxes,180134788.0,190842655.0,180134788.0,190842655.0,-10707867.0,2891760212.0,5.86,total
