name,mar_fy17,mar_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,156324766.0,107168655.0,509701986.0,494579203.0,15122783.0,23409014.0,95.61,current
real_estate,4532526.0,4967399.0,33291215.0,40080832.0,-6789617.0,17976785.0,64.94,prior
real_estate,160857292.0,112136054.0,542993201.0,534660035.0,8333166.0,41385799.0,92.92,total
wage_city,127347285.0,129083575.0,1068042710.0,1029086310.0,38956400.0,334382290.0,76.16,current
wage_city,905864.0,576916.0,3643539.0,7287778.0,-3644239.0,-1610539.0,179.22,prior
wage_city,128253149.0,129660491.0,1071686249.0,1036374088.0,35312161.0,332771751.0,76.31,total
wage_pica,38705485.0,39037865.0,324617143.0,311219556.0,13397587.0,102355857.0,76.03,current
wage_pica,275543.0,174474.0,1122772.0,2203993.0,-1081221.0,1877228.0,37.43,prior
wage_pica,38981028.0,39212339.0,325739915.0,313423549.0,12316366.0,104233085.0,75.76,total
wage,167234177.0,168872830.0,1397426164.0,1349797637.0,47628527.0,437004836.0,76.18,total
earnings_city,1072400.0,1483991.0,3406763.0,3951302.0,-544539.0,8093237.0,29.62,current
earnings_city,851414.0,642642.0,5188926.0,2497966.0,2690960.0,-188926.0,103.78,prior
earnings_city,1923814.0,2126633.0,8595689.0,6449268.0,2146421.0,7904311.0,52.1,total
earnings_pica,545857.0,746574.0,1734058.0,1987840.0,-253782.0,265942.0,86.7,current
earnings_pica,433479.0,323304.0,2641782.0,1256689.0,1385093.0,858218.0,75.48,prior
earnings_pica,979336.0,1069878.0,4375840.0,3244529.0,1131311.0,1124160.0,79.56,total
earnings,2903150.0,3196511.0,12971529.0,9693797.0,3277732.0,9028471.0,58.96,total
net_profits_city,2811630.0,1457160.0,4057763.0,3176428.0,881335.0,21949237.0,15.6,current
net_profits_city,115632.0,164007.0,2576424.0,1884870.0,691554.0,506576.0,83.57,prior
net_profits_city,2927262.0,1621167.0,6634187.0,5061298.0,1572889.0,22455813.0,22.81,total
net_profits_pica,2615337.0,1383861.0,3775112.0,3016648.0,758464.0,18283888.0,17.11,current
net_profits_pica,107784.0,155757.0,2397112.0,1790057.0,607055.0,102888.0,95.88,prior
net_profits_pica,2723121.0,1539618.0,6172224.0,4806705.0,1365519.0,18386776.0,25.13,total
net_profits,5650383.0,3160785.0,12806411.0,9868003.0,2938408.0,40842589.0,23.87,total
wage_earnings_net_profits,175787710.0,175230126.0,1423204104.0,1369359437.0,53844667.0,486875896.0,74.51,total
wage_earnings_net_profits_pica,42683485.0,41821835.0,336287979.0,321474783.0,14813196.0,123744021.0,73.1,total
wage_earnings_net_profits_city,133104225.0,133408291.0,1086916125.0,1047884654.0,39031471.0,363131875.0,74.96,total
birt,50870656.0,54707760.0,102697984.0,117520813.0,-14822829.0,,,current
birt,4910022.0,3288686.0,20232524.0,23958964.0,-3726440.0,,,prior
birt,55780678.0,57996446.0,122930508.0,141479777.0,-18549269.0,342182492.0,26.43,total
sales,11359504.0,9556091.0,139325710.0,123543303.0,15782407.0,47258290.0,74.67,total
amusement,1460045.0,1378246.0,15414042.0,13761264.0,1652778.0,5765958.0,72.78,total
tobacco,11491.0,6801.0,843892.0,753350.0,90542.0,-68892.0,108.89,total
parking,7822761.0,7304689.0,70009584.0,66584197.0,3425387.0,25086416.0,73.62,total
valet,124984.0,109348.0,1044925.0,1041725.0,3200.0,555075.0,65.31,total
real_estate_transfer,20963811.0,21852134.0,176579355.0,180213595.0,-3634240.0,56281645.0,75.83,total
outdoor_ads,245390.0,201256.0,2070287.0,2120665.0,-50378.0,428713.0,82.84,total
soda,6180869.0,,12112109.0,,12112109.0,34070891.0,26.23,total
other_taxes,,19686.0,72241.0,55476.0,16765.0,10759.0,87.04,total
all_taxes,397911050.0,343969042.0,2170311979.0,2112098041.0,58213938.0,916089021.0,70.32,total
