name,oct_fy18,oct_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3165554.0,3386010.0,16681904.0,16112595.0,569309.0,585435096.0,2.77,current
real_estate,2840329.0,3599381.0,13482441.0,14221209.0,-738768.0,35851559.0,27.33,prior
real_estate,6005883.0,6985391.0,30164345.0,30333804.0,-169459.0,621286655.0,4.63,total
wage_city,132528923.0,123967046.0,493357892.0,470639197.0,22718695.0,952518108.0,34.12,current
wage_city,166056.0,109633.0,2518191.0,1939087.0,579104.0,1705809.0,59.62,prior
wage_city,132694979.0,124076679.0,495876083.0,472578284.0,23297799.0,954223917.0,34.2,total
wage_pica,40281815.0,37490508.0,149951490.0,142332204.0,7619286.0,292141510.0,33.92,current
wage_pica,50471.0,33156.0,765611.0,586425.0,179186.0,2234389.0,25.52,prior
wage_pica,40332286.0,37523664.0,150717101.0,142918629.0,7798472.0,294375899.0,33.86,total
wage,173027265.0,161600343.0,646593184.0,615496913.0,31096271.0,1248599816.0,34.12,total
earnings_city,378312.0,219552.0,1145973.0,931591.0,214382.0,10354027.0,9.96,current
earnings_city,495076.0,484286.0,1703344.0,1589666.0,113678.0,1296656.0,56.78,prior
earnings_city,873388.0,703838.0,2849317.0,2521257.0,328060.0,11650683.0,19.65,total
earnings_pica,191807.0,110453.0,582550.0,468668.0,113882.0,1417450.0,29.13,current
earnings_pica,252003.0,243637.0,867017.0,799737.0,67280.0,2132983.0,28.9,prior
earnings_pica,443810.0,354090.0,1449567.0,1268405.0,181162.0,3550433.0,28.99,total
earnings,1317198.0,1057928.0,4298884.0,3789662.0,509222.0,15201116.0,22.05,total
net_profits_city,196950.0,142454.0,724034.0,448991.0,275043.0,25897966.0,2.72,current
net_profits_city,553074.0,821234.0,1922809.0,1963397.0,-40588.0,1193191.0,61.71,prior
net_profits_city,750024.0,963688.0,2646843.0,2412388.0,234455.0,27091157.0,8.9,total
net_profits_pica,183189.0,135288.0,674281.0,426406.0,247875.0,21941719.0,2.98,current
net_profits_pica,514431.0,779924.0,1788479.0,1864634.0,-76155.0,711521.0,71.54,prior
net_profits_pica,697620.0,915212.0,2462760.0,2291040.0,171720.0,22653240.0,9.81,total
net_profits,1447644.0,1878900.0,5109603.0,4703428.0,406175.0,49744397.0,9.31,total
wage_earnings_net_profits,175792107.0,164537171.0,656001671.0,623990003.0,32011668.0,1313545329.0,33.31,total
wage_earnings_net_profits_pica,41473716.0,38792966.0,154629428.0,146478074.0,8151354.0,320579572.0,32.54,total
wage_earnings_net_profits_city,134318391.0,125744205.0,501372243.0,477511929.0,23860314.0,992965757.0,33.55,total
birt,13365156.0,14341553.0,36134755.0,28556658.0,7578097.0,,,current
birt,1584146.0,1902260.0,9080141.0,7137961.0,1942180.0,,,prior
birt,14949302.0,16243813.0,45214896.0,35694619.0,9520277.0,444671104.0,9.23,total
sales,11849590.0,11826751.0,81401889.0,75838579.0,5563310.0,116681111.0,41.09,total
amusement,1375993.0,1610223.0,8889439.0,9046666.0,-157227.0,13258561.0,40.14,total
tobacco,4781.0,1263.0,28278.0,2979.0,25299.0,750722.0,3.63,total
parking,7828915.0,8258694.0,30967802.0,31477873.0,-510071.0,71138198.0,30.33,total
valet,793928.0,115975.0,1175168.0,489224.0,685944.0,424832.0,73.45,total
real_estate_transfer,27476992.0,22781580.0,115655033.0,85137513.0,30517520.0,127265967.0,47.61,total
outdoor_ads,247332.0,221378.0,1023322.0,921026.0,102296.0,1501678.0,40.53,total
soda,7567159.0,,27725265.0,,27725265.0,64686735.0,30.0,total
other_taxes,49900.0,6000.0,67428.0,8229.0,59199.0,15572.0,81.24,total
all_taxes,212468166.0,193795273.0,843685108.0,746462441.0,97222667.0,2454646892.0,25.58,total
