name,nov_fy18,nov_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3319041.0,3457250.0,20000945.0,19569845.0,431100.0,582116055.0,3.32,current
real_estate,2520060.0,3860260.0,16002501.0,18081469.0,-2078968.0,33331499.0,32.44,prior
real_estate,5839101.0,7317510.0,36003446.0,37651314.0,-1647868.0,615447554.0,5.53,total
wage_city,117984012.0,112576679.0,611341904.0,583215876.0,28126028.0,834534096.0,42.28,current
wage_city,632010.0,343046.0,3150201.0,2282133.0,868068.0,1073799.0,74.58,prior
wage_city,118616022.0,112919725.0,614492105.0,585498009.0,28994096.0,835607895.0,42.38,total
wage_pica,35859657.0,34045797.0,185811148.0,176378001.0,9433147.0,256281852.0,42.03,current
wage_pica,192091.0,103745.0,957702.0,690170.0,267532.0,2042298.0,31.92,prior
wage_pica,36051748.0,34149542.0,186768850.0,177068171.0,9700679.0,258324150.0,41.96,total
wage,154667770.0,147069267.0,801260955.0,762566180.0,38694775.0,1093932045.0,42.28,total
earnings_city,302355.0,441530.0,1448327.0,1373121.0,75206.0,10051673.0,12.59,current
earnings_city,337525.0,771449.0,2040869.0,2361114.0,-320245.0,959131.0,68.03,prior
earnings_city,639880.0,1212979.0,3489196.0,3734235.0,-245039.0,11010804.0,24.06,total
earnings_pica,153900.0,222127.0,736450.0,690795.0,45655.0,1263550.0,36.82,current
earnings_pica,171802.0,388129.0,1038818.0,1187866.0,-149048.0,1961182.0,34.63,prior
earnings_pica,325702.0,610256.0,1775268.0,1878661.0,-103393.0,3224732.0,35.51,total
earnings,965582.0,1823235.0,5264464.0,5612896.0,-348432.0,14235536.0,27.0,total
net_profits_city,68826.0,65183.0,792860.0,514174.0,278686.0,25829140.0,2.98,current
net_profits_city,62972.0,344781.0,1985781.0,2308178.0,-322397.0,1130219.0,63.73,prior
net_profits_city,131798.0,409964.0,2778641.0,2822352.0,-43711.0,26959359.0,9.34,total
net_profits_pica,64018.0,61904.0,738299.0,488310.0,249989.0,21877701.0,3.26,current
net_profits_pica,58573.0,327538.0,1847051.0,2192172.0,-345121.0,652949.0,73.88,prior
net_profits_pica,122591.0,389442.0,2585350.0,2680482.0,-95132.0,22530650.0,10.29,total
net_profits,254389.0,799406.0,5363991.0,5502834.0,-138843.0,49490009.0,9.78,total
wage_earnings_net_profits,155887741.0,149691908.0,811889410.0,773681910.0,38207500.0,1157657590.0,41.22,total
wage_earnings_net_profits_pica,36500041.0,35149240.0,191129468.0,181627314.0,9502154.0,284079532.0,40.22,total
wage_earnings_net_profits_city,119387700.0,114542668.0,620759942.0,592054596.0,28705346.0,873578058.0,41.54,total
birt,-1258560.0,2859495.0,34876195.0,31416153.0,3460042.0,,,current
birt,2193404.0,1170945.0,11273544.0,8308906.0,2964638.0,,,prior
birt,934844.0,4030440.0,46149739.0,39725059.0,6424680.0,443736261.0,9.42,total
sales,14626405.0,13757004.0,96028294.0,89595583.0,6432711.0,102054706.0,48.48,total
amusement,1400229.0,1134171.0,10289668.0,10180837.0,108831.0,11858332.0,46.46,total
tobacco,5514.0,991.0,33793.0,3971.0,29822.0,745207.0,4.34,total
parking,7868891.0,8091213.0,38836693.0,39569087.0,-732394.0,63269307.0,38.04,total
valet,167935.0,140128.0,1343103.0,629352.0,713751.0,256897.0,83.94,total
real_estate_transfer,28718591.0,16763300.0,144373624.0,101900813.0,42472811.0,98547376.0,59.43,total
outdoor_ads,232897.0,261215.0,1256219.0,1182241.0,73978.0,1268781.0,49.75,total
soda,6083858.0,,33809123.0,,33809123.0,58602877.0,36.59,total
other_taxes,8700.0,54900.0,76128.0,63129.0,12999.0,6872.0,91.72,total
all_taxes,185274665.0,166093540.0,1028959772.0,912555982.0,116403790.0,2269372228.0,31.2,total
