name,dec_fy18,dec_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,31695704.0,11390469.0,51696649.0,30960315.0,20736334.0,550420351.0,8.59,current
real_estate,2585481.0,3040154.0,18587982.0,21121623.0,-2533641.0,30746018.0,37.68,prior
real_estate,34281185.0,14430623.0,70284631.0,52081938.0,18202693.0,581166369.0,10.79,total
wage_city,110076595.0,95623591.0,721418499.0,678839467.0,42579032.0,724457501.0,49.89,current
wage_city,48255.0,-92655.0,3198457.0,2189478.0,1008979.0,1025543.0,75.72,prior
wage_city,110124850.0,95530936.0,724616956.0,681028945.0,43588011.0,725483044.0,49.97,total
wage_pica,34641447.0,29946078.0,220452595.0,206324079.0,14128516.0,221640405.0,49.87,current
wage_pica,19689.0,-24708.0,977391.0,665462.0,311929.0,2022609.0,32.58,prior
wage_pica,34661136.0,29921370.0,221429986.0,206989541.0,14440445.0,223663014.0,49.75,total
wage,144785986.0,125452306.0,946046942.0,888018486.0,58028456.0,949146058.0,49.92,total
earnings_city,175732.0,98042.0,1624059.0,1471163.0,152896.0,9875941.0,14.12,current
earnings_city,459059.0,1018243.0,2499928.0,3379358.0,-879430.0,500072.0,83.33,prior
earnings_city,634791.0,1116285.0,4123987.0,4850521.0,-726534.0,10376013.0,28.44,total
earnings_pica,120927.0,58034.0,857376.0,748829.0,108547.0,1142624.0,42.87,current
earnings_pica,280949.0,532243.0,1319767.0,1720109.0,-400342.0,1680233.0,43.99,prior
earnings_pica,401876.0,590277.0,2177143.0,2468938.0,-291795.0,2822857.0,43.54,total
earnings,1036667.0,1706562.0,6301130.0,7319459.0,-1018329.0,13198870.0,32.31,total
net_profits_city,989794.0,138153.0,1782654.0,652327.0,1130327.0,24839346.0,6.7,current
net_profits_city,277627.0,-115871.0,2263408.0,2192307.0,71101.0,852592.0,72.64,prior
net_profits_city,1267421.0,22282.0,4046062.0,2844634.0,1201428.0,25691938.0,13.61,total
net_profits_pica,940512.0,118438.0,1678811.0,606748.0,1072063.0,20937189.0,7.42,current
net_profits_pica,284508.0,-153043.0,2131559.0,2039130.0,92429.0,368441.0,85.26,prior
net_profits_pica,1225020.0,-34605.0,3810370.0,2645878.0,1164492.0,21305630.0,15.17,total
net_profits,2492441.0,-12323.0,7856432.0,5490512.0,2365920.0,46997568.0,14.32,total
wage_earnings_net_profits,148315094.0,127146545.0,960204504.0,900828457.0,59376047.0,1009342496.0,48.75,total
wage_earnings_net_profits_pica,36288032.0,30477042.0,227417499.0,212104357.0,15313142.0,247791501.0,47.86,total
wage_earnings_net_profits_city,112027062.0,96669503.0,732787005.0,688724100.0,44062905.0,761550995.0,49.04,total
birt,7814861.0,12930800.0,42691056.0,44346953.0,-1655897.0,,,current
birt,-1698357.0,1596002.0,9575188.0,9904908.0,-329720.0,,,prior
birt,6116504.0,14526802.0,52266244.0,54251861.0,-1985617.0,437619756.0,10.67,total
sales,12658199.0,11894519.0,108686494.0,101490102.0,7196392.0,89396506.0,54.87,total
amusement,1448123.0,1303449.0,11737791.0,11484286.0,253505.0,10410209.0,53.0,total
tobacco,1386.0,1340.0,35179.0,5311.0,29868.0,743821.0,4.52,total
parking,8114474.0,7867654.0,46951167.0,47436740.0,-485573.0,55154833.0,45.98,total
valet,398243.0,108457.0,1741346.0,737809.0,1003537.0,-141346.0,108.83,total
real_estate_transfer,21793500.0,20022197.0,166167123.0,121923010.0,44244113.0,76753877.0,68.4,total
outdoor_ads,246904.0,227258.0,1503123.0,1409499.0,93624.0,1021877.0,59.53,total
soda,5956429.0,,39765552.0,,39765552.0,52646448.0,43.03,total
other_taxes,9200.0,7300.0,85328.0,70429.0,14899.0,-2328.0,102.8,total
all_taxes,203051209.0,167059102.0,1232010983.0,1079615085.0,152395898.0,2066321017.0,37.35,total
