name,feb_fy19,feb_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,387842922.0,340430520.0,476358127.0,453305336.0,23052791.0,154389873.0,75.52,current
real_estate,3039437.0,6111082.0,25751076.0,27586452.0,-1835376.0,12580924.0,67.18,prior
real_estate,390882359.0,346541602.0,502109203.0,480891788.0,21217415.0,166970797.0,75.04,total
wage_city,117065440.0,108378260.0,1042612275.0,995925568.0,46686707.0,527200725.0,66.42,current
wage_city,-18898.0,-268636.0,-3900722.0,3542342.0,-7443064.0,6150722.0,-173.37,prior
wage_city,117046542.0,108109624.0,1038711553.0,999467910.0,39243643.0,533351447.0,66.07,total
wage_pica,36503686.0,33118459.0,325104583.0,304337047.0,20767536.0,153250417.0,67.96,current
wage_pica,-4558.0,-81994.0,-1214252.0,1082573.0,-2296825.0,2714252.0,-80.95,prior
wage_pica,36499128.0,33036465.0,323890331.0,305419620.0,18470711.0,155964669.0,67.5,total
wage,153545670.0,141146089.0,1362601884.0,1304887530.0,57714354.0,689316116.0,66.41,total
earnings_city,421934.0,332601.0,2406320.0,2826094.0,-419774.0,8093680.0,22.92,current
earnings_city,261533.0,386600.0,3075987.0,3402156.0,-326169.0,2924013.0,51.27,prior
earnings_city,683467.0,719201.0,5482307.0,6228250.0,-745943.0,11017693.0,33.23,total
earnings_pica,224596.0,175587.0,1280884.0,1491957.0,-211073.0,3719116.0,25.62,current
earnings_pica,139214.0,204095.0,1637348.0,1796073.0,-158725.0,1362652.0,54.58,prior
earnings_pica,363810.0,379682.0,2918232.0,3288030.0,-369798.0,5081768.0,36.48,total
earnings,1047277.0,1098883.0,8400539.0,9516280.0,-1115741.0,16099461.0,34.29,total
net_profits_city,220483.0,465182.0,2050320.0,3776122.0,-1725802.0,26619680.0,7.15,current
net_profits_city,398484.0,107561.0,4654046.0,2679932.0,1974114.0,-2154046.0,186.16,prior
net_profits_city,618967.0,572743.0,6704366.0,6456054.0,248312.0,24465634.0,21.51,total
net_profits_pica,197216.0,438084.0,1823836.0,3556153.0,-1732317.0,22842164.0,7.39,current
net_profits_pica,356549.0,101295.0,4139450.0,2523819.0,1615631.0,-639450.0,118.27,prior
net_profits_pica,553765.0,539379.0,5963286.0,6079972.0,-116686.0,22202714.0,21.17,total
net_profits,1172732.0,1112122.0,12667652.0,12536026.0,131626.0,46668348.0,21.35,total
wage_earnings_net_profits,155765679.0,143357094.0,1383670075.0,1326939836.0,56730239.0,752083925.0,64.79,total
wage_earnings_net_profits_pica,37416703.0,33955526.0,332771849.0,314787622.0,17984227.0,183249151.0,64.49,total
wage_earnings_net_profits_city,118348976.0,109401568.0,1050898226.0,1012152214.0,38746012.0,568834774.0,64.88,total
birt,6467301.0,492332.0,68800732.0,62544735.0,6255997.0,,,current
birt,1444386.0,-2656239.0,20847517.0,16937828.0,3909689.0,,,prior
birt,7911687.0,-2163907.0,89648249.0,79482563.0,10165686.0,335543751.0,21.08,total
sales,15539676.0,15822799.0,137852497.0,136380748.0,1471749.0,78671503.0,63.67,total
amusement,1165923.0,2594081.0,18880628.0,15871149.0,3009479.0,3332372.0,85.0,total
tobacco,328511.0,781604.0,928783.0,974500.0,-45717.0,-145783.0,118.62,total
parking,7577994.0,7342170.0,63394077.0,61946044.0,1448033.0,35678923.0,63.99,total
valet,125960.0,100643.0,1226839.0,2036251.0,-809412.0,373161.0,76.68,total
real_estate_transfer,13934980.0,25047392.0,205892590.0,228075099.0,-22182509.0,104605410.0,66.31,total
outdoor_ads,254029.0,244441.0,2211960.0,1957735.0,254225.0,649040.0,77.31,total
soda,5780955.0,12143283.0,51233154.0,52095843.0,-862689.0,,,current
soda,29032.0,-6299212.0,106097.0,44750.0,61347.0,,,prior
soda,5809987.0,5844071.0,51339251.0,52140593.0,-801342.0,26698749.0,65.79,total
other_taxes,650.0,1000.0,72362.0,92328.0,-19966.0,10638.0,87.18,total
all_taxes,561880732.0,511557464.0,2124454665.0,2072001012.0,52453653.0,1321223335.0,61.66,total
