name,sep_fy20,sep_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5945062.0,4484170.0,17240310.0,14721542.0,2518768.0,51435690.0,25.1
traffic_fines,414085.0,338542.0,1121097.0,1143420.0,-22323.0,4678903.0,19.33
payments_in_lieu_of_taxes,,-1059701.0,332880.0,-74321.0,407201.0,3407120.0,8.9
cable_television,,,5520539.0,,5520539.0,16639461.0,24.91
emergency_medical_services,4018630.0,3270570.0,12585462.0,10319371.0,2266091.0,27414538.0,31.46
court_related_costs,6180076.0,6556111.0,317963473.0,14433345.0,303530128.0,-271413473.0,683.06
interest_earnings,95983.0,3662771.0,177873.0,3863605.0,-3685732.0,8424127.0,2.07
asset_sales,1240.0,127.0,597365.0,70617.0,526748.0,34152635.0,1.72
all_other_local_nontaxes,10703976.0,10203695.0,-262499650.0,38293064.0,-300792714.0,385549650.0,-213.33
total_local_nontax_revenue,27359052.0,27456285.0,93039349.0,82770643.0,10268706.0,260288651.0,26.33
