name,sep_fy20,sep_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4087030.0,3578999.0,15490209.0,14129841.0,1360368.0,637868791.0,2.37,current
real_estate,2829193.0,2909574.0,9332529.0,10523517.0,-1190988.0,28232471.0,24.84,prior
real_estate,6916223.0,6488573.0,24822738.0,24653358.0,169380.0,666101262.0,3.59,total
wage_city,126784731.0,121820310.0,398321096.0,380163503.0,18157593.0,1219129904.0,24.63,current
wage_city,153911.0,-685173.0,-971643.0,327468.0,-1299111.0,1971643.0,-97.16,prior
wage_city,126938642.0,121135137.0,397349453.0,380490971.0,16858482.0,1221101547.0,24.55,total
wage_pica,39537204.0,37217257.0,124212811.0,116161796.0,8051015.0,378377189.0,24.71,current
wage_pica,-208315.0,-209969.0,-548808.0,99476.0,-648284.0,1548808.0,-54.88,prior
wage_pica,39328889.0,37007288.0,123664003.0,116261272.0,7402731.0,379925997.0,24.56,total
wage,166267531.0,158142425.0,521013456.0,496752243.0,24261213.0,1601027544.0,24.55,total
earnings_city,116196.0,78014.0,716367.0,759624.0,-43257.0,10083633.0,6.63,current
earnings_city,339482.0,309605.0,1101328.0,1268888.0,-167560.0,3298672.0,25.03,prior
earnings_city,455678.0,387619.0,1817695.0,2028512.0,-210817.0,13382305.0,11.96,total
earnings_pica,61851.0,40020.0,381457.0,399857.0,-18400.0,4918543.0,7.2,current
earnings_pica,169683.0,164348.0,575214.0,670775.0,-95561.0,3424786.0,14.38,prior
earnings_pica,231534.0,204368.0,956671.0,1070632.0,-113961.0,8343329.0,10.29,total
earnings,687212.0,591987.0,2774366.0,3099144.0,-324778.0,21725634.0,11.32,total
net_profits_city,462198.0,148677.0,891963.0,417259.0,474704.0,32652037.0,2.66,current
net_profits_city,803747.0,599987.0,2436915.0,1696448.0,740467.0,2263085.0,51.85,prior
net_profits_city,1265945.0,748664.0,3328878.0,2113707.0,1215171.0,34915122.0,8.7,total
net_profits_pica,416265.0,138288.0,802204.0,391224.0,410980.0,27941796.0,2.79,current
net_profits_pica,715894.0,563722.0,2170968.0,1596312.0,574656.0,2329032.0,48.24,prior
net_profits_pica,1132159.0,702010.0,2973172.0,1987536.0,985636.0,30270828.0,8.94,total
net_profits,2398104.0,1450674.0,6302050.0,4101243.0,2200807.0,65185950.0,8.82,total
wage_earnings_net_profits,169352847.0,160185086.0,530089872.0,503952630.0,26137242.0,1687939128.0,23.9,total
wage_earnings_net_profits_pica,40692582.0,37913666.0,127593846.0,119319440.0,8274406.0,418540154.0,23.36,total
wage_earnings_net_profits_city,128660265.0,122271420.0,402496026.0,384633190.0,17862836.0,1269398974.0,24.07,total
birt,18201439.0,11666281.0,32259996.0,14522600.0,17737396.0,,,current
birt,1515502.0,4085680.0,6432958.0,9096507.0,-2663549.0,,,prior
birt,19716941.0,15751961.0,38692954.0,23619107.0,15073847.0,458624046.0,7.78,total
sales,13852047.0,14688735.0,76641590.0,68473090.0,8168500.0,151214410.0,33.64,total
amusement,5234182.0,982817.0,8744644.0,10207270.0,-1462626.0,20174356.0,30.24,total
tobacco,263.0,1453.0,7149.0,7543.0,-394.0,978851.0,0.73,total
parking,8446302.0,8028038.0,24131097.0,23545436.0,585661.0,74460903.0,24.48,total
valet,156461.0,158242.0,437919.0,463831.0,-25912.0,1162081.0,27.37,total
real_estate_transfer,21169644.0,20044245.0,82388338.0,88668116.0,-6279778.0,256882662.0,24.28,total
outdoor_ads,310716.0,246147.0,939037.0,768202.0,170835.0,2228963.0,29.64,total
soda,6746849.0,6563231.0,20001915.0,20087831.0,-85916.0,,,current
soda,38694.0,2630.0,278930.0,15073.0,263857.0,,,prior
soda,6785543.0,6565861.0,20280845.0,20102904.0,177941.0,55600155.0,26.73,total
other_taxes,,,2114.0,112.0,2002.0,80886.0,2.55,total
all_taxes,211248587.0,195227492.0,679584451.0,645142159.0,34442292.0,2956907549.0,18.69,total
