name,jan_fy20,jan_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5912918.0,5622378.0,39326204.0,35347182.0,3979022.0,29349796.0,57.26
traffic_fines,325273.0,404199.0,2309289.0,2640663.0,-331374.0,3490711.0,39.82
payments_in_lieu_of_taxes,33848.0,311765.0,474882.0,500282.0,-25400.0,3265118.0,12.7
cable_television,,,10803265.0,11031767.0,-228502.0,11356735.0,48.75
emergency_medical_services,3431090.0,3200021.0,,22379920.0,-22379920.0,40000000.0,0.0
court_related_costs,4224332.0,3878796.0,29504606.0,28845183.0,659423.0,17045394.0,63.38
interest_earnings,1905580.0,2212780.0,8615144.0,8969835.0,-354691.0,-13144.0,100.15
asset_sales,,175123.0,868372.0,688825.0,179547.0,33881628.0,2.5
all_other_local_nontaxes,12178459.0,16426620.0,134191896.0,80370453.0,53821443.0,-11141896.0,109.05
total_local_nontax_revenue,28011500.0,32231682.0,226093658.0,190774110.0,35319548.0,127234342.0,63.99
