name,aug_fy21,aug_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,8894268.0,5647628.0,15888890.0,11403179.0,4485711.0,631585110.0,2.45,current
real_estate,2124893.0,3615161.0,4186186.0,6503336.0,-2317150.0,32627814.0,11.37,prior
real_estate,11019162.0,9262789.0,20075076.0,17906515.0,2168561.0,664212924.0,2.93,total
wage_city,131821159.0,114058554.0,249116315.0,271536365.0,-22420050.0,1254582685.0,16.57,current
wage_city,-129294.0,-663179.0,-735366.0,-1125554.0,390187.0,3135366.0,-30.64,prior
wage_city,131691865.0,113395375.0,248380949.0,270410812.0,-22029863.0,1257718051.0,16.49,total
wage_pica,41906327.0,35571633.0,79194947.0,84675607.0,-5480660.0,394770053.0,16.71,current
wage_pica,-41103.0,-196317.0,-230518.0,-340492.0,109975.0,1230518.0,-23.05,prior
wage_pica,41865224.0,35375316.0,78964429.0,84335114.0,-5370685.0,396000571.0,16.63,total
wage,173557089.0,148770692.0,327345378.0,354745926.0,-27400548.0,1653718622.0,16.52,total
earnings_city,-216592.0,247345.0,3601855.0,600171.0,3001684.0,6398145.0,36.02,current
earnings_city,-19790.0,318774.0,976008.0,761846.0,214162.0,2023992.0,32.53,prior
earnings_city,-236382.0,566119.0,4577863.0,1362017.0,3215846.0,8422137.0,35.21,total
earnings_pica,-117697.0,131796.0,1959558.0,319606.0,1639952.0,2040442.0,48.99,current
earnings_pica,-10754.0,169683.0,530939.0,405530.0,125408.0,1969061.0,21.24,prior
earnings_pica,-128451.0,301480.0,2490497.0,725136.0,1765361.0,4009503.0,38.32,total
earnings,-364834.0,867599.0,7068360.0,2087153.0,4981207.0,12431640.0,36.25,total
net_profits_city,3781319.0,117776.0,16131485.0,429765.0,15701720.0,9032515.0,64.11,current
net_profits_city,194083.0,605979.0,436371.0,1633168.0,-1196797.0,4263629.0,9.28,prior
net_profits_city,3975402.0,723755.0,16567856.0,2062932.0,14504923.0,13296144.0,55.48,total
net_profits_pica,3451502.0,108602.0,14782877.0,385938.0,14396939.0,6572123.0,69.22,current
net_profits_pica,177155.0,541975.0,399751.0,1455075.0,-1055324.0,4600249.0,8.0,prior
net_profits_pica,3628656.0,650577.0,15182628.0,1841013.0,13341615.0,11172372.0,57.61,total
net_profits,7604059.0,1374333.0,31750483.0,3903945.0,27846538.0,24468517.0,56.48,total
wage_earnings_net_profits,180796314.0,151012623.0,366164221.0,360737025.0,5427197.0,1690618779.0,17.8,total
wage_earnings_net_profits_pica,45365429.0,36327373.0,96637554.0,86901263.0,9736291.0,411182446.0,19.03,total
wage_earnings_net_profits_city,135430885.0,114685250.0,269526667.0,273835761.0,-4309094.0,1279436333.0,17.4,total
birt,24879648.0,6153080.0,285903959.0,14058558.0,271845402.0,,,current
birt,1884431.0,2570078.0,7231767.0,4917455.0,2314312.0,,,prior
birt,26764079.0,8723158.0,293135726.0,18976013.0,274159713.0,171185274.0,63.13,total
sales,29653296.0,34822318.0,54023006.0,62789544.0,-8766538.0,120484994.0,30.96,total
amusement,20447.0,2009312.0,22894.0,3510462.0,-3487568.0,16588106.0,0.14,total
tobacco,9012.0,1381.0,27888.0,6886.0,21002.0,939112.0,2.88,total
parking,2391408.0,7992787.0,4899960.0,15684794.0,-10784834.0,70571040.0,6.49,total
valet,21855.0,140601.0,29430.0,281458.0,-252029.0,1218570.0,2.36,total
real_estate_transfer,22762727.0,30029610.0,59135437.0,61218694.0,-2083257.0,233680563.0,20.2,total
outdoor_ads,206103.0,317347.0,357261.0,628321.0,-271060.0,3033739.0,10.54,total
soda,6172595.0,6456740.0,11893553.0,13255066.0,-1361514.0,,,current
soda,8149.0,227995.0,13693.0,240236.0,-226543.0,,,prior
soda,6180744.0,6684735.0,11907246.0,13495303.0,-1588057.0,55533754.0,17.66,total
other_taxes,,13.0,,2113.0,-2113.0,73000.0,0.0,total
all_taxes,234459717.0,214669301.0,713140591.0,468335865.0,244804726.0,2616957409.0,21.42,total
