name,oct_fy15,oct_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3264637.0,3665565.0,12846368.0,15337182.0,-2490814.0,490323632.0,2.55,current
real_estate,4537740.0,3236957.0,18822720.0,14233277.0,4589443.0,25411280.0,42.55,prior
real_estate,7802377.0,6902522.0,31669088.0,29570459.0,2098629.0,515734912.0,5.79,total
wage_city,122422254.0,113897089.0,432221804.0,406101629.0,26120175.0,848192196.0,33.76,current
wage_city,1176831.0,730932.0,1010869.0,1870575.0,-859706.0,2239131.0,31.1,prior
wage_city,123599085.0,114628021.0,433232673.0,407972204.0,25260469.0,850431327.0,33.75,total
wage_pica,33466718.0,33665692.0,122591571.0,119920741.0,2670830.0,259961429.0,32.05,current
wage_pica,51879.0,210095.0,-104325.0,254242.0,-358567.0,1604325.0,-6.96,prior
wage_pica,33518597.0,33875787.0,122487246.0,120174983.0,2312263.0,261565754.0,31.89,total
wage,157117682.0,148503808.0,555719919.0,528147187.0,27572732.0,1111997081.0,33.32,total
earnings_city,204041.0,244207.0,770398.0,858246.0,-87848.0,9229602.0,7.7,current
earnings_city,440185.0,397653.0,1103508.0,1161496.0,-57988.0,-103508.0,110.35,prior
earnings_city,644226.0,641860.0,1873906.0,2019742.0,-145836.0,9126094.0,17.04,total
earnings_pica,270738.0,202988.0,733918.0,675286.0,58632.0,766082.0,48.93,current
earnings_pica,96446.0,75441.0,230501.0,294877.0,-64376.0,3269499.0,6.59,prior
earnings_pica,367184.0,278429.0,964419.0,970163.0,-5744.0,4035581.0,19.29,total
earnings,1011410.0,920289.0,2838325.0,2989905.0,-151580.0,13161675.0,17.74,total
net_profits_city,443056.0,414761.0,-966537.0,1667336.0,-2633873.0,18957537.0,-5.37,current
net_profits_city,67987.0,175060.0,1544946.0,806025.0,738921.0,955054.0,61.8,prior
net_profits_city,511043.0,589821.0,578409.0,2473361.0,-1894952.0,19912591.0,2.82,total
net_profits_pica,95638.0,277392.0,1284220.0,410440.0,873780.0,12908780.0,9.05,current
net_profits_pica,116191.0,11832.0,-656880.0,19907.0,-676787.0,1156880.0,-131.38,prior
net_profits_pica,211829.0,289224.0,627340.0,430347.0,196993.0,14065660.0,4.27,total
net_profits,722872.0,879045.0,1205749.0,2903708.0,-1697959.0,33978251.0,3.43,total
wage_earnings_net_profits,158851964.0,150303142.0,559763993.0,534040800.0,25723193.0,1159137007.0,32.57,total
wage_earnings_net_profits_pica,34097610.0,34443440.0,124079005.0,121575493.0,2503512.0,279666995.0,30.73,total
wage_earnings_net_profits_city,124754354.0,115859702.0,435684988.0,412465307.0,23219681.0,879470012.0,33.13,total
birt,5045022.0,13568641.0,20338834.0,33275629.0,-12936795.0,,,current
birt,2070000.0,3556946.0,10420340.0,13249738.0,-2829398.0,,,prior
birt,7115022.0,17125587.0,30759174.0,46525367.0,-15766193.0,422433826.0,6.79,total
sales,10474434.0,21187128.0,65854314.0,87816757.0,-21962443.0,88788686.0,42.58,total
amusement,817875.0,1021326.0,7691574.0,7606322.0,85252.0,13182426.0,36.85,total
tobacco,3592.0,3185.0,57783.0,9113.0,48670.0,579217.0,9.07,total
parking,6175223.0,6090518.0,24989607.0,24175097.0,814510.0,50351393.0,33.17,total
valet,141480.0,109565.0,551093.0,487902.0,63191.0,973907.0,36.14,total
real_estate_transfer,13293716.0,12219707.0,65995829.0,53079165.0,12916664.0,110604171.0,37.37,total
outdoor_ads,256501.0,266555.0,917783.0,936175.0,-18392.0,1832217.0,33.37,total
other_taxes,812.0,133954.0,431155.0,563437.0,-132282.0,-348155.0,519.46,total
all_taxes,170835386.0,180919749.0,664602388.0,663235101.0,1367287.0,2083602612.0,24.18,total
