name,dec_fy15,dec_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3806065.0,3097998.0,20433643.0,18619851.0,1813792.0,29031357.0,41.31
traffic_fines,680647.0,500489.0,3060497.0,3467763.0,-407266.0,4939503.0,38.26
payments_in_lieu_of_taxes,,,708423.0,610832.0,97591.0,1691577.0,29.52
cable_television,,,10914085.0,10372354.0,541731.0,11220915.0,49.31
emergency_medical_services,2656320.0,2710840.0,18004248.0,17448507.0,555741.0,19395752.0,48.14
court_related_costs,3448660.0,3377414.0,23053371.0,23349685.0,-296314.0,23796629.0,49.21
interest_earnings,733831.0,347419.0,1119529.0,862257.0,257272.0,749471.0,59.9
asset_sales,374752.0,6850.0,867727.0,351426.0,516301.0,382273.0,69.42
all_other_local_nontaxes,7924417.0,7096334.0,53174116.0,56609547.0,-3435431.0,748168884.0,6.64
total_local_nontax_revenue,19624692.0,17137344.0,131335639.0,131692222.0,-356583.0,839376361.0,13.53
