name,dec_fy15,dec_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,10141561.0,11150921.0,25964145.0,29647017.0,-3682872.0,477205855.0,5.16,current
real_estate,-206469.0,1860233.0,23189632.0,18982454.0,4207178.0,21044368.0,52.42,prior
real_estate,9935092.0,13011154.0,49153777.0,48629471.0,524306.0,498250223.0,8.98,total
wage_city,98802721.0,96438461.0,630729822.0,597788156.0,32941666.0,649684178.0,49.26,current
wage_city,3918119.0,450496.0,5047106.0,3171798.0,1875308.0,-1797106.0,155.3,prior
wage_city,102720840.0,96888957.0,635776928.0,600959954.0,34816974.0,647887072.0,49.53,total
wage_pica,28297034.0,26707275.0,182637700.0,174921323.0,7716377.0,199915300.0,47.74,current
wage_pica,30538.0,212306.0,-9864.0,691410.0,-701274.0,1509864.0,-0.66,prior
wage_pica,28327572.0,26919581.0,182627836.0,175612733.0,7015103.0,201425164.0,47.55,total
wage,131048412.0,123808538.0,818404764.0,776572687.0,41832077.0,849312236.0,49.07,total
earnings_city,76297.0,171306.0,1228671.0,1399714.0,-171043.0,8771329.0,12.29,current
earnings_city,256317.0,122234.0,1445050.0,1336742.0,108308.0,-445050.0,144.51,prior
earnings_city,332614.0,293540.0,2673721.0,2736456.0,-62735.0,8326279.0,24.31,total
earnings_pica,47608.0,58341.0,848074.0,833084.0,14990.0,651926.0,56.54,current
earnings_pica,67085.0,71975.0,466817.0,527179.0,-60362.0,3033183.0,13.34,prior
earnings_pica,114693.0,130316.0,1314891.0,1360263.0,-45372.0,3685109.0,26.3,total
earnings,447307.0,423856.0,3988612.0,4096719.0,-108107.0,12011388.0,24.93,total
net_profits_city,609639.0,255459.0,-500360.0,1982998.0,-2483358.0,18491360.0,-2.78,current
net_profits_city,2095566.0,144224.0,4204492.0,1068817.0,3135675.0,-1704492.0,168.18,prior
net_profits_city,2705205.0,399683.0,3704132.0,3051815.0,652317.0,16786868.0,18.08,total
net_profits_pica,310007.0,121108.0,2107759.0,581247.0,1526512.0,12085241.0,14.85,current
net_profits_pica,-1924745.0,39336.0,-2997467.0,120209.0,-3117676.0,3497467.0,-599.49,prior
net_profits_pica,-1614738.0,160444.0,-889708.0,701456.0,-1591164.0,15582708.0,-6.06,total
net_profits,1090467.0,560127.0,2814424.0,3753271.0,-938847.0,32369576.0,8.0,total
wage_earnings_net_profits,132586186.0,124792521.0,825207800.0,784422677.0,40785123.0,893693200.0,48.01,total
wage_earnings_net_profits_pica,26827527.0,27210341.0,183053019.0,177674452.0,5378567.0,220692981.0,45.34,total
wage_earnings_net_profits_city,105758659.0,97582180.0,642154781.0,606748225.0,35406556.0,673000219.0,48.83,total
birt,2033881.0,4746198.0,21615355.0,31616325.0,-10000970.0,,,current
birt,1769768.0,2326134.0,13676390.0,18714891.0,-5038501.0,,,prior
birt,3803649.0,7072332.0,35291745.0,50331216.0,-15039471.0,417901255.0,7.79,total
sales,10516213.0,21015562.0,87965086.0,131511758.0,-43546672.0,66677914.0,56.88,total
amusement,1068385.0,1162460.0,9906588.0,9889233.0,17355.0,10967412.0,47.46,total
tobacco,2606.0,1104.0,60091.0,10642.0,49449.0,576909.0,9.43,total
parking,6285575.0,5887196.0,37846327.0,36789012.0,1057315.0,37494673.0,50.23,total
valet,144497.0,116627.0,822972.0,719064.0,103908.0,702028.0,53.97,total
real_estate_transfer,23135701.0,12086902.0,103002899.0,76866055.0,26136844.0,73597101.0,58.33,total
outdoor_ads,205701.0,226988.0,1339465.0,1382757.0,-43292.0,1410535.0,48.71,total
other_taxes,18100.0,,448859.0,564631.0,-115772.0,-365859.0,540.79,total
all_taxes,160874178.0,158162505.0,967992590.0,963442064.0,4550526.0,1780212410.0,35.22,total
