name,apr_fy15,apr_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,6636362.0,7683338.0,42912826.0,43019121.0,-106295.0,8277174.0,83.83
traffic_fines,654785.0,545928.0,5416022.0,5875111.0,-459089.0,1583978.0,77.37
payments_in_lieu_of_taxes,158670.0,47770.0,2481795.0,2274477.0,207318.0,-81795.0,103.41
cable_television,,4394343.0,16351074.0,20074311.0,-3723237.0,5783926.0,73.87
emergency_medical_services,3088005.0,3368855.0,29909911.0,29482772.0,427139.0,7490089.0,79.97
court_related_costs,3799694.0,3968178.0,37401665.0,37620546.0,-218881.0,4298335.0,89.69
interest_earnings,63283.0,243883.0,1329087.0,1527198.0,-198111.0,-229087.0,120.83
asset_sales,,320.0,1679244.0,697754.0,981490.0,1820756.0,47.98
all_other_local_nontaxes,8005738.0,7416847.0,89867878.0,93192700.0,-3324822.0,42933122.0,67.67
total_local_nontax_revenue,22406537.0,27669462.0,227349502.0,233763990.0,-6414488.0,71876498.0,75.98
