name,jan_fy16,jan_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,43260668.0,37743249.0,70393682.0,63707395.0,6686287.0,465022318.0,13.15,current
real_estate,5248702.0,2977574.0,30463820.0,26167207.0,4296613.0,15237180.0,66.66,prior
real_estate,48509370.0,40720823.0,100857502.0,89874602.0,10982900.0,480259498.0,17.36,total
wage_city,130797741.0,119315751.0,781170923.0,750045573.0,31125350.0,572892077.0,57.69,current
wage_city,622887.0,3148000.0,4731214.0,8195106.0,-3463892.0,768786.0,86.02,prior
wage_city,131420628.0,122463751.0,785902137.0,758240679.0,27661458.0,573660863.0,57.81,total
wage_pica,39556269.0,37543108.0,236244197.0,220180807.0,16063390.0,162048803.0,59.31,current
wage_pica,188375.0,62565.0,1430828.0,52701.0,1378127.0,1069172.0,57.23,prior
wage_pica,39744644.0,37605673.0,237675025.0,220233508.0,17441517.0,163117975.0,59.3,total
wage,171165272.0,160069424.0,1023577162.0,978474187.0,45102975.0,736778838.0,58.15,total
earnings_city,342547.0,430044.0,1847910.0,1658715.0,189195.0,8152090.0,18.48,current
earnings_city,200310.0,203310.0,1601179.0,1648360.0,-47181.0,-601179.0,160.12,prior
earnings_city,542857.0,633354.0,3449089.0,3307075.0,142014.0,7550911.0,31.36,total
earnings_pica,172330.0,202839.0,929655.0,1050913.0,-121258.0,570345.0,61.98,current
earnings_pica,100773.0,96452.0,805529.0,563269.0,242260.0,2694471.0,23.02,prior
earnings_pica,273103.0,299291.0,1735184.0,1614182.0,121002.0,3264816.0,34.7,total
earnings,815960.0,932645.0,5184273.0,4921257.0,263016.0,10815727.0,32.4,total
net_profits_city,17202.0,695965.0,1430796.0,195605.0,1235191.0,14062204.0,9.24,current
net_profits_city,8113.0,121657.0,1569523.0,4326149.0,-2756626.0,1430477.0,52.32,prior
net_profits_city,25315.0,817622.0,3000319.0,4521754.0,-1521435.0,15492681.0,16.22,total
net_profits_pica,16337.0,443618.0,1358824.0,2551377.0,-1192553.0,11364176.0,10.68,current
net_profits_pica,7705.0,105291.0,1490573.0,-2892176.0,4382749.0,-990573.0,298.11,prior
net_profits_pica,24042.0,548909.0,2849397.0,-340799.0,3190196.0,10373603.0,21.55,total
net_profits,49357.0,1366531.0,5849716.0,4180955.0,1668761.0,25866284.0,18.44,total
wage_earnings_net_profits,172030589.0,162368600.0,1034611151.0,987576399.0,47034752.0,773460849.0,57.22,total
wage_earnings_net_profits_pica,40041789.0,38453873.0,242259606.0,221506891.0,20752715.0,176756394.0,57.82,total
wage_earnings_net_profits_city,131988800.0,123914727.0,792351545.0,766069508.0,26282037.0,596704455.0,57.04,total
birt,2676525.0,21629241.0,52706116.0,43244595.0,9461521.0,,,current
birt,2946527.0,2282742.0,17175026.0,15959132.0,1215894.0,,,prior
birt,5623052.0,23911983.0,69881142.0,59203727.0,10677415.0,383992858.0,15.4,total
sales,12433173.0,11270952.0,100244416.0,99236038.0,1008378.0,49126584.0,67.11,total
amusement,1004229.0,888330.0,11093194.0,10794918.0,298276.0,8080806.0,57.86,total
tobacco,249288.0,57027.0,296301.0,117118.0,179183.0,343699.0,46.3,total
parking,7417009.0,6208158.0,52004772.0,44054485.0,7950287.0,35031228.0,59.75,total
valet,103292.0,120219.0,838682.0,943191.0,-104509.0,761318.0,52.42,total
real_estate_transfer,18869429.0,14670030.0,140283185.0,117672929.0,22610256.0,81566815.0,63.23,total
outdoor_ads,68240.0,212679.0,1635372.0,1552144.0,83228.0,1175628.0,58.18,total
other_taxes,8700.0,7600.0,36871.0,456459.0,-419588.0,13129.0,73.74,total
all_taxes,226274582.0,221982528.0,1269522982.0,1189975119.0,79547863.0,1642756018.0,43.59,total
