name,feb_fy16,feb_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,6489287.0,3945372.0,32004299.0,26905559.0,5098740.0,21006701.0,60.37
traffic_fines,542274.0,567625.0,3915731.0,4178241.0,-262510.0,3084269.0,55.94
payments_in_lieu_of_taxes,30000.0,,1102883.0,899789.0,203094.0,1297117.0,45.95
cable_television,,1363814.0,11298040.0,16351074.0,-5053034.0,10143960.0,52.69
emergency_medical_services,3376809.0,2624164.0,27243365.0,23824013.0,3419352.0,10156635.0,72.84
court_related_costs,3283133.0,3431810.0,29605996.0,30026891.0,-420895.0,11594004.0,71.86
interest_earnings,42500.0,30204.0,5292840.0,1206970.0,4085870.0,-3323840.0,268.81
asset_sales,,95.0,5095391.0,1059835.0,4035556.0,154609.0,97.06
all_other_local_nontaxes,4447572.0,5223119.0,77194242.0,70052439.0,7141803.0,28940758.0,72.73
total_local_nontax_revenue,18211575.0,17186203.0,192752787.0,174504811.0,18247976.0,83054213.0,69.89
