name,may_fy16,may_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4489333.0,5002825.0,49487084.0,47915651.0,1571433.0,4523916.0,91.62
traffic_fines,447350.0,521063.0,5470227.0,5937086.0,-466859.0,1529773.0,78.15
payments_in_lieu_of_taxes,64829.0,,2789147.0,2481795.0,307352.0,-389147.0,116.21
cable_television,9844973.0,5578847.0,22788377.0,21929922.0,858455.0,-1346377.0,106.28
emergency_medical_services,3433194.0,2878751.0,38785983.0,32788662.0,5997321.0,-2385983.0,106.55
court_related_costs,3605226.0,3917895.0,41201720.0,41319559.0,-117839.0,-1720.0,100.0
interest_earnings,-687858.0,70948.0,4751592.0,1400034.0,3351558.0,-1751592.0,158.39
asset_sales,,73676.0,5095504.0,1752920.0,3342584.0,,134.09
all_other_local_nontaxes,7391393.0,8511226.0,103477265.0,98379102.0,5098163.0,11186735.0,90.24
total_local_nontax_revenue,28588440.0,26555231.0,273846899.0,253904731.0,19942168.0,10070101.0,96.45
