name,nov_fy17,nov_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3457250.0,3216075.0,19569845.0,19442461.0,127384.0,518328155.0,3.64,current
real_estate,3860260.0,3676466.0,18081469.0,21710379.0,-3628910.0,38941531.0,31.71,prior
real_estate,7317510.0,6892541.0,37651314.0,41152840.0,-3501526.0,557269686.0,6.33,total
wage_city,112576679.0,121960375.0,583215876.0,557981974.0,25233902.0,825383124.0,41.4,current
wage_city,343046.0,-473148.0,2282133.0,383683.0,1898450.0,3750867.0,37.83,prior
wage_city,112919725.0,121487227.0,585498009.0,558365657.0,27132352.0,829133991.0,41.39,total
wage_pica,34045797.0,36055326.0,176378001.0,164113713.0,12264288.0,248190999.0,41.54,current
wage_pica,103745.0,,690170.0,108980.0,581190.0,2309830.0,23.01,prior
wage_pica,34149542.0,36055326.0,177068171.0,164222693.0,12845478.0,250500829.0,41.41,total
wage,147069267.0,157542553.0,762566180.0,722588350.0,39977830.0,1079634820.0,41.39,total
earnings_city,441530.0,272411.0,1373121.0,1199990.0,173131.0,9626879.0,12.48,current
earnings_city,771449.0,264801.0,2361114.0,1487590.0,873524.0,-1361114.0,236.11,prior
earnings_city,1212979.0,537212.0,3734235.0,2687580.0,1046655.0,8265765.0,31.12,total
earnings_pica,222127.0,214838.0,690795.0,1007290.0,-316495.0,809205.0,46.05,current
earnings_pica,388129.0,,1187866.0,254856.0,933010.0,2312134.0,33.94,prior
earnings_pica,610256.0,214838.0,1878661.0,1262146.0,616515.0,3121339.0,37.57,total
earnings,1823235.0,752050.0,5612896.0,3949726.0,1663170.0,11387104.0,33.02,total
net_profits_city,65183.0,150767.0,514174.0,122070.0,392104.0,20903826.0,2.4,current
net_profits_city,344781.0,209655.0,2308178.0,1156237.0,1151941.0,774822.0,74.87,prior
net_profits_city,409964.0,360422.0,2822352.0,1278307.0,1544045.0,21678648.0,11.52,total
net_profits_pica,61904.0,243253.0,488310.0,3090901.0,-2602591.0,18535690.0,2.57,current
net_profits_pica,327538.0,,2192172.0,-208237.0,2400409.0,-1192172.0,219.22,prior
net_profits_pica,389442.0,243253.0,2680482.0,2882664.0,-202182.0,17343518.0,13.39,total
net_profits,799406.0,603675.0,5502834.0,4160971.0,1341863.0,39022166.0,12.36,total
wage_earnings_net_profits,149691908.0,158898278.0,773681910.0,730699047.0,42982863.0,1130044090.0,40.64,total
wage_earnings_net_profits_pica,35149240.0,36513417.0,181627314.0,168367503.0,13259811.0,270965686.0,40.13,total
wage_earnings_net_profits_city,114542668.0,122384861.0,592054596.0,562331544.0,29723052.0,859078404.0,40.8,total
birt,2859495.0,2795547.0,31416153.0,43058760.0,-11642607.0,,,current
birt,1170945.0,2974799.0,8308906.0,12212203.0,-3903297.0,,,prior
birt,4030440.0,5770346.0,39725059.0,55270963.0,-15545904.0,406316941.0,8.91,total
sales,13757004.0,13129746.0,89595583.0,77780965.0,11814618.0,92573417.0,49.18,total
amusement,1134171.0,1222544.0,10180837.0,9003105.0,1177732.0,10362163.0,49.56,total
tobacco,991.0,21735.0,3971.0,34648.0,-30677.0,753029.0,0.52,total
parking,8091213.0,7747217.0,39569087.0,37381486.0,2187601.0,53958913.0,42.31,total
valet,140128.0,126475.0,629352.0,614364.0,14988.0,970648.0,39.33,total
real_estate_transfer,16763300.0,20034171.0,101900813.0,107005812.0,-5104999.0,147707187.0,40.82,total
outdoor_ads,261215.0,308316.0,1182241.0,1304833.0,-122592.0,1873759.0,38.69,total
other_taxes,54900.0,19000.0,63129.0,11569.0,51560.0,-13129.0,126.26,total
all_taxes,166093540.0,177656952.0,912555982.0,891892129.0,20663853.0,2177034018.0,29.54,total
