name,apr_fy17,apr_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,18338694.0,18477222.0,528040681.0,513056426.0,14984255.0,5070319.0,99.05,current
real_estate,5088616.0,5492884.0,38379830.0,45573715.0,-7193885.0,12888170.0,74.86,prior
real_estate,23427310.0,23970106.0,566420511.0,558630141.0,7790370.0,17958489.0,96.93,total
wage_city,121731044.0,107924049.0,1189773753.0,1137010359.0,52763394.0,212651247.0,84.84,current
wage_city,743831.0,806365.0,4387370.0,8094143.0,-3706773.0,-2354370.0,215.81,prior
wage_city,122474875.0,108730414.0,1194161123.0,1145104502.0,49056621.0,210296877.0,85.03,total
wage_pica,36998505.0,32638734.0,361615648.0,343858291.0,17757357.0,65357352.0,84.69,current
wage_pica,226077.0,243863.0,1348850.0,2447856.0,-1099006.0,1651150.0,44.96,prior
wage_pica,37224582.0,32882597.0,362964498.0,346306147.0,16658351.0,67008502.0,84.42,total
wage,159699457.0,141613011.0,1557125621.0,1491410649.0,65714972.0,277305379.0,84.88,total
earnings_city,3599373.0,3588530.0,7006136.0,7539832.0,-533696.0,4493864.0,60.92,current
earnings_city,505374.0,210172.0,5694300.0,2708137.0,2986163.0,-694300.0,113.89,prior
earnings_city,4104747.0,3798702.0,12700436.0,10247969.0,2452467.0,3799564.0,76.97,total
earnings_pica,1832098.0,1805335.0,3566156.0,3793174.0,-227018.0,-1566156.0,178.31,current
earnings_pica,257238.0,105734.0,2899020.0,1362423.0,1536597.0,600980.0,82.83,prior
earnings_pica,2089336.0,1911069.0,6465176.0,5155597.0,1309579.0,-965176.0,117.55,total
earnings,6194083.0,5709771.0,19165612.0,15403566.0,3762046.0,2834388.0,87.12,total
net_profits_city,15037169.0,10730923.0,19094933.0,13907351.0,5187582.0,6912067.0,73.42,current
net_profits_city,632793.0,1010135.0,3209217.0,2895005.0,314212.0,-126217.0,104.09,prior
net_profits_city,15669962.0,11741058.0,22304150.0,16802356.0,5501794.0,6785850.0,76.67,total
net_profits_pica,13987087.0,10191134.0,17762199.0,13207782.0,4554417.0,4296801.0,80.52,current
net_profits_pica,588580.0,959323.0,2985692.0,2749380.0,236312.0,-485692.0,119.43,prior
net_profits_pica,14575667.0,11150457.0,20747891.0,15957162.0,4790729.0,3811109.0,84.48,total
net_profits,30245629.0,22891515.0,43052041.0,32759518.0,10292523.0,10596959.0,80.25,total
wage_earnings_net_profits,196139169.0,170214297.0,1619343274.0,1539573733.0,79769541.0,290736726.0,84.78,total
wage_earnings_net_profits_pica,53889585.0,45944123.0,390177565.0,367418906.0,22758659.0,69854435.0,84.82,total
wage_earnings_net_profits_city,142249584.0,124270174.0,1229165709.0,1172154827.0,57010882.0,220882291.0,84.77,total
birt,270244651.0,232411206.0,372942635.0,349932018.0,23010617.0,,,current
birt,11331481.0,9455221.0,31564005.0,33414185.0,-1850180.0,,,prior
birt,281576132.0,241866427.0,404506640.0,383346203.0,21160437.0,60606360.0,86.97,total
sales,11093674.0,10953759.0,150419384.0,134497061.0,15922323.0,36164616.0,80.62,total
amusement,3554474.0,3492859.0,18968516.0,17254123.0,1714393.0,2211484.0,89.56,total
tobacco,3987.0,5010.0,847878.0,758360.0,89518.0,-72878.0,109.4,total
parking,8090223.0,7828971.0,78099807.0,74413168.0,3686639.0,16996193.0,82.13,total
valet,112607.0,122463.0,1157532.0,1164188.0,-6656.0,442468.0,72.35,total
real_estate_transfer,17752917.0,16157325.0,194332272.0,196370920.0,-2038648.0,38528728.0,83.45,total
outdoor_ads,223665.0,180945.0,2293951.0,2301611.0,-7660.0,205049.0,91.79,total
soda,7042953.0,,19155062.0,,19155062.0,27027938.0,41.48,total
other_taxes,32.0,1945.0,72273.0,57421.0,14852.0,10727.0,87.08,total
all_taxes,495127558.0,428849984.0,2665439535.0,2540948023.0,124491512.0,420961465.0,86.36,total
