name,jun_fy17,jun_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4526993.0,4130125.0,58855898.0,53617209.0,5238689.0,-4529898.0,108.34
traffic_fines,501775.0,522704.0,5198349.0,5992930.0,-794581.0,1201651.0,81.22
payments_in_lieu_of_taxes,1355749.0,1212090.0,4024048.0,4001237.0,22811.0,-1424048.0,154.77
cable_television,,,24532300.0,22788377.0,1743923.0,334700.0,98.65
emergency_medical_services,2848593.0,3477090.0,40605577.0,42263073.0,-1657496.0,3394423.0,92.29
court_related_costs,4568469.0,4286611.0,47611617.0,45488331.0,2123286.0,-6161617.0,114.87
interest_earnings,962375.0,411369.0,4753969.0,5162961.0,-408992.0,-3253969.0,316.93
asset_sales,572862.0,4508.0,2489843.0,5100012.0,-2610169.0,-435843.0,121.22
all_other_local_nontaxes,6909530.0,4620228.0,120623870.0,108097492.0,12526378.0,-7571870.0,106.7
total_local_nontax_revenue,22246346.0,18664725.0,308695471.0,292511622.0,16183849.0,-18446471.0,106.36
