name,jun_fy17,jun_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3892028.0,-1533913.0,542335470.0,520329188.0,22006282.0,-9224470.0,101.73,current
real_estate,1508238.0,1035992.0,44320363.0,51422403.0,-7102040.0,6947637.0,86.45,prior
real_estate,5400266.0,-497921.0,586655833.0,571751591.0,14904242.0,-2276833.0,100.39,total
wage_city,108270498.0,109003815.0,1421396820.0,1363384426.0,58012394.0,-18971820.0,101.35,current
wage_city,-1148770.0,-3197915.0,2812107.0,5629930.0,-2817823.0,-779107.0,138.32,prior
wage_city,107121728.0,105805900.0,1424208927.0,1369014356.0,55194571.0,-19750927.0,101.41,total
wage_pica,33704084.0,32754564.0,432811376.0,412108340.0,20703036.0,-5838376.0,101.37,current
wage_pica,-102946.0,-595089.0,1126125.0,2074656.0,-948531.0,1873875.0,37.54,prior
wage_pica,33601138.0,32159475.0,433937501.0,414182996.0,19754505.0,-3964501.0,100.92,total
wage,140722866.0,137965375.0,1858146428.0,1783197352.0,74949076.0,-23715428.0,101.29,total
earnings_city,273382.0,4148.0,9496157.0,987025.0,-374098.0,203843.0,82.58,current
earnings_city,-653220.0,-127897.0,5443698.0,2767234.0,2676464.0,-443698.0,108.87,prior
earnings_city,-379838.0,316251.0,14939855.0,12637489.0,2302366.0,1560145.0,90.54,total
earnings_pica,157877.0,237601.0,4852313.0,4979733.0,-127420.0,-2852313.0,242.62,current
earnings_pica,236704.0,-21584.0,3340658.0,1434913.0,1905745.0,159342.0,95.45,prior
earnings_pica,394581.0,216017.0,8192971.0,6414646.0,1778325.0,-2692971.0,148.96,total
earnings,14743.0,532268.0,23132826.0,19052135.0,4080691.0,-1132826.0,105.15,total
net_profits_city,2377200.0,3782043.0,25582438.0,22912369.0,2670069.0,424562.0,98.37,current
net_profits_city,-6235139.0,-1004539.0,-3006986.0,2055832.0,-5062818.0,6089986.0,-97.53,prior
net_profits_city,-3857939.0,2777504.0,22575452.0,24968201.0,-2392749.0,6514548.0,77.61,total
net_profits_pica,2308492.0,3648687.0,23895290.0,21816717.0,2078573.0,-1836290.0,108.32,current
net_profits_pica,181465.0,-822906.0,3184866.0,2083521.0,1101345.0,-684866.0,127.39,prior
net_profits_pica,2489957.0,2825781.0,27080156.0,23900238.0,3179918.0,-2521156.0,110.27,total
net_profits,-1367982.0,5603285.0,49655608.0,48868439.0,787169.0,3993392.0,92.56,total
wage_earnings_net_profits,139369627.0,144100928.0,1930934862.0,1851117926.0,79816936.0,-20854862.0,101.09,total
wage_earnings_net_profits_pica,36485676.0,35201273.0,469210628.0,444497880.0,24712748.0,-9178628.0,102.0,total
wage_earnings_net_profits_city,102883951.0,108899655.0,1461724234.0,1406620046.0,55104188.0,-11676234.0,100.81,total
birt,-19388877.0,-21191970.0,392681991.0,429998394.0,-37316403.0,,,current
birt,-16879148.0,9047080.0,20891287.0,47036983.0,-26145696.0,,,prior
birt,-36268025.0,-12144890.0,413573278.0,477035377.0,-63462099.0,51539722.0,88.92,total
sales,19240723.0,11919569.0,183280191.0,158939615.0,24340576.0,3303809.0,98.23,total
amusement,643762.0,728457.0,20442704.0,19140086.0,1302618.0,737296.0,96.52,total
tobacco,3659.0,13581.0,861502.0,779578.0,81924.0,-86502.0,111.16,total
parking,8130334.0,8991724.0,93906607.0,92160979.0,1745628.0,1189393.0,98.75,total
valet,95183.0,135603.0,1376147.0,1444081.0,-67934.0,223853.0,86.01,total
real_estate_transfer,24353008.0,22416753.0,242807992.0,236275207.0,6532785.0,-9946992.0,104.27,total
outdoor_ads,266788.0,386458.0,2764265.0,2903459.0,-139194.0,-265265.0,110.61,total
soda,6872198.0,,32549120.0,,32549120.0,13633880.0,70.48,total
other_taxes,,,72598.0,57668.0,14930.0,10402.0,87.47,total
all_taxes,131621847.0,140848989.0,3040014471.0,2967107687.0,72906784.0,46386529.0,98.5,total
