name,aug_fy18,aug_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5577006.0,5165664.0,9712318.0,8262784.0,1449534.0,49463682.0,16.41
traffic_fines,474378.0,382455.0,865312.0,783549.0,81763.0,5934688.0,12.73
payments_in_lieu_of_taxes,30000.0,67409.0,179381.0,376285.0,-196904.0,2420619.0,6.9
cable_television,5587910.0,4116957.0,5974910.0,4116957.0,1857953.0,17261090.0,25.71
emergency_medical_services,3261045.0,4079014.0,7100161.0,7658417.0,-558256.0,35399839.0,16.71
court_related_costs,4571216.0,3931264.0,8396453.0,8165110.0,231343.0,33853547.0,19.87
interest_earnings,155086.0,221539.0,287270.0,269555.0,17715.0,1412730.0,16.9
asset_sales,356.0,148000.0,112250.0,168073.0,-55823.0,14637750.0,0.76
all_other_local_nontaxes,9785258.0,9921177.0,21095952.0,23164790.0,-2068838.0,92950048.0,18.5
total_local_nontax_revenue,29442255.0,28033479.0,53724007.0,52965520.0,758487.0,253333993.0,17.5
