name,sep_fy18,sep_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4313148.0,4786880.0,14025466.0,13049688.0,975778.0,45150534.0,23.7
traffic_fines,368629.0,449104.0,1233941.0,1232653.0,1288.0,5566059.0,18.15
payments_in_lieu_of_taxes,20050.0,,199431.0,376335.0,-176904.0,2400569.0,7.67
cable_television,,1760949.0,5974910.0,5877906.0,97004.0,17261090.0,25.71
emergency_medical_services,3752078.0,4114782.0,10852239.0,11773199.0,-920960.0,31647761.0,25.53
court_related_costs,4617384.0,3770074.0,13013836.0,11935185.0,1078651.0,29236164.0,30.8
interest_earnings,451139.0,209759.0,738410.0,479315.0,259095.0,961590.0,43.44
asset_sales,14490.0,34333.0,126740.0,202406.0,-75666.0,14623260.0,0.86
all_other_local_nontaxes,7594866.0,8338461.0,28682157.0,31503174.0,-2821017.0,85363843.0,25.15
total_local_nontax_revenue,21131784.0,23464342.0,74847130.0,76429861.0,-1582731.0,232210870.0,24.38
