name,may_fy18,may_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,11399332.0,10402762.0,605785312.0,538443442.0,67341870.0,2139688.0,99.65,current
real_estate,3854816.0,4432295.0,39231154.0,42812125.0,-3580971.0,-899154.0,102.35,prior
real_estate,15254148.0,14835057.0,645016466.0,581255567.0,63760899.0,1240534.0,99.81,total
wage_city,120560564.0,123352569.0,1392067333.0,1313126322.0,78941011.0,125722667.0,91.72,current
wage_city,593100.0,-426493.0,4352030.0,3960877.0,391153.0,-1602030.0,158.26,prior
wage_city,121153664.0,122926076.0,1396419363.0,1317087199.0,79332164.0,124120637.0,91.84,total
wage_pica,36841153.0,37491644.0,425396294.0,399107292.0,26289002.0,35608706.0,92.28,current
wage_pica,182496.0,-119779.0,1331617.0,1229070.0,102547.0,1168383.0,53.26,prior
wage_pica,37023649.0,37371865.0,426727911.0,400336362.0,26391549.0,36777089.0,92.07,total
wage,158177313.0,160297941.0,1823147274.0,1717423561.0,105723713.0,160897726.0,91.89,total
earnings_city,3373695.0,2216639.0,9860925.0,9222775.0,638150.0,-60925.0,100.62,current
earnings_city,367794.0,402618.0,4747483.0,6096918.0,-1349435.0,752517.0,86.32,prior
earnings_city,3741489.0,2619257.0,14608408.0,15319693.0,-711285.0,691592.0,95.48,total
earnings_pica,1781073.0,1128280.0,5206352.0,4694436.0,511916.0,-1206352.0,130.16,current
earnings_pica,194271.0,204934.0,2506406.0,3103954.0,-597548.0,193594.0,92.83,prior
earnings_pica,1975344.0,1333214.0,7712758.0,7798390.0,-85632.0,-1012758.0,115.12,total
earnings,5716833.0,3952471.0,22321166.0,23118083.0,-796917.0,-321166.0,101.46,total
net_profits_city,4987693.0,4110305.0,25050149.0,23205238.0,1844911.0,2456851.0,91.07,current
net_profits_city,310232.0,18935.0,4910229.0,3228152.0,1682077.0,-2410229.0,196.41,prior
net_profits_city,5297925.0,4129240.0,29960378.0,26433390.0,3526988.0,46622.0,99.84,total
net_profits_pica,4697282.0,3824599.0,23613088.0,21586798.0,2026290.0,11912.0,99.95,current
net_profits_pica,292522.0,17709.0,4624557.0,3003401.0,1621156.0,-1124557.0,132.13,prior
net_profits_pica,4989804.0,3842308.0,28237645.0,24590199.0,3647446.0,-1112645.0,104.1,total
net_profits,10287729.0,7971548.0,58198023.0,51023589.0,7174434.0,-1066023.0,101.87,total
wage_earnings_net_profits,174181875.0,172221960.0,1903666463.0,1791565233.0,112101230.0,159510537.0,92.27,total
wage_earnings_net_profits_pica,43988797.0,42547387.0,462678314.0,432724951.0,29953363.0,34651686.0,93.03,total
wage_earnings_net_profits_city,130193078.0,129674573.0,1440988149.0,1358840282.0,82147867.0,124858851.0,92.03,total
birt,40451708.0,39128233.0,407211215.0,412070868.0,-4859653.0,,,current
birt,3960944.0,6206430.0,31761458.0,37770435.0,-6008977.0,,,prior
birt,44412652.0,45334663.0,438972673.0,449841303.0,-10868630.0,-25447673.0,106.15,total
sales,13984427.0,13620083.0,174777909.0,164039467.0,10738442.0,29674091.0,85.49,total
amusement,1440739.0,830427.0,21702795.0,19798943.0,1903852.0,-415795.0,101.95,total
tobacco,3316.0,9965.0,986976.0,857843.0,129133.0,-207976.0,126.7,total
parking,8172403.0,7676467.0,85607456.0,85776274.0,-168818.0,9909544.0,89.63,total
valet,152201.0,123432.0,2452617.0,1280963.0,1171654.0,47383.0,98.1,total
real_estate_transfer,34366760.0,24122713.0,306283615.0,218454984.0,87828631.0,-19147615.0,106.67,total
outdoor_ads,281299.0,203525.0,2657018.0,2497477.0,159541.0,232982.0,91.94,total
soda,6221175.0,6521859.0,69917118.0,25676921.0,44240197.0,,,current
soda,7993.0,,425337.0,,425337.0,,,prior
soda,6229168.0,6521859.0,70342455.0,25676921.0,44665534.0,8483545.0,89.24,total
other_taxes,80.0,325.0,92528.0,72598.0,19930.0,472.0,99.49,total
all_taxes,254490271.0,242953089.0,3189880657.0,2908392622.0,281488035.0,129228343.0,96.11,total
