name,mar_fy21,mar_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,418576753.0,108077818.0,575303479.0,640895974.0,-65592495.0,72523521.0,88.81,current
real_estate,6265161.0,2312869.0,19990026.0,25749373.0,-5759347.0,6746974.0,74.77,prior
real_estate,424841914.0,110390687.0,595293505.0,666645347.0,-71351842.0,79270495.0,88.25,total
wage_city,129558149.0,141479979.0,1115605773.0,1244347688.0,-128741915.0,371589227.0,75.01,current
wage_city,-4906018.0,1413619.0,-4018235.0,3006572.0,-7024807.0,6418235.0,-167.43,prior
wage_city,124652131.0,142893598.0,1111587538.0,1247354260.0,-135766722.0,378007462.0,74.62,total
wage_pica,42140514.0,44976894.0,356670602.0,395591468.0,-38920866.0,113092398.0,75.93,current
wage_pica,,449394.0,283186.0,965481.0,-682295.0,716814.0,28.32,prior
wage_pica,42140514.0,45426288.0,356953788.0,396556949.0,-39603161.0,113809212.0,75.82,total
wage,166792645.0,188319886.0,1468541326.0,1643911209.0,-175369883.0,491816674.0,74.91,total
earnings_city,372064.0,859728.0,7178113.0,6070179.0,1107934.0,2821887.0,71.78,current
earnings_city,265642.0,155699.0,1710426.0,346643.0,1363783.0,1289574.0,57.01,prior
earnings_city,637706.0,1015427.0,8888539.0,6416822.0,2471717.0,4111461.0,68.37,total
earnings_pica,243408.0,467181.0,3962631.0,3298573.0,664058.0,37369.0,99.07,current
earnings_pica,,84608.0,789514.0,188368.0,601146.0,1710486.0,31.58,prior
earnings_pica,243408.0,551789.0,4752145.0,3486941.0,1265204.0,1747855.0,73.11,total
earnings,881114.0,1567216.0,13640684.0,9903763.0,3736921.0,5859316.0,69.95,total
net_profits_city,1143583.0,2246946.0,23945453.0,2302407.0,21643046.0,-3942453.0,119.71,current
net_profits_city,888139.0,466138.0,2098968.0,8547230.0,-6448262.0,2601032.0,44.66,prior
net_profits_city,2031722.0,2713084.0,26044421.0,10849637.0,15194784.0,-1341421.0,105.43,total
net_profits_pica,1143218.0,2050961.0,21502185.0,2103072.0,19399113.0,-4946185.0,129.88,current
net_profits_pica,,425481.0,1081106.0,7802227.0,-6721121.0,3918894.0,21.62,prior
net_profits_pica,1143218.0,2476442.0,22583291.0,9905299.0,12677992.0,-1027291.0,104.77,total
net_profits,3174940.0,5189526.0,48627712.0,20754936.0,27872776.0,-2368712.0,105.12,total
wage_earnings_net_profits,170848699.0,195076628.0,1530809722.0,1674569908.0,-143760186.0,495307278.0,75.55,total
wage_earnings_net_profits_pica,43527140.0,48454519.0,384289224.0,409949189.0,-25659965.0,114529776.0,77.04,total
wage_earnings_net_profits_city,127321559.0,146622109.0,1146520498.0,1264620719.0,-118100221.0,380777502.0,75.07,total
birt,38493796.0,40753534.0,415702529.0,137086997.0,278615532.0,30100767.0,93.25,current
birt,6466246.0,4108874.0,30966554.0,27172611.0,3793943.0,5377150.0,85.2,prior
birt,44960042.0,44862408.0,446669083.0,164259608.0,282409475.0,35477917.0,92.64,total
sales,13237604.0,17819253.0,150264921.0,163703709.0,-13438788.0,54067079.0,73.54,total
amusement,28491.0,1601909.0,539671.0,19479463.0,-18939792.0,248329.0,68.49,total
tobacco,51703.0,11326.0,523766.0,1021807.0,-498041.0,537234.0,49.37,total
parking,3918949.0,8038383.0,32224506.0,73734673.0,-41510167.0,12855494.0,71.48,total
valet,50886.0,87669.0,249424.0,1149371.0,-899947.0,314576.0,44.22,total
real_estate_transfer,20903822.0,47435059.0,237396208.0,268870719.0,-31474511.0,50833792.0,82.36,total
outdoor_ads,207641.0,220838.0,1876312.0,2727746.0,-851434.0,330688.0,85.02,total
soda,4900195.0,5524621.0,49440743.0,56293474.0,-6852731.0,13572257.0,78.46,current
soda,54630.0,84523.0,236997.0,1118985.0,-881988.0,,,prior
soda,4954825.0,5609144.0,49677740.0,57412459.0,-7734719.0,13335260.0,78.84,total
other_taxes,,4140.0,37700.0,73253.0,-35553.0,12300.0,75.4,total
all_taxes,640477436.0,382702925.0,2661273334.0,2683698874.0,-22425540.0,628060666.0,80.91,total
