name,aug_fy22,aug_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4898358.0,8894268.0,10179301.0,15888890.0,-5709589.0,686166699.0,0.76,current
real_estate,2612261.0,2124893.0,4529626.0,4186186.0,343440.0,22207374.0,7.17,prior
real_estate,7510618.0,11019162.0,14708927.0,20075076.0,-5366149.0,708374073.0,1.0,total
wage_city,142415956.0,131821159.0,254940006.0,249116315.0,5823691.0,1285069994.0,7.31,current
wage_city,-11871341.0,-129294.0,-32290234.0,-735366.0,-31554868.0,-35809766.0,29.98,prior
wage_city,130544615.0,131691865.0,222649771.0,248380949.0,-25731177.0,1249260229.0,6.26,total
wage_pica,45638131.0,41906327.0,81736162.0,79194947.0,2541215.0,409678838.0,7.35,current
wage_pica,,-41103.0,,-230518.0,230518.0,3000000.0,0.0,prior
wage_pica,45638131.0,41865224.0,81736162.0,78964429.0,2771732.0,412678838.0,7.3,total
wage,176182746.0,173557089.0,304385933.0,327345378.0,-22959445.0,1661939067.0,6.52,total
earnings_city,225046.0,-216592.0,502041.0,3601855.0,-3099814.0,10497959.0,2.52,current
earnings_city,387767.0,-19790.0,744211.0,976008.0,-231797.0,2755789.0,10.18,prior
earnings_city,612813.0,-236382.0,1246252.0,4577863.0,-3331611.0,13253748.0,4.37,total
earnings_pica,123405.0,-117697.0,276801.0,1959558.0,-1682757.0,4723199.0,3.07,current
earnings_pica,212718.0,-10754.0,407644.0,530939.0,-123295.0,1592356.0,9.75,prior
earnings_pica,336123.0,-128451.0,684445.0,2490497.0,-1806052.0,6315555.0,4.98,total
earnings,948937.0,-364834.0,1930697.0,7068360.0,-5137663.0,19569303.0,4.57,total
net_profits_city,108363.0,3781319.0,278456.0,16131485.0,-15853029.0,25379544.0,0.66,current
net_profits_city,768172.0,194083.0,1421502.0,436371.0,985131.0,3278498.0,13.9,prior
net_profits_city,876534.0,3975402.0,1699958.0,16567856.0,-14867897.0,28658042.0,2.71,total
net_profits_pica,110810.0,3451502.0,272015.0,14782877.0,-14510862.0,22234985.0,0.72,current
net_profits_pica,687750.0,177155.0,1271346.0,399751.0,871595.0,2728654.0,14.59,prior
net_profits_pica,798561.0,3628656.0,1543361.0,15182628.0,-13639267.0,24963639.0,2.81,total
net_profits,1675095.0,7604059.0,3243319.0,31750483.0,-28507165.0,53621681.0,2.76,total
wage_earnings_net_profits,178806777.0,180796314.0,309559949.0,366164221.0,-56604273.0,1735130051.0,6.39,total
wage_earnings_net_profits_pica,46772815.0,45365429.0,83963967.0,96637554.0,-12673587.0,443958033.0,7.04,total
wage_earnings_net_profits_city,132033963.0,135430885.0,225595981.0,269526667.0,-43930686.0,1291172019.0,6.17,total
birt,5191563.0,24879648.0,13268378.0,285903959.0,-272635581.0,,,current
birt,2679336.0,1884431.0,4333193.0,7231767.0,-2898574.0,,,prior
birt,7870899.0,26764079.0,17601571.0,293135726.0,-275534155.0,503597429.0,1.87,total
sales,34486394.0,29653296.0,65941947.0,54023006.0,11918941.0,150482053.0,14.53,total
amusement,5429130.0,20447.0,6405330.0,22894.0,6382436.0,6557670.0,7.53,total
tobacco,245.0,9012.0,5864.0,27888.0,-22024.0,1060136.0,0.53,total
parking,6518161.0,2391408.0,13112738.0,4899960.0,8212778.0,42701262.0,11.82,total
valet,159681.0,21855.0,279993.0,29430.0,250563.0,335007.0,19.56,total
real_estate_transfer,25224360.0,22762727.0,39396341.0,59135437.0,-19739097.0,255462659.0,4.81,total
outdoor_ads,211593.0,206103.0,482573.0,357261.0,125312.0,1959427.0,11.1,total
soda,6818844.0,6172595.0,13865729.0,11893553.0,1972177.0,,,current
soda,4215.0,8149.0,13851.0,13693.0,158.0,,,prior
soda,6823060.0,6180744.0,13879581.0,11907246.0,1972335.0,58635419.0,9.73,total
other_taxes,,,,,,60000.0,0.0,total
all_taxes,226268104.0,234459717.0,397410846.0,713140591.0,-315729745.0,3020397154.0,5.01,total
