name,sep_fy22,sep_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3632648.0,6080696.0,13811949.0,21969586.0,-8157637.0,682534051.0,1.98,current
real_estate,1633625.0,2384720.0,6163251.0,6570906.0,-407655.0,20573749.0,23.05,prior
real_estate,5266274.0,8465416.0,19975201.0,28540492.0,-8565292.0,703107799.0,2.76,total
wage_city,121900261.0,118897193.0,376840267.0,368013508.0,8826759.0,1163169733.0,24.47,current
wage_city,-3702162.0,-167697.0,-35992396.0,-903063.0,-35089333.0,-32107604.0,52.85,prior
wage_city,118198099.0,118729496.0,340847870.0,367110445.0,-26262575.0,1131062130.0,23.16,total
wage_pica,39650676.0,37797761.0,121386837.0,116992708.0,4394130.0,370028163.0,24.7,current
wage_pica,,-53311.0,,-283829.0,283829.0,3000000.0,0.0,prior
wage_pica,39650676.0,37744450.0,121386837.0,116708879.0,4677958.0,373028163.0,24.55,total
wage,157848775.0,156473946.0,462234708.0,483819324.0,-21584616.0,1504090292.0,23.51,total
earnings_city,89814.0,300753.0,591856.0,3902608.0,-3310752.0,10408144.0,5.38,current
earnings_city,345824.0,173456.0,1090035.0,1149464.0,-59429.0,2409965.0,31.14,prior
earnings_city,435639.0,474209.0,1681891.0,5052072.0,-3370181.0,12818109.0,11.6,total
earnings_pica,49080.0,163430.0,325881.0,2122988.0,-1797107.0,4674119.0,6.52,current
earnings_pica,188979.0,94257.0,596622.0,625196.0,-28574.0,1403378.0,29.83,prior
earnings_pica,238058.0,257687.0,922503.0,2748184.0,-1825681.0,6077497.0,13.18,total
earnings,673697.0,731896.0,2604394.0,7800256.0,-5195862.0,18895606.0,12.11,total
net_profits_city,510494.0,1467689.0,788950.0,17599174.0,-16810224.0,24869050.0,3.07,current
net_profits_city,1504118.0,158885.0,2925620.0,595255.0,2330364.0,1774380.0,62.25,prior
net_profits_city,2014611.0,1626573.0,3714570.0,18194429.0,-14479859.0,26643430.0,12.24,total
net_profits_pica,455802.0,1339673.0,727816.0,16122550.0,-15394734.0,21779184.0,3.23,current
net_profits_pica,1342972.0,145027.0,2614318.0,544777.0,2069541.0,1385682.0,65.36,prior
net_profits_pica,1798774.0,1484700.0,3342135.0,16667328.0,-13325193.0,23164865.0,12.61,total
net_profits,3813386.0,3111273.0,7056705.0,34861757.0,-27805052.0,49808295.0,12.41,total
wage_earnings_net_profits,162335857.0,160317115.0,471895806.0,526481336.0,-54585531.0,1572794194.0,23.08,total
wage_earnings_net_profits_pica,41687508.0,39486837.0,125651475.0,136124391.0,-10472915.0,402270525.0,23.8,total
wage_earnings_net_profits_city,120648349.0,120830278.0,346244331.0,390356946.0,-44112615.0,1170523669.0,22.83,total
birt,29122822.0,18158747.0,42391200.0,304062706.0,-261671506.0,,,current
birt,2853329.0,1436864.0,7186522.0,8668631.0,-1482109.0,,,prior
birt,31976151.0,19595611.0,49577722.0,312731337.0,-263153615.0,471621278.0,9.51,total
sales,16317889.0,12484446.0,82259835.0,66507452.0,15752383.0,134164165.0,38.01,total
amusement,2230208.0,22100.0,8635538.0,44995.0,8590543.0,4327462.0,66.62,total
tobacco,228.0,6922.0,6093.0,34810.0,-28718.0,1059907.0,0.57,total
parking,6893701.0,3849607.0,20006440.0,8749567.0,11256873.0,35807560.0,35.84,total
valet,153598.0,41090.0,433591.0,70520.0,363071.0,181409.0,70.5,total
real_estate_transfer,23237147.0,24561901.0,62633487.0,83697338.0,-21063851.0,232225513.0,21.24,total
outdoor_ads,321778.0,230232.0,804351.0,587493.0,216858.0,1637649.0,32.94,total
soda,6581354.0,5565080.0,20447083.0,17458632.0,2988451.0,,,current
soda,1853.0,29269.0,15704.0,42962.0,-27257.0,,,prior
soda,6583207.0,5594349.0,20462788.0,17501594.0,2961194.0,52052212.0,28.22,total
other_taxes,15900.0,,15900.0,,15900.0,44100.0,26.5,total
all_taxes,213644430.0,195681952.0,611055275.0,908822543.0,-297767268.0,2806752725.0,17.88,total
