name,feb_fy21,feb_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,73968468,508035276,190567998,647823496,-457255498,597142002,24,current
real_estate,1259058,5867208,16911532,28913507,-12001975,18783008,47,prior
real_estate,75227526,513902485,207479531,676737003,-469257473,615925009,25,total
school_income,162116,279270,17774699,5230037,12544662,29175049,38,current
school_income,149239,235480,796170,1167485,-371315,659806,55,prior
school_income,311355,514750,18570869,6397523,12173347,29834855,38,total
use_and_occupancy,9744307,14783545,108868194,125997951,-17129756,35451317,75,current
use_and_occupancy,1098756,924298,5800521,6070075,-269555,31754,99,prior
use_and_occupancy,10843063,15707843,114668715,132068026,-17399311,35483071,76,total
liquor,1420072,4556120,16200667,52133699,-35933032,20126176,45,current
liquor,272504,1214062,2155244,3846014,-1690769,3064779,41,prior
liquor,1692577,5770182,18355912,55979713,-37623801,23190954,44,total
other_nontax,23933,166107,493753,672581,-178828,5134923,9,total
total_revenue,88098454,536061367,359568779,871854845,-512286066,709568813,34,total
