name,jun_fy21,jun_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,10468046,7607239,866729424,811818975,54910449,-22754424,103,current
real_estate,3291186,1933846,33262667,36422608,-3159941,-5760667,121,prior
real_estate,13759232,9541085,899992091,848241583,51750508,-28515091,103,total
school_income,5702099,1467723,65568047,37746194,27821852,-18618299,140,current
school_income,261440,14674,2136643,1528691,607952,-680667,147,prior
school_income,5963539,1482397,67704689,39274885,28429805,-19298965,140,total
use_and_occupancy,15066944,11362064,172134919,171545406,589513,-9009770,106,current
use_and_occupancy,1193893,154914,9830771,7731012,2099759,-1493326,118,prior
use_and_occupancy,16260837,11516978,181965690,179276417,2689272,-10503096,106,total
liquor,5108925,1209705,29967284,60878241,-30910957,-3550361,113,current
liquor,377855,149246,3816808,5694387,-1877579,-203187,106,prior
liquor,5486780,1358950,33784092,66572628,-32788536,-3753548,112,total
other_nontax,856378,1047757,4596355,4578621,17734,1032321,82,total
total_revenue,42326765,24947168,1188042917,1137944134,50098783,-61038379,105,total
