name,jul_fy22,jul_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,6421233,8504941,6421233,8504941,-2083708,840283767,1,current
real_estate,2353921,2536083,2353921,2536083,-182162,33340619,7,prior
real_estate,8775154,11041024,8775154,11041024,-2265870,873624386,1,total
school_income,564564,9830721,564564,9830721,-9266157,47324179,1,current
school_income,80770,71567,80770,71567,9204,1375206,6,prior
school_income,645334,9902288,645334,9902288,-9256953,48699385,1,total
use_and_occupancy,14270347,13108107,14270347,13108107,1162239,153748556,8,current
use_and_occupancy,769561,298404,769561,298404,471157,7567884,9,prior
use_and_occupancy,15039908,13406512,15039908,13406512,1633396,161316440,9,total
liquor,5405596,1744615,5405596,1744615,3660981,52606716,9,current
liquor,290731,281527,290731,281527,9204,3322890,8,prior
liquor,5696327,2026142,5696327,2026142,3670185,55929606,9,total
other_nontax,1320951,96584,1320951,96584,1224368,3954186,25,total
total_revenue,31477675,36472549,31477675,36472549,-4994874,1143524002,3,total
