name,aug_fy22,aug_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,5956052.0,10814765,12377284,19319706,-6942421,834327716,1,current
real_estate,3215958.0,2620641,5569880,5156724,413156,30124660,16,prior
real_estate,9172010.0,13435406,17947164,24476430,-6529266,864452376,2,total
school_income,684657.0,3830804,1249221,13661525,-12412304,46639522,3,current
school_income,161418.0,25290,242188,96857,145331,1213788,17,prior
school_income,846075.0,3856094,1491409,13758382,-12266973,47853310,3,total
use_and_occupancy,13782041.0,13989212,28052388,27097319,955069,139966515,17,current
use_and_occupancy,752656.0,227621,1522217,526025,996192,6815228,18,prior
use_and_occupancy,14534697.0,14216833,29574605,27623344,1951260,146781743,17,total
liquor,5802522.0,1831819,11208118,3576434,7631684,46804194,19,current
liquor,210578.0,319577,501309,601104,-99795,3112312,14,prior
liquor,6013100.0,2151396,11709427,4177538,7531889,49916506,19,total
other_nontax,,255763,1320951,352346,968605,3954186,25,total
total_revenue,30565882.0,33915491,62043557,70388040,-8344484,1112958120,5,total
