name,sep_fy22,sep_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4417029.0,7393672,16794313,26713378,-9919064,829910687,2,current
real_estate,2008308.0,2937017,7578188,8093741,-515553,28116352,21,prior
real_estate,6425337.0,10330689,24372501,34807118,-10434617,858027039,3,total
school_income,860976.0,635957,2110197,14297482,-12187285,45778546,4,current
school_income,71990.0,50839,314178,147696,166482,1141798,22,prior
school_income,932966.0,686796,2424375,14445178,-12020804,46920344,5,total
use_and_occupancy,14243523.0,13201121,42295911,40298440,1997471,125722992,25,current
use_and_occupancy,596929.0,232322,2119146,758347,1360799,6218299,25,prior
use_and_occupancy,14840452.0,13433443,44415057,41056787,3358270,131941291,25,total
liquor,5799770.0,2397341,17007888,5973775,11034113,41004424,29,current
liquor,313276.0,374847,814585,975951,-161366,2799036,23,prior
liquor,6113046.0,2772188,17822474,6949726,10872747,43803459,29,total
other_nontax,,35665,1320951,388011,932940,3954186,25,total
total_revenue,28311801.0,27258781,90355358,97646821,-7291464,1084646319,8,total
