name,oct_fy22,oct_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3296943.0,6969625,20091257,33683003,-13591746,826613743,2,current
real_estate,1494788.0,2673199,9072976,10766940,-1693964,26621564,25,prior
real_estate,4791731.0,9642824,29164232,44449942,-15285710,853235308,3,total
school_income,1537094.0,2691998,3647291,16989480,-13342189,44241452,8,current
school_income,78485.0,110665,392663,258361,134302,1063313,27,prior
school_income,1615579.0,2802663,4039954,17247841,-13207887,45304765,8,total
use_and_occupancy,13042516.0,14283579,55338427,54582019,756408,112680476,33,current
use_and_occupancy,436141.0,595414,2555287,1353761,1201526,5782158,31,prior
use_and_occupancy,13478657.0,14878993,57893714,55935780,1957934,118462634,33,total
liquor,5469014.0,2807995,22476903,8781771,13695132,35535409,39,current
liquor,316199.0,150740,1130784,1126691,4093,2482837,31,prior
liquor,5785213.0,2958735,23607687,9908461,13699225,38018246,38,total
other_nontax,,2469,1320951,390481,930471,3954186,25,total
total_revenue,25671181.0,30285684,116026539,127932505,-11905967,1058975138,10,total
