category,parent_category,year,fiscal_year,fiscal_quarter,variable,value,date
Unclassified,,2023,2023,3,total,4374.0,2023-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2023,2023,3,total,6506923.0,2023-01-01
Single/Multi-family Homes (01 thur 76),Residential,2023,2023,3,total,33748577.0,2023-01-01
Residential,,2023,2023,3,num_records,6656.0,2023-01-01
Residential,,2023,2023,3,total,45043437.0,2023-01-01
General Commercial (88-2),Nonresidential,2023,2023,3,total,4343289.0,2023-01-01
General Commercial (88-2),Nonresidential,2023,2023,3,num_records,122.0,2023-01-01
Apartments (88-1),Residential,2023,2023,3,num_records,45.0,2023-01-01
Apartments (88-1),Residential,2023,2023,3,total,3931335.0,2023-01-01
Condominiums (88-8),Residential,2023,2023,3,total,7363524.0,2023-01-01
Condominiums (88-8),Residential,2023,2023,3,num_records,475.0,2023-01-01
Industrial (88-4),Nonresidential,2023,2023,3,total,4013415.0,2023-01-01
Industrial (88-4),Nonresidential,2023,2023,3,num_records,60.0,2023-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2023,2023,3,num_records,259.0,2023-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2023,2023,3,num_records,13.0,2023-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2023,2023,3,total,3910362.0,2023-01-01
Nonresidential,,2023,2023,3,total,18773989.0,2023-01-01
Nonresidential,,2023,2023,3,num_records,454.0,2023-01-01
Total,,2023,2023,3,total,63821799.0,2023-01-01
Total,,2023,2023,3,num_records,7312.0,2023-01-01
Unclassified,,2023,2023,3,num_records,202.0,2023-01-01
Single/Multi-family Homes (01 thur 76),Residential,2023,2023,3,num_records,6136.0,2023-01-01
Single/Multi-family Homes (01 thur 76),Residential,2022,2023,2,num_records,6907.0,2022-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2022,2023,2,total,1456088.0,2022-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2022,2023,2,num_records,10.0,2022-10-01
Nonresidential,,2022,2023,2,total,12056183.0,2022-10-01
Nonresidential,,2022,2023,2,num_records,373.0,2022-10-01
Apartments (88-1),Residential,2022,2023,2,total,26923027.0,2022-10-01
Apartments (88-1),Residential,2022,2023,2,num_records,55.0,2022-10-01
Residential,,2022,2023,2,total,75358348.0,2022-10-01
Single/Multi-family Homes (01 thur 76),Residential,2022,2023,2,total,41657499.0,2022-10-01
Industrial (88-4),Nonresidential,2022,2023,2,num_records,55.0,2022-10-01
Unclassified,,2022,2023,2,total,26890.0,2022-10-01
Unclassified,,2022,2023,2,num_records,311.0,2022-10-01
Condominiums (88-8),Residential,2022,2023,2,num_records,514.0,2022-10-01
Condominiums (88-8),Residential,2022,2023,2,total,6777823.0,2022-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2022,2023,2,num_records,220.0,2022-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2022,2023,2,total,3904483.0,2022-10-01
Industrial (88-4),Nonresidential,2022,2023,2,total,2088970.0,2022-10-01
General Commercial (88-2),Nonresidential,2022,2023,2,num_records,88.0,2022-10-01
General Commercial (88-2),Nonresidential,2022,2023,2,total,4606643.0,2022-10-01
Total,,2022,2023,2,num_records,8160.0,2022-10-01
Residential,,2022,2023,2,num_records,7476.0,2022-10-01
Total,,2022,2023,2,total,87441422.0,2022-10-01
Condominiums (88-8),Residential,2022,2023,1,num_records,776.0,2022-07-01
Single/Multi-family Homes (01 thur 76),Residential,2022,2023,1,total,57739016.0,2022-07-01
Condominiums (88-8),Residential,2022,2023,1,total,11460034.0,2022-07-01
Apartments (88-1),Residential,2022,2023,1,num_records,78.0,2022-07-01
Apartments (88-1),Residential,2022,2023,1,total,49831197.0,2022-07-01
Single/Multi-family Homes (01 thur 76),Residential,2022,2023,1,num_records,8797.0,2022-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2022,2023,1,num_records,15.0,2022-07-01
Total,,2022,2023,1,total,149434832.0,2022-07-01
Residential,,2022,2023,1,total,119030247.0,2022-07-01
Nonresidential,,2022,2023,1,num_records,531.0,2022-07-01
Nonresidential,,2022,2023,1,total,30402011.0,2022-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2022,2023,1,total,5122145.0,2022-07-01
Unclassified,,2022,2023,1,total,2574.0,2022-07-01
Unclassified,,2022,2023,1,num_records,150.0,2022-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2022,2023,1,num_records,309.0,2022-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2022,2023,1,total,6576802.0,2022-07-01
General Commercial (88-2),Nonresidential,2022,2023,1,num_records,131.0,2022-07-01
General Commercial (88-2),Nonresidential,2022,2023,1,total,9094512.0,2022-07-01
Total,,2022,2023,1,num_records,10332.0,2022-07-01
Industrial (88-4),Nonresidential,2022,2023,1,num_records,76.0,2022-07-01
Industrial (88-4),Nonresidential,2022,2023,1,total,9608553.0,2022-07-01
Residential,,2022,2023,1,num_records,9651.0,2022-07-01
Industrial (88-4),Nonresidential,2022,2022,4,total,9384346.0,2022-04-01
Industrial (88-4),Nonresidential,2022,2022,4,num_records,84.0,2022-04-01
Condominiums (88-8),Residential,2022,2022,4,num_records,1010.0,2022-04-01
Condominiums (88-8),Residential,2022,2022,4,total,15067811.0,2022-04-01
Total,,2022,2022,4,num_records,12955.0,2022-04-01
Total,,2022,2022,4,total,139573310.0,2022-04-01
Apartments (88-1),Residential,2022,2022,4,num_records,118.0,2022-04-01
Apartments (88-1),Residential,2022,2022,4,total,11565699.0,2022-04-01
Single/Multi-family Homes (01 thur 76),Residential,2022,2022,4,total,76283694.0,2022-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2022,2022,4,num_records,384.0,2022-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2022,2022,4,num_records,19.0,2022-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2022,2022,4,total,5022145.0,2022-04-01
Single/Multi-family Homes (01 thur 76),Residential,2022,2022,4,num_records,10957.0,2022-04-01
Unclassified,,2022,2022,4,total,8097.0,2022-04-01
Unclassified,,2022,2022,4,num_records,245.0,2022-04-01
Residential,,2022,2022,4,num_records,12085.0,2022-04-01
Residential,,2022,2022,4,total,102917205.0,2022-04-01
General Commercial (88-2),Nonresidential,2022,2022,4,total,5912764.0,2022-04-01
General Commercial (88-2),Nonresidential,2022,2022,4,num_records,138.0,2022-04-01
Nonresidential,,2022,2022,4,num_records,625.0,2022-04-01
Nonresidential,,2022,2022,4,total,36648009.0,2022-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2022,2022,4,total,16328754.0,2022-04-01
Residential,,2022,2022,3,num_records,15890.0,2022-01-01
Residential,,2022,2022,3,total,135068715.0,2022-01-01
General Commercial (88-2),Nonresidential,2022,2022,3,total,31139764.0,2022-01-01
Industrial (88-4),Nonresidential,2022,2022,3,num_records,160.0,2022-01-01
General Commercial (88-2),Nonresidential,2022,2022,3,num_records,190.0,2022-01-01
Unclassified,,2022,2022,3,num_records,297.0,2022-01-01
Unclassified,,2022,2022,3,total,0.0,2022-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2022,2022,3,num_records,553.0,2022-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2022,2022,3,total,12628098.0,2022-01-01
Industrial (88-4),Nonresidential,2022,2022,3,total,15686773.0,2022-01-01
Apartments (88-1),Residential,2022,2022,3,total,19154017.0,2022-01-01
Nonresidential,,2022,2022,3,total,60744767.0,2022-01-01
Single/Multi-family Homes (01 thur 76),Residential,2022,2022,3,total,101240529.0,2022-01-01
Apartments (88-1),Residential,2022,2022,3,num_records,138.0,2022-01-01
Condominiums (88-8),Residential,2022,2022,3,num_records,1174.0,2022-01-01
Condominiums (88-8),Residential,2022,2022,3,total,14674168.0,2022-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2022,2022,3,num_records,19.0,2022-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2022,2022,3,total,1290133.0,2022-01-01
Total,,2022,2022,3,num_records,17109.0,2022-01-01
Total,,2022,2022,3,total,195813482.0,2022-01-01
Single/Multi-family Homes (01 thur 76),Residential,2022,2022,3,num_records,14578.0,2022-01-01
Nonresidential,,2022,2022,3,num_records,922.0,2022-01-01
Residential,,2021,2022,2,num_records,10328.0,2021-10-01
Single/Multi-family Homes (01 thur 76),Residential,2021,2022,2,total,66923372.0,2021-10-01
Single/Multi-family Homes (01 thur 76),Residential,2021,2022,2,num_records,9358.0,2021-10-01
Industrial (88-4),Nonresidential,2021,2022,2,num_records,89.0,2021-10-01
Residential,,2021,2022,2,total,109568669.0,2021-10-01
General Commercial (88-2),Nonresidential,2021,2022,2,num_records,116.0,2021-10-01
General Commercial (88-2),Nonresidential,2021,2022,2,total,3614914.0,2021-10-01
Industrial (88-4),Nonresidential,2021,2022,2,total,7146365.0,2021-10-01
Condominiums (88-8),Residential,2021,2022,2,num_records,868.0,2021-10-01
Condominiums (88-8),Residential,2021,2022,2,total,11136915.0,2021-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2021,2022,2,num_records,329.0,2021-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2021,2022,2,total,9857166.0,2021-10-01
Total,,2021,2022,2,total,137608101.0,2021-10-01
Nonresidential,,2021,2022,2,num_records,558.0,2021-10-01
Nonresidential,,2021,2022,2,total,28039432.0,2021-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2021,2022,2,total,7420987.0,2021-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2021,2022,2,num_records,24.0,2021-10-01
Apartments (88-1),Residential,2021,2022,2,num_records,102.0,2021-10-01
Apartments (88-1),Residential,2021,2022,2,total,31508382.0,2021-10-01
Total,,2021,2022,2,num_records,11087.0,2021-10-01
Unclassified,,2021,2022,2,num_records,201.0,2021-10-01
Unclassified,,2021,2022,2,total,0.0,2021-10-01
Single/Multi-family Homes (01 thur 76),Residential,2021,2022,1,total,37888754.0,2021-07-01
Total,,2021,2022,1,total,60866225.0,2021-07-01
Total,,2021,2022,1,num_records,7023.0,2021-07-01
Apartments (88-1),Residential,2021,2022,1,total,2550466.0,2021-07-01
Apartments (88-1),Residential,2021,2022,1,num_records,52.0,2021-07-01
Nonresidential,,2021,2022,1,total,13478846.0,2021-07-01
Residential,,2021,2022,1,total,47367396.0,2021-07-01
Single/Multi-family Homes (01 thur 76),Residential,2021,2022,1,num_records,6014.0,2021-07-01
Residential,,2021,2022,1,num_records,6553.0,2021-07-01
Condominiums (88-8),Residential,2021,2022,1,num_records,487.0,2021-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2021,2022,1,total,4840476.0,2021-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2021,2022,1,num_records,16.0,2021-07-01
Unclassified,,2021,2022,1,num_records,113.0,2021-07-01
Unclassified,,2021,2022,1,total,19982.0,2021-07-01
General Commercial (88-2),Nonresidential,2021,2022,1,total,2635687.0,2021-07-01
General Commercial (88-2),Nonresidential,2021,2022,1,num_records,84.0,2021-07-01
Condominiums (88-8),Residential,2021,2022,1,total,6928176.0,2021-07-01
Nonresidential,,2021,2022,1,num_records,357.0,2021-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2021,2022,1,total,2888401.0,2021-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2021,2022,1,num_records,204.0,2021-07-01
Industrial (88-4),Nonresidential,2021,2022,1,total,3114282.0,2021-07-01
Industrial (88-4),Nonresidential,2021,2022,1,num_records,53.0,2021-07-01
Condominiums (88-8),Residential,2021,2021,4,total,8537354.0,2021-04-01
Condominiums (88-8),Residential,2021,2021,4,num_records,688.0,2021-04-01
Residential,,2021,2021,4,num_records,8372.0,2021-04-01
Residential,,2021,2021,4,total,61887311.0,2021-04-01
Single/Multi-family Homes (01 thur 76),Residential,2021,2021,4,num_records,7633.0,2021-04-01
Single/Multi-family Homes (01 thur 76),Residential,2021,2021,4,total,49732291.0,2021-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2021,2021,4,total,490585.0,2021-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2021,2021,4,num_records,6.0,2021-04-01
General Commercial (88-2),Nonresidential,2021,2021,4,num_records,111.0,2021-04-01
Nonresidential,,2021,2021,4,total,17582453.0,2021-04-01
Nonresidential,,2021,2021,4,num_records,458.0,2021-04-01
Unclassified,,2021,2021,4,num_records,175.0,2021-04-01
Unclassified,,2021,2021,4,total,87314.0,2021-04-01
Industrial (88-4),Nonresidential,2021,2021,4,num_records,71.0,2021-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2021,2021,4,total,7724781.0,2021-04-01
Total,,2021,2021,4,num_records,9005.0,2021-04-01
Total,,2021,2021,4,total,79557078.0,2021-04-01
General Commercial (88-2),Nonresidential,2021,2021,4,total,5057429.0,2021-04-01
Apartments (88-1),Residential,2021,2021,4,total,3617666.0,2021-04-01
Industrial (88-4),Nonresidential,2021,2021,4,total,4309658.0,2021-04-01
Apartments (88-1),Residential,2021,2021,4,num_records,51.0,2021-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2021,2021,4,num_records,270.0,2021-04-01
Residential,,2021,2021,3,total,49434102.0,2021-01-01
General Commercial (88-2),Nonresidential,2021,2021,3,num_records,90.0,2021-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2021,2021,3,num_records,251.0,2021-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2021,2021,3,total,4632393.0,2021-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2021,2021,3,total,1464225.0,2021-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2021,2021,3,num_records,10.0,2021-01-01
Unclassified,,2021,2021,3,num_records,151.0,2021-01-01
Unclassified,,2021,2021,3,total,1702.0,2021-01-01
Residential,,2021,2021,3,num_records,6877.0,2021-01-01
General Commercial (88-2),Nonresidential,2021,2021,3,total,1817132.0,2021-01-01
Nonresidential,,2021,2021,3,num_records,414.0,2021-01-01
Single/Multi-family Homes (01 thur 76),Residential,2021,2021,3,num_records,6408.0,2021-01-01
Nonresidential,,2021,2021,3,total,12636412.0,2021-01-01
Total,,2021,2021,3,total,62072216.0,2021-01-01
Total,,2021,2021,3,num_records,7442.0,2021-01-01
Apartments (88-1),Residential,2021,2021,3,num_records,55.0,2021-01-01
Apartments (88-1),Residential,2021,2021,3,total,6418603.0,2021-01-01
Industrial (88-4),Nonresidential,2021,2021,3,num_records,63.0,2021-01-01
Single/Multi-family Homes (01 thur 76),Residential,2021,2021,3,total,38846973.0,2021-01-01
Industrial (88-4),Nonresidential,2021,2021,3,total,4722662.0,2021-01-01
Condominiums (88-8),Residential,2021,2021,3,num_records,414.0,2021-01-01
Condominiums (88-8),Residential,2021,2021,3,total,4168526.0,2021-01-01
Nonresidential,,2020,2021,2,num_records,501.0,2020-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2021,2,num_records,9.0,2020-10-01
Condominiums (88-8),Residential,2020,2021,2,num_records,651.0,2020-10-01
Condominiums (88-8),Residential,2020,2021,2,total,7521220.0,2020-10-01
Apartments (88-1),Residential,2020,2021,2,total,9465474.0,2020-10-01
Apartments (88-1),Residential,2020,2021,2,num_records,82.0,2020-10-01
Nonresidential,,2020,2021,2,total,17376833.0,2020-10-01
Unclassified,,2020,2021,2,total,2459.0,2020-10-01
General Commercial (88-2),Nonresidential,2020,2021,2,num_records,109.0,2020-10-01
General Commercial (88-2),Nonresidential,2020,2021,2,total,3307913.0,2020-10-01
Unclassified,,2020,2021,2,num_records,175.0,2020-10-01
Industrial (88-4),Nonresidential,2020,2021,2,num_records,84.0,2020-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2021,2,total,2147418.0,2020-10-01
Total,,2020,2021,2,total,89306571.0,2020-10-01
Industrial (88-4),Nonresidential,2020,2021,2,total,7073679.0,2020-10-01
Residential,,2020,2021,2,num_records,9638.0,2020-10-01
Residential,,2020,2021,2,total,71927279.0,2020-10-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2021,2,num_records,8905.0,2020-10-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2021,2,total,54940585.0,2020-10-01
Total,,2020,2021,2,num_records,10314.0,2020-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2021,2,num_records,299.0,2020-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2021,2,total,4847823.0,2020-10-01
Nonresidential,,2020,2021,1,num_records,399.0,2020-07-01
Nonresidential,,2020,2021,1,total,12016317.0,2020-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2021,1,total,736981.0,2020-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2021,1,num_records,250.0,2020-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2021,1,total,6142363.0,2020-07-01
Industrial (88-4),Nonresidential,2020,2021,1,total,1966562.0,2020-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2021,1,num_records,7.0,2020-07-01
Residential,,2020,2021,1,num_records,8566.0,2020-07-01
Industrial (88-4),Nonresidential,2020,2021,1,num_records,61.0,2020-07-01
Residential,,2020,2021,1,total,58075190.0,2020-07-01
General Commercial (88-2),Nonresidential,2020,2021,1,total,3170410.0,2020-07-01
Total,,2020,2021,1,total,70095057.0,2020-07-01
Apartments (88-1),Residential,2020,2021,1,num_records,51.0,2020-07-01
General Commercial (88-2),Nonresidential,2020,2021,1,num_records,81.0,2020-07-01
Condominiums (88-8),Residential,2020,2021,1,num_records,561.0,2020-07-01
Condominiums (88-8),Residential,2020,2021,1,total,5536127.0,2020-07-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2021,1,total,48186199.0,2020-07-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2021,1,num_records,7954.0,2020-07-01
Total,,2020,2021,1,num_records,9109.0,2020-07-01
Unclassified,,2020,2021,1,num_records,144.0,2020-07-01
Apartments (88-1),Residential,2020,2021,1,total,4352865.0,2020-07-01
Unclassified,,2020,2021,1,total,3551.0,2020-07-01
Condominiums (88-8),Residential,2020,2020,4,num_records,385.0,2020-04-01
Condominiums (88-8),Residential,2020,2020,4,total,4574792.0,2020-04-01
General Commercial (88-2),Nonresidential,2020,2020,4,num_records,48.0,2020-04-01
Residential,,2020,2020,4,num_records,4910.0,2020-04-01
Residential,,2020,2020,4,total,35513396.0,2020-04-01
Unclassified,,2020,2020,4,total,0.0,2020-04-01
General Commercial (88-2),Nonresidential,2020,2020,4,total,2373503.0,2020-04-01
Nonresidential,,2020,2020,4,total,19318241.0,2020-04-01
Nonresidential,,2020,2020,4,num_records,228.0,2020-04-01
Total,,2020,2020,4,num_records,5213.0,2020-04-01
Apartments (88-1),Residential,2020,2020,4,total,1688367.0,2020-04-01
Apartments (88-1),Residential,2020,2020,4,num_records,36.0,2020-04-01
Unclassified,,2020,2020,4,num_records,75.0,2020-04-01
Industrial (88-4),Nonresidential,2020,2020,4,total,1395534.0,2020-04-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2020,4,total,29250235.0,2020-04-01
Industrial (88-4),Nonresidential,2020,2020,4,num_records,29.0,2020-04-01
Total,,2020,2020,4,total,54831636.0,2020-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2020,4,total,2684895.0,2020-04-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2020,4,num_records,4489.0,2020-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2020,4,total,12864307.0,2020-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2020,4,num_records,8.0,2020-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2020,4,num_records,143.0,2020-04-01
Industrial (88-4),Nonresidential,2020,2020,3,num_records,60.0,2020-01-01
General Commercial (88-2),Nonresidential,2020,2020,3,num_records,104.0,2020-01-01
Nonresidential,,2020,2020,3,total,35031707.0,2020-01-01
Industrial (88-4),Nonresidential,2020,2020,3,total,2583514.0,2020-01-01
Nonresidential,,2020,2020,3,num_records,503.0,2020-01-01
Condominiums (88-8),Residential,2020,2020,3,num_records,528.0,2020-01-01
Condominiums (88-8),Residential,2020,2020,3,total,6368954.0,2020-01-01
Unclassified,,2020,2020,3,total,0.0,2020-01-01
Total,,2020,2020,3,num_records,9269.0,2020-01-01
General Commercial (88-2),Nonresidential,2020,2020,3,total,3467965.0,2020-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2020,3,total,28098969.0,2020-01-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2020,3,num_records,7987.0,2020-01-01
Apartments (88-1),Residential,2020,2020,3,num_records,67.0,2020-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2020,3,num_records,14.0,2020-01-01
Unclassified,,2020,2020,3,num_records,184.0,2020-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2020,3,total,881260.0,2020-01-01
Total,,2020,2020,3,total,89356422.0,2020-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2020,3,num_records,325.0,2020-01-01
Apartments (88-1),Residential,2020,2020,3,total,5723642.0,2020-01-01
