total,sector,parent_sector,fiscal_year
1911381,"Appliance, other electronics, retail",Total Retail,2006
1691849,"Computer and software stores, retail",Total Retail,2006
1536296,"Convenience stores, retail",Total Retail,2006
4668405,"Department stores, retail",Total Retail,2006
1987973,Furniture stores retail,Total Retail,2006
3640328,"Home centers, retail",Total Retail,2006
2656264,"Liquor and beer stores, retail",Total Retail,2006
1314346,"Office supplies stores, retail",Total Retail,2006
12808121,Other retail,Total Retail,2006
2118187,"Pharmacies, retail",Total Retail,2006
2501649,"Supermarkets, retail",Total Retail,2006
5662624,All Other Sectors,,2006
3319012,Car and truck rental,,2006
2191945,Construction,,2006
6704547,Hotels,,2006
5449253,Manufacturing,,2006
14737500,Motor Vehicle Sales Tax,,2006
6797808,Public Utilities,,2006
2437671,Rentals except car and truck rentals,,2006
2152131,Repair services,,2006
13979342,"Restaurants, bars, concessionaires and caterers",,2006
6574410,Services other than repair services,,2006
11018957,Telecommunications,,2006
36834801,Total Retail,,2006
1573830,Unclassified,,2006
9659286,Wholesale,,2006
1985264,"Appliance, other electronics, retail",Total Retail,2007
2121907,"Computer and software stores, retail",Total Retail,2007
1611185,"Convenience stores, retail",Total Retail,2007
4619850,"Department stores, retail",Total Retail,2007
2068631,Furniture stores retail,Total Retail,2007
3788219,"Home centers, retail",Total Retail,2007
2795347,"Liquor and beer stores, retail",Total Retail,2007
1458355,"Office supplies stores, retail",Total Retail,2007
12993997,Other retail,Total Retail,2007
2130955,"Pharmacies, retail",Total Retail,2007
2561856,"Supermarkets, retail",Total Retail,2007
5996139,All Other Sectors,,2007
3659370,Car and truck rental,,2007
2217423,Construction,,2007
7055084,Hotels,,2007
5232133,Manufacturing,,2007
15522500,Motor Vehicle Sales Tax,,2007
7154915,Public Utilities,,2007
2809679,Rentals except car and truck rentals,,2007
2258781,Repair services,,2007
14705596,"Restaurants, bars, concessionaires and caterers",,2007
7212284,Services other than repair services,,2007
11829971,Telecommunications,,2007
38135565,Total Retail,,2007
2077418,Unclassified,,2007
10342313,Wholesale,,2007
1955382,"Appliance, other electronics, retail",Total Retail,2008
1665295,"Computer and software stores, retail",Total Retail,2008
1640702,"Convenience stores, retail",Total Retail,2008
5024792,"Department stores, retail",Total Retail,2008
2071848,Furniture stores retail,Total Retail,2008
3966638,"Home centers, retail",Total Retail,2008
2880217,"Liquor and beer stores, retail",Total Retail,2008
1461642,"Office supplies stores, retail",Total Retail,2008
13312423,Other retail,Total Retail,2008
2117123,"Pharmacies, retail",Total Retail,2008
2615931,"Supermarkets, retail",Total Retail,2008
6161715,All Other Sectors,,2008
3852800,Car and truck rental,,2008
2617621,Construction,,2008
7356408,Hotels,,2008
5349771,Manufacturing,,2008
14133833,Motor Vehicle Sales Tax,,2008
6872573,Public Utilities,,2008
2743962,Rentals except car and truck rentals,,2008
2353849,Repair services,,2008
15272622,"Restaurants, bars, concessionaires and caterers",,2008
8064773,Services other than repair services,,2008
12459213,Telecommunications,,2008
38711993,Total Retail,,2008
2553912,Unclassified,,2008
11023248,Wholesale,,2008
1808465,"Appliance, other electronics, retail",Total Retail,2009
1308309,"Computer and software stores, retail",Total Retail,2009
1726382,"Convenience stores, retail",Total Retail,2009
5118072,"Department stores, retail",Total Retail,2009
1771447,Furniture stores retail,Total Retail,2009
3673516,"Home centers, retail",Total Retail,2009
3007299,"Liquor and beer stores, retail",Total Retail,2009
1339761,"Office supplies stores, retail",Total Retail,2009
12545011,Other retail,Total Retail,2009
2109596,"Pharmacies, retail",Total Retail,2009
2683482,"Supermarkets, retail",Total Retail,2009
6142000,All Other Sectors,,2009
3539988,Car and truck rental,,2009
2382068,Construction,,2009
6643065,Hotels,,2009
4542686,Manufacturing,,2009
11297000,Motor Vehicle Sales Tax,,2009
7043684,Public Utilities,,2009
2593370,Rentals except car and truck rentals,,2009
2257780,Repair services,,2009
15124380,"Restaurants, bars, concessionaires and caterers",,2009
7006597,Services other than repair services,,2009
12860272,Telecommunications,,2009
37091340,Total Retail,,2009
2364742,Unclassified,,2009
9875544,Wholesale,,2009
3122292,"Appliance, other electronics, retail",Total Retail,2010
2222927,"Computer and software stores, retail",Total Retail,2010
3432948,"Convenience stores, retail",Total Retail,2010
9399438,"Department stores, retail",Total Retail,2010
3010184,Furniture stores retail,Total Retail,2010
6390923,"Home centers, retail",Total Retail,2010
5266111,"Liquor and beer stores, retail",Total Retail,2010
2135557,"Office supplies stores, retail",Total Retail,2010
22681743,Other retail,Total Retail,2010
2749274,"Pharmacies, retail",Total Retail,2010
4579733,"Supermarkets, retail",Total Retail,2010
9210313,All Other Sectors,,2010
5445996,Car and truck rental,,2010
2953054,Construction,,2010
7480178,Hotels,,2010
7608119,Manufacturing,,2010
20242778,Motor Vehicle Sales Tax,,2010
10918589,Public Utilities,,2010
3471335,Rentals except car and truck rentals,,2010
4081198,Repair services,,2010
25944562,"Restaurants, bars, concessionaires and caterers",,2010
10790009,Services other than repair services,,2010
21072437,Telecommunications,,2010
64991132,Total Retail,,2010
3404577,Unclassified,,2010
14869947,Wholesale,,2010
3628924,"Appliance, other electronics, retail",Total Retail,2011
3165114,"Computer and software stores, retail",Total Retail,2011
4166098,"Convenience stores, retail",Total Retail,2011
10597402,"Department stores, retail",Total Retail,2011
3572782,Furniture stores retail,Total Retail,2011
7377143,"Home centers, retail",Total Retail,2011
6158290,"Liquor and beer stores, retail",Total Retail,2011
2425463,"Office supplies stores, retail",Total Retail,2011
26396313,Other retail,Total Retail,2011
4118805,"Pharmacies, retail",Total Retail,2011
5164155,"Supermarkets, retail",Total Retail,2011
10094147,All Other Sectors,,2011
6608755,Car and truck rental,,2011
4248240,Construction,,2011
7862702,Hotels,,2011
8823226,Manufacturing,,2011
27212667,Motor Vehicle Sales Tax,,2011
11902150,Public Utilities,,2011
4457656,Rentals except car and truck rentals,,2011
4994463,Repair services,,2011
32105063,"Restaurants, bars, concessionaires and caterers",,2011
13363853,Services other than repair services,,2011
22924916,Telecommunications,,2011
76770489,Total Retail,,2011
3348140,Unclassified,,2011
19120539,Wholesale,,2011
3367280,"Appliance, other electronics, retail",Total Retail,2012
3420984,"Computer and software stores, retail",Total Retail,2012
4412519,"Convenience stores, retail",Total Retail,2012
10704285,"Department stores, retail",Total Retail,2012
3769204,Furniture stores retail,Total Retail,2012
7559585,"Home centers, retail",Total Retail,2012
6495728,"Liquor and beer stores, retail",Total Retail,2012
2396272,"Office supplies stores, retail",Total Retail,2012
28384036,Other retail,Total Retail,2012
4184027,"Pharmacies, retail",Total Retail,2012
5212783,"Supermarkets, retail",Total Retail,2012
10597614,All Other Sectors,,2012
6656542,Car and truck rental,,2012
4752542,Construction,,2012
8716582,Hotels,,2012
8667519,Manufacturing,,2012
30297333,Motor Vehicle Sales Tax,,2012
10715371,Public Utilities,,2012
4301008,Rentals except car and truck rentals,,2012
4899075,Repair services,,2012
33652634,"Restaurants, bars, concessionaires and caterers",,2012
14709668,Services other than repair services,,2012
22373760,Telecommunications,,2012
79906703,Total Retail,,2012
3762841,Unclassified,,2012
19591059,Wholesale,,2012
3108159,"Appliance, other electronics, retail",Total Retail,2013
4609463,"Computer and software stores, retail",Total Retail,2013
4672396,"Convenience stores, retail",Total Retail,2013
10441722,"Department stores, retail",Total Retail,2013
3777417,Furniture stores retail,Total Retail,2013
7516080,"Home centers, retail",Total Retail,2013
6649195,"Liquor and beer stores, retail",Total Retail,2013
2217776,"Office supplies stores, retail",Total Retail,2013
29175602,Other retail,Total Retail,2013
4052227,"Pharmacies, retail",Total Retail,2013
5299520,"Supermarkets, retail",Total Retail,2013
11798043,All Other Sectors,,2013
7020024,Car and truck rental,,2013
5288153,Construction,,2013
9104480,Hotels,,2013
8721426,Manufacturing,,2013
30390000,Motor Vehicle Sales Tax,,2013
10223598,Public Utilities,,2013
4356993,Rentals except car and truck rentals,,2013
5198143,Repair services,,2013
34543037,"Restaurants, bars, concessionaires and caterers",,2013
16139439,Services other than repair services,,2013
21439312,Telecommunications,,2013
81519557,Total Retail,,2013
4173867,Unclassified,,2013
19926665,Wholesale,,2013
2788700,"Appliance, other electronics, retail",Total Retail,2014
4770548,"Computer and software stores, retail",Total Retail,2014
4657493,"Convenience stores, retail",Total Retail,2014
10240481,"Department stores, retail",Total Retail,2014
3691712,Furniture stores retail,Total Retail,2014
7583726,"Home centers, retail",Total Retail,2014
6688387,"Liquor and beer stores, retail",Total Retail,2014
1979784,"Office supplies stores, retail",Total Retail,2014
29781228,Other retail,Total Retail,2014
4087461,"Pharmacies, retail",Total Retail,2014
5418350,"Supermarkets, retail",Total Retail,2014
12626415,All Other Sectors,,2014
7401468,Car and truck rental,,2014
5357120,Construction,,2014
9276074,Hotels,,2014
8932703,Manufacturing,,2014
32823000,Motor Vehicle Sales Tax,,2014
10851898,Public Utilities,,2014
4554141,Rentals except car and truck rentals,,2014
5260564,Repair services,,2014
35812278,"Restaurants, bars, concessionaires and caterers",,2014
17996498,Services other than repair services,,2014
20149577,Telecommunications,,2014
81687868,Total Retail,,2014
3688456,Unclassified,,2014
20712701,Wholesale,,2014
2766941,"Appliance, other electronics, retail",Total Retail,2015
4636969,"Computer and software stores, retail",Total Retail,2015
4026074,"Convenience stores, retail",Total Retail,2015
10226457,"Department stores, retail",Total Retail,2015
4020509,Furniture stores retail,Total Retail,2015
8382955,"Home centers, retail",Total Retail,2015
6563944,"Liquor and beer stores, retail",Total Retail,2015
1903074,"Office supplies stores, retail",Total Retail,2015
29453222,Other retail,Total Retail,2015
3863442,"Pharmacies, retail",Total Retail,2015
5062136,"Supermarkets, retail",Total Retail,2015
12466313,All Other Sectors,,2015
7698409,Car and truck rental,,2015
5843015,Construction,,2015
9195607,Hotels,,2015
8962672,Manufacturing,,2015
35806085,Motor Vehicle Sales Tax,,2015
9112258,Public Utilities,,2015
4553050,Rentals except car and truck rentals,,2015
5308800,Repair services,,2015
34502428,"Restaurants, bars, concessionaires and caterers",,2015
16518774,Services other than repair services,,2015
19010115,Telecommunications,,2015
80905723,Total Retail,,2015
710179,Unclassified,,2015
21849869,Wholesale,,2015
2623905,"Appliance, other electronics, retail",Total Retail,2016
5020270,"Computer and software stores, retail",Total Retail,2016
4229249,"Convenience stores, retail",Total Retail,2016
9338267,"Department stores, retail",Total Retail,2016
4273710,Furniture stores retail,Total Retail,2016
8841116,"Home centers, retail",Total Retail,2016
6706075,"Liquor and beer stores, retail",Total Retail,2016
1587149,"Office supplies stores, retail",Total Retail,2016
32526497,Other retail,Total Retail,2016
3839583,"Pharmacies, retail",Total Retail,2016
4892492,"Supermarkets, retail",Total Retail,2016
14063737,All Other Sectors,,2016
8167644,Car and truck rental,,2016
7151643,Construction,,2016
9142810,Hotels,,2016
8254960,Manufacturing,,2016
38127602,Motor Vehicle Sales Tax,,2016
8390502,Public Utilities,,2016
4861893,Rentals except car and truck rentals,,2016
5552811,Repair services,,2016
37504746,"Restaurants, bars, concessionaires and caterers",,2016
18213468,Services other than repair services,,2016
18774299,Telecommunications,,2016
83878313,Total Retail,,2016
1270512,Unclassified,,2016
24290939,Wholesale,,2016
2450915,"Appliance, other electronics, retail",Total Retail,2017
5745257,"Computer and software stores, retail",Total Retail,2017
4518142,"Convenience stores, retail",Total Retail,2017
10460051,"Department stores, retail",Total Retail,2017
4160946,Furniture stores retail,Total Retail,2017
9066800,"Home centers, retail",Total Retail,2017
6935684,"Liquor and beer stores, retail",Total Retail,2017
1819252,"Office supplies stores, retail",Total Retail,2017
32478611,Other retail,Total Retail,2017
3891345,"Pharmacies, retail",Total Retail,2017
4906762,"Supermarkets, retail",Total Retail,2017
15375457,All Other Sectors,,2017
8569943,Car and truck rental,,2017
7068524,Construction,,2017
10231551,Hotels,,2017
9555044,Manufacturing,,2017
38444000,Motor Vehicle Sales Tax,,2017
9806327,Public Utilities,,2017
5377770,Rentals except car and truck rentals,,2017
5880400,Repair services,,2017
40533460,"Restaurants, bars, concessionaires and caterers",,2017
19480856,Services other than repair services,,2017
22068353,Telecommunications,,2017
86433765,Total Retail,,2017
935113,Unclassified,,2017
24732979,Wholesale,,2017
2645119,"Appliance, other electronics, retail",Total Retail,2018
6002813,"Computer and software stores, retail",Total Retail,2018
4553224,"Convenience stores, retail",Total Retail,2018
10960210,"Department stores, retail",Total Retail,2018
4290334,Furniture stores retail,Total Retail,2018
9338358,"Home centers, retail",Total Retail,2018
7197060,"Liquor and beer stores, retail",Total Retail,2018
1699118,"Office supplies stores, retail",Total Retail,2018
35703248,Other retail,Total Retail,2018
3849583,"Pharmacies, retail",Total Retail,2018
4905719,"Supermarkets, retail",Total Retail,2018
17619835,All Other Sectors,,2018
9069465,Car and truck rental,,2018
7084417,Construction,,2018
10459737,Hotels,,2018
10001620,Manufacturing,,2018
37386667,Motor Vehicle Sales Tax,,2018
11275477,Public Utilities,,2018
5967776,Rentals except car and truck rentals,,2018
5996920,Repair services,,2018
42624988,"Restaurants, bars, concessionaires and caterers",,2018
22136605,Services other than repair services,,2018
21337194,Telecommunications,,2018
91144786,Total Retail,,2018
1138323,Unclassified,,2018
25816922,Wholesale,,2018
